Country,Continent,Rank,Album,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
Global,Global,1,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Argentina,South America,28,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Australia,Australia,4,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Austria,Europe,16,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Belgium,Europe,9,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Bolivia,South America,49,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Brazil,South America,3,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Bulgaria,Europe,2,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Canada,North America,2,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Chile,South America,31,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Colombia,South America,18,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Costa Rica,North America,6,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Czech Republic,Europe,5,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Denmark,Europe,19,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Dominican Republic,North America,45,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Ecuador,South America,49,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
El Salvador,North America,15,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Estonia,Europe,4,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Finland,Europe,10,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
France,Europe,21,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Germany,Europe,30,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Greece,Europe,20,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
Guatemala,North America,29,Rain On Me (with Ariana Grande),0.021,"Lady Gaga, Ariana Grande",0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),81,2020-05-29,0.0397,123.056,0.6459999999999999,2020
