,PaperYear,AuthorId,PaperId,Year_paper,OriginalAuthor_left,CitesFrom,Year_citation,PaperCount
337,1968,2127098530,3123088185.0,1967.0,W. Lee Hansen,2022136819.0,1968.0,19
338,1968,2614262452,3125212462.0,1962.0,Burton A. Weisbrod,3134405306.0,1961.0,38
34,1969,227357432,2798199224.0,1957.0,Martin Shubik,2127303231.0,1957.0,143
35,1969,2068923041,3080189451.0,1964.0,Lloyd S. Shapley,2036837037.0,1969.0,161
365,1969,2618597908,2802401944.0,1960.0,Joan Robinson,1973896882.0,1968.0,151
223,1969,2328689955,3204170628.0,1957.0,Milton Friedman,2497425492.0,1965.0,520
77,1969,352564052,2329473230.0,1968.0,Orley Ashenfelter,2323596259.0,1969.0,1
102,1970,1775585211,2799449479.0,1969.0,Marshall Sarnat,2114586289.0,1970.0,3
47,1970,2282344222,2113097590.0,1969.0,Dwight M Jaffee,2075574647.0,1969.0,6
103,1970,2082920508,2089260477.0,1969.0,Haim Levy,2114586289.0,1970.0,15
422,1971,2045430340,2329342649.0,1967.0,Gregory C. Chow,2113275269.0,1969.0,126
320,1971,2143581210,3124281892.0,1970.0,Oliver E. Williamson,1531103150.0,1969.0,54
55,1972,44657789,3123400142.0,1957.0,Franco Modigliani,3121499868.0,1961.0,373
138,1973,621481202,3146959178.0,1969.0,Jagdish N. Bhagwati,1591609455.0,1973.0,207
139,1973,2073546224,2334706097.0,1968.0,Anne O. Krueger,2242030751.0,1972.0,60
242,1974,1911593362,3139424032.0,1968.0,Henry Aaron,2053817343.0,1974.0,53
99,1975,1276554745,2332641812.0,1967.0,Stanley M Besen,2322902476.0,1970.0,9
306,1975,2492057598,1511656869.0,2016.0,Thomas Mayer,2330601059.0,1975.0,1
100,1975,2652347474,1587777165.0,1973.0,Ronald Soligo,1587103941.0,1975.0,4
220,1975,2154904910,3215194493.0,1969.0,Kenneth E Boulding,2068055773.0,1969.0,598
247,1975,1821533975,2333311386.0,1953.0,Maurice Allais,2911604318.0,1968.0,90
145,1975,2109761093,1591423430.0,2016.0,Charles C Holt,2319352651.0,1974.0,16
399,1976,2491995430,2080079917.0,1973.0,Robert J Mackay,1992042167.0,1976.0,3
171,1976,1966949987,2029394297.0,1973.0,Ronald L Oaxaca,2581834390.0,1974.0,14
