,PaperYear,AuthorId,PaperId,Year_paper,OriginalAuthor_left,CitesFrom,Year_citation,PaperCount
194,1937,3140149789,2333657628.0,1937.0,Horst Mendershausen,2329757609.0,1937.0,2
46,1942,2571484319,2017678402.0,1939.0,W. Allen Wallis,2016944307.0,1940.0,1
202,1944,2047012609,586614749.0,1928.0,Hans Neisser,2494991143.0,1933.0,2
43,1949,2106200091,2313415804.0,1935.0,Jan Tinbergen,2497370401.0,1941.0,36
29,1950,2264818998,2321254255.0,1943.0,Jacob Marschak,2076995342.0,1944.0,7
235,1952,151186395,2488029750.0,1953.0,Gerard Debreu,2047111685.0,1952.0,2
50,1952,1777097624,2330010143.0,1943.0,Paul A. Samuelson,2004920048.0,1942.0,44
237,1954,2120941551,2800137643.0,1953.0,W. W. Cooper,2318026107.0,1954.0,15
172,1954,1821533975,2333311386.0,1953.0,M. Allais,1985876015.0,1954.0,4
238,1954,2665923292,2800137643.0,1953.0,A. Charnes,2318026107.0,1954.0,13
236,1954,2081024661,2333108164.0,1952.0,B. Mellon,2318026107.0,1954.0,2
68,1957,2942583833,2119549164.0,1948.0,Hans Brems,2066172056.0,1950.0,4
191,1958,2020173801,1623701063.0,1956.0,A. Blanc-Lapierre,203223056.0,1958.0,4
192,1958,2147535040,2914961075.0,1956.0,R. Fortet,3182219450.0,1958.0,12
153,1959,3117577653,1979789991.0,1955.0,Wolfgang Stegmüller,2130832258.0,1956.0,1
232,1960,2033270368,2795674018.0,1956.0,George B Dantzig,2090047167.0,1959.0,196
99,1963,2106457119,2326474065.0,1961.0,Leif Johansen,1988565928.0,1963.0,13
100,1963,2675681326,2277568728.0,1963.0,V. Mukerji,2464864435.0,1963.0,1
163,1963,2781023416,2329233456.0,1958.0,Robert Eisner,2124179427.0,1963.0,6
201,1963,2099556872,2332287464.0,1958.0,Harvey Maurice Wagner,2488225221.0,1960.0,67
102,1964,2624579975,2331432076.0,1964.0,Ken-ichi Inada,2319955832.0,1964.0,5
154,1965,2140674952,2333686664.0,1961.0,Franklin M. Fisher,2334922835.0,1965.0,33
94,1965,2048813906,2335054039.0,1950.0,H. S. Houthakker,2884360809.0,1962.0,43
105,1966,2585641945,2596750046.0,1961.0,Oscar Lange,2004415379.0,1966.0,170
224,1967,2644383820,1991358995.0,1967.0,K. O. Kortanek,2117707870.0,1966.0,1
226,1967,2776948613,1991358995.0,1967.0,A. Charnes,2117707870.0,1966.0,1
225,1967,2709932343,2331386539.0,1954.0,R. W. Clower,2497425492.0,1965.0,13
87,1968,2121534491,2904887143.0,1961.0,Walter L. Smith,1973215348.0,1967.0,271
196,1968,2442247505,1984233289.0,1966.0,Michael J. Hamburger,2912123370.0,1966.0,3
