,PaperYear,AuthorId,PaperId,Year_paper,OriginalAuthor_left,CitesFrom,Year_citation,PaperCount
52,1893,1800478730,2042005126.0,1886.0,Simon Newcomb,2094761918.0,1886.0,5
146,1932,2066609823,2128689064.0,1928.0,Mordecai Ezekiel,2329390759.0,1931.0,10
29,1935,296390977,2067773162.0,1931.0,Fritz Machlup,2494991143.0,1933.0,2
127,1950,2467536297,2797776934.0,1940.0,Frank H. Knight,2005142157.0,1950.0,30
247,1952,2313562881,2086984230.0,1977.0,Joseph Shister,2184612001.0,1951.0,5
312,1958,2154844049,2469841410.0,1951.0,Leonard J. Savage,2344010813.0,1955.0,84
160,1960,2126379841,2060694428.0,1958.0,Alfred H. Conrad,2164711112.0,1959.0,4
341,1964,2316278123,2089985601.0,1963.0,William G. Dewald,2092319146.0,1964.0,1
129,1966,2100723779,2795487235.0,1956.0,A. D. Scott,2801634978.0,1966.0,21
130,1966,2464842294,2040708038.0,1964.0,H. G. Grubel,2243577528.0,1965.0,3
291,1966,2250430593,2086489305.0,1964.0,Thomas Courchene,2005864240.0,1966.0,1
300,1967,2032657339,2329054854.0,1964.0,Donald D. Hester,2954739319.0,1967.0,4
82,1972,2164884428,3169239743.0,1971.0,Harry G. Johnson,2085847393.0,1972.0,945
359,1972,2479246278,1524685143.0,1973.0,Keith Hinchliffe,2092328532.0,1972.0,2
358,1972,227849633,1524685143.0,1973.0,George Psacharopoulos,2092328532.0,1972.0,3
309,1972,2583141290,2414320691.0,1966.0,Mary Jean Bowman,2324444136.0,1972.0,30
307,1972,2147235358,2145186090.0,1970.0,Peter L. Swan,2048658889.0,1972.0,8
236,1975,603834321,3122459409.0,1967.0,Marc Nerlove,2764423318.0,1975.0,688
259,1975,2677407554,2030035404.0,1975.0,P. Fallon,2071314945.0,1974.0,3
148,1975,1974961038,2326747220.0,1955.0,Frank Whitson Fetter,2946889083.0,1970.0,30
181,1976,3114075390,2047348263.0,1973.0,John B. Shoven,2146917499.0,1974.0,15
45,1977,2105834400,2332536836.0,1971.0,Robert A. Pollak,2146533967.0,1977.0,148
46,1977,2614102221,2074053117.0,1974.0,Michael L. Wachter,2053005135.0,1975.0,77
108,1977,2769084795,2132489998.0,1975.0,Benjamin Klein,3136077225.0,1977.0,32
171,1977,1965572909,2094205070.0,1973.0,Robert J. Shiller,2128822322.0,1975.0,58
361,1977,117673174,2138580856.0,2005.0,Larry A. Sjaastad,2771799959.0,1967.0,111
167,1978,2618003010,3124788137.0,1973.0,Michael Grossman,3125313064.0,1974.0,72
120,1978,548446481,3124249416.0,1976.0,Robert J. Barro,1963628516.0,1976.0,380
166,1978,2008786110,3124322958.0,1978.0,Fred Goldman,3021129139.0,1978.0,3
234,1979,2009985966,2000396799.0,1977.0,Vincent P. Crawford,2092165597.0,1979.0,6
111,1980,669620310,1967639603.0,1980.0,Kenneth J. Singleton,2149608872.0,1980.0,4
53,1980,1713641911,2334370381.0,1977.0,Edi Karni,2139290930.0,1979.0,57
63,1981,3125627332,2082069328.0,1979.0,Eliakim Katz,2026816628.0,1981.0,2
62,1981,1984510446,2346936441.0,1979.0,Elie Appelbaum,2062064584.0,1981.0,15
258,1982,1989999200,1994402364.0,1979.0,Mark Gertler,2015026319.0,1980.0,5
2,1982,2114523211,3125488439.0,1978.0,Peter A. Diamond,2126322416.0,1980.0,696
289,1983,2026769602,3125767145.0,1984.0,Ronald Findlay,1531735558.0,1983.0,88
288,1983,730353680,2119366914.0,1976.0,Henryk Kierzkowski,2503700919.0,1977.0,10
156,1984,2328689955,3204170628.0,1957.0,Milton Friedman,3123007819.0,1979.0,12318
208,1985,1999701614,3011770786.0,1977.0,William D. Schulze,2168076260.0,1978.0,171
211,1985,2245397255,2196805467.0,1978.0,David S. Brookshire,1976862607.0,1982.0,179
140,1985,2081889270,1965354772.0,1985.0,Mark J. Bils,2140262016.0,1985.0,3
210,1985,2207973985,2010308320.0,1981.0,Mark A. Thayer,2231594832.0,1984.0,15
209,1985,2021107734,2138525288.0,1980.0,John Tschirhart,2039537943.0,1984.0,88
86,1986,2324983528,1978648732.0,1983.0,Mark J. Moran,2475242243.0,1985.0,25
7,1986,2598019244,3167256777.0,1979.0,James P. Smith,2421066275.0,1985.0,295
6,1986,2579805337,3125008420.0,1977.0,Lee Lillard,2327738607.0,1978.0,227
5,1986,2160592704,3123272403.0,1971.0,Finis Welch,2050586843.0,1974.0,565
85,1986,2292644135,3121551984.0,1976.0,Barry R. Weingast,1481852717.0,1978.0,219
272,1987,2084647615,3147401808.0,1982.0,Martin Feldstein,2045617797.0,1987.0,8884
80,1988,2104018909,1996741504.0,1986.0,Raymond D. Sauer,2037323240.0,1987.0,1
64,1988,2208587211,3125859889.0,1987.0,B. Peter Pashigian,1963983878.0,1988.0,52
183,1989,2089006377,2083826431.0,1979.0,Esfandiar Maasoumi,2032084963.0,1982.0,47
267,1990,2124012603,3123677463.0,1980.0,Dennis W. Carlton,3121775135.0,1989.0,285
162,1990,1950733439,3121653816.0,1988.0,Brian P. McCall,3123119954.0,1990.0,17
295,1991,2629996683,2070440183.0,1991.0,Emily C. Lawrance,2126321856.0,1991.0,1
4,1992,1976568276,3123536436.0,1990.0,Eugene Kandel,2128960331.0,1992.0,5
3,1992,616670817,3143226645.0,1983.0,Edward P. Lazear,1988988648.0,1984.0,1141
276,1992,2137233744,3149483571.0,1988.0,Bennett T. McCallum,3122084176.0,1989.0,1841
357,1992,2294680486,3125405027.0,1988.0,George P. Baker,3125236965.0,1991.0,67
342,1993,2105962191,3150761674.0,1990.0,Sherwin Rosen,2150787792.0,1993.0,2725
231,1993,1505371242,3122681012.0,1994.0,Kyoji Fukao,2073611124.0,1993.0,6
314,1994,1709076177,3149306871.0,1986.0,B. Douglas Bernheim,2529980562.0,1988.0,933
163,1994,563863481,3125226364.0,1994.0,Eric M. Leeper,1499955403.0,1994.0,29
164,1994,2517672891,3124490091.0,1992.0,David B. Gordon,1533077373.0,1994.0,743
285,1995,3121891595,1968444917.0,1995.0,J.C. van Ours,2132960275.0,1995.0,1
294,1995,1877272218,3148696034.0,1978.0,James J. Heckman,3123642869.0,1982.0,5732
226,1996,2942789224,3126044633.0,1992.0,Mark P. Taylor,2124516409.0,1994.0,1145
114,1996,613848988,3125715515.0,1986.0,Michael T. Belongia,295055404.0,1988.0,241
225,1996,2601705870,3123994948.0,1983.0,James R. Lothian,1978060030.0,1984.0,268
115,1996,2160317845,3148396820.0,1978.0,Daniel L. McFadden,2087100388.0,1989.0,4650
116,1996,2295137245,2347114416.0,1985.0,Kenneth E. Train,3124822810.0,1995.0,475
92,1997,2007994769,3141031773.0,1994.0,Georg Nöldeke,2045704638.0,1997.0,57
73,1997,2072625399,3125384899.0,2002.0,Steven D. Levitt,3124543438.0,1996.0,39
74,1997,2141631776,3124895066.0,1983.0,James M. Snyder,2398039284.0,1984.0,105
110,1997,2118310845,3112967626.0,1974.0,Peter D. Groenewegen,2486929007.0,1997.0,93
119,1997,2969131603,3125988490.0,1999.0,Wei Li,2058348632.0,1996.0,17
173,1997,2171316079,3125686240.0,1975.0,Christopher Bliss,2797060620.0,1984.0,404
335,1999,64227133,3124769207.0,1994.0,Chester S. Spatt,1664294276.0,1999.0,304
336,1999,702925362,3122790009.0,1998.0,Bruno Biais,1992799117.0,1999.0,128
337,1999,2031998819,3125725615.0,1995.0,Pierre Hillion,2571692528.0,1999.0,128
0,1999,2399572050,3123445085.0,1999.0,Jorge Soares,2027876788.0,1999.0,17
1,1999,2474937050,3126145125.0,1995.0,Thomas F. Cooley,2135442338.0,1996.0,1542
10,2002,159280313,3151572266.0,1995.0,Bruno Crépon,3122290476.0,1998.0,212
11,2002,290542363,3148434192.0,1992.0,Francis Kramarz,1546546236.0,1996.0,768
12,2002,40539028,3125717435.0,2002.0,Alessandro Lizzeri,2995366185.0,1998.0,124
13,2002,2089095713,3124687071.0,2006.0,Igal Hendel,1900880235.0,2001.0,97
329,2007,2111470836,3172639708.0,1991.0,N. Gregory Mankiw,3196427762.0,2007.0,17479
328,2007,2102669565,3146112880.0,2000.0,Laurence Ball,3124860641.0,2001.0,5184
165,2008,2169015882,3124509507.0,2007.0,Lucas W. Davis,3124925679.0,2007.0,26
158,2009,2682617608,3123218493.0,2008.0,Adam Hale Shapiro,2164438184.0,2009.0,83
176,2009,57917455,3125176945.0,2004.0,Gustavo J. Bobonis,3122445993.0,2005.0,111
157,2009,740090178,3139727540.0,2007.0,Kristopher S. Gerardi,13496582.0,2008.0,215
325,2013,2332609059,3152129152.0,2008.0,Rafael Di Tella,2165887620.0,2013.0,12702
169,2013,2094561240,3123844328.0,2007.0,Pricila Maziero,1503621654.0,2010.0,56
40,2013,2462610183,3126146578.0,2007.0,Ricardo Lagos,3126001971.0,2009.0,1557
168,2013,129921014,3126121728.0,2011.0,Guido Menzio,3126074369.0,2012.0,415
324,2013,2278264657,3125466947.0,2010.0,Ernesto Santiago Schargrodsky,3024883555.0,2012.0,1489
170,2013,2475678860,3162784908.0,2009.0,Mikhail Golosov,2124314346.0,2013.0,1765
123,2015,2252471495,2046012677.0,2015.0,W. G. Langworthy Taylor,2601297889.0,2014.0,10
113,2015,2325952761,3204452546.0,2014.0,Dean Corbae,3124874537.0,2014.0,1738
112,2015,2049201299,3126139843.0,2005.0,Erwan Quintin,3123336652.0,2010.0,714
228,2015,135593521,1984025313.0,2015.0,Martin F. J. Prachowny,3123979197.0,2011.0,34
262,2015,3125237152,1985035546.0,2015.0,C. Boulakia,3117137184.0,2014.0,38
263,2015,3125701046,1985035546.0,2015.0,Jean David,3117137184.0,2014.0,38
281,2016,3044944616,1968091289.0,1979.0,廣道 田北,2560620211.0,1994.0,64
327,2017,2676304750,3125038154.0,2010.0,Rosa Ferrer,3125432927.0,2012.0,73
326,2017,2082605797,3139843842.0,2006.0,Ghazala Azmat,3122354902.0,2010.0,748
275,2019,2290340170,3125862683.0,2014.0,Andis Sofianos,2517188849.0,2016.0,20
274,2019,2033861422,3212263597.0,2017.0,Eugenio Proto,2912052256.0,2019.0,526
273,2019,135652364,3148837925.0,2000.0,Aldo Rustichini,3125661379.0,2002.0,14274
224,2019,2149125164,3152759622.0,2019.0,Nathaniel Hendren,2979951119.0,2019.0,1968
223,2019,2044224300,3152489667.0,2002.0,Amy Finkelstein,2134864628.0,2004.0,8572
222,2019,1966671174,3148989931.0,2009.0,Erzo F.P. Luttmer,2048147455.0,2013.0,5625
71,2020,2303372735,3143172580.0,2002.0,Luis M. Viceira,2130108026.0,2004.0,7678
8,2020,2119038958,3159765500.0,2019.0,Marco Battaglini,3000882491.0,2020.0,2492
9,2020,2166406133,3162941784.0,2018.0,Bård Harstad,2962848322.0,2019.0,863
72,2020,2397423007,3163338412.0,2021.0,John Y. Campbell,3123265263.0,2020.0,69725
117,2020,2111382858,3146945701.0,2015.0,Koichiro Ito,3126054895.0,2015.0,611
118,2020,2808072151,3122863550.0,2019.0,Shuang Zhang,3158231083.0,2019.0,113
65,2020,2137119724,3125757733.0,2016.0,Eduardo Morales,3022528661.0,2017.0,165
66,2020,3002078919,3125928462.0,2011.0,L. Kamran Bilir,2111801794.0,2013.0,39
70,2020,1963639836,3125881160.0,2013.0,Carolin E. Pflueger,2945437183.0,2019.0,450
21,2021,727612727,3152473873.0,1993.0,Andrei Shleifer,3165500755.0,2014.0,205468
15,2021,2170882167,3172394208.0,2021.0,Steven Callander,3134682621.0,2021.0,987
14,2021,2125915602,3125384521.0,2012.0,Juan Carlos Carbajal,1966092900.0,2015.0,118
22,2021,2586485421,3091739370.0,2021.0,A. Patrick Behrer,3209312236.0,2021.0,34
