,PaperYear,AuthorId,PaperId,Year_paper,OriginalAuthor_left,CitesFrom,Year_citation,PaperCount
154,1908,1897214289,2013324539.0,1893.0,Thorstein Veblen,2013586708.0,1897.0,1
59,1926,2578231187,2031326002.0,1921.0,Henry Ludwell Moore,2313027923.0,1925.0,2
27,1930,2093135111,3184506484.0,1912.0,F. W. Taussig,119852941.0,1912.0,9
97,1936,2502399460,2313409484.0,1934.0,Morris A. Copeland,2009842472.0,1935.0,2
135,1937,2110242536,2036636517.0,1937.0,M. M. Bober,2801382617.0,1937.0,1
49,1941,2096106172,2317055360.0,1936.0,Paul H. Douglas,2319013888.0,1936.0,3
173,1942,2574312611,2797882852.0,1936.0,Karl Pribram,2329757609.0,1937.0,3
149,1960,2133498243,2158978917.0,1956.0,Myron J. Gordon,2001199944.0,1957.0,1
34,1960,2136383201,2334935914.0,1938.0,D. H. Robertson,2333792261.0,1956.0,22
99,1961,2616620637,2317545172.0,1958.0,Richard M. Cyert,2165007394.0,1961.0,14
100,1961,2778804874,2099629292.0,1961.0,Kalman J. Cohen,2027382393.0,1960.0,1
144,1964,2068923041,2575731723.0,1953.0,Lloyd S. Shapley,2142392445.0,1955.0,60
143,1964,227357432,2798199224.0,1957.0,Martin Shubik,2127303231.0,1957.0,56
146,1965,2132074781,2094755059.0,1963.0,John H. Wood,2992875192.0,1964.0,1
112,1966,2796027781,2480213858.0,1964.0,Michio Morishima,2912123370.0,1966.0,28
178,1969,2056669582,2795514678.0,1959.0,Murray C. Kemp,2314901120.0,1962.0,44
177,1969,621481202,2332136643.0,1959.0,Jagdish N. Bhagwati,2480197877.0,1963.0,60
31,1970,2608176085,2796975034.0,1967.0,Bela Balassa,2317067736.0,1967.0,81
45,1970,2475982327,2047590154.0,1964.0,Ephraim Kleiman,2210054421.0,1967.0,3
22,1970,1508821818,3122518502.0,1959.0,James Tobin,2478822866.0,1966.0,234
26,1971,2102201377,2009685525.0,1971.0,Michael Rothschild,1995118028.0,1970.0,8
103,1972,2136523743,2071458950.0,1970.0,John J. McCall,2143847937.0,1968.0,10
75,1973,2084647615,2158659361.0,2009.0,Martin S. Feldstein,2483659377.0,1972.0,228
76,1974,2585687038,3125766958.0,1972.0,Joseph E. Stiglitz,2007730465.0,1973.0,304
16,1975,2144364482,2038732887.0,1974.0,Jeremy Siegel,1984173537.0,1974.0,1
62,1978,2483991502,2134947503.0,1975.0,Alan C. Hess,2164017730.0,1976.0,8
194,1980,2430644732,2012438045.0,1972.0,Norman P. Obst,162574922.0,1979.0,6
126,1980,2620012045,3125892945.0,1977.0,Alexis Jacquemin,2561380800.0,1980.0,20
168,1981,2581202282,2124230240.0,1981.0,Hiroshi Atsumi,2764482702.0,1981.0,1
162,1983,2049496365,1976744924.0,1983.0,Shantayanan Devarajan,2181800444.0,1983.0,8
139,1983,2734580782,2796545740.0,1977.0,Ann Dryden Witte,2334175381.0,1983.0,40
186,1983,1971599609,3125616197.0,1981.0,Bengt Holmstrom,2320232171.0,1982.0,119
163,1983,2920327984,1976744924.0,1983.0,Clive Bell,2181800444.0,1983.0,2
195,1984,2118259081,2147331412.0,1978.0,Lars G. Sandberg,2155178554.0,1982.0,28
73,1984,2083553157,2324669911.0,1975.0,William Lazonick,2421432204.0,1977.0,72
88,1985,1780419141,3123737490.0,1984.0,Timothy J. Kehoe,3122168061.0,1985.0,55
56,1986,2285975839,2083505786.0,1982.0,Mark G. Herander,2020953753.0,1986.0,1
172,1989,2080747258,2060667022.0,1973.0,Michael Manove,3123470688.0,1974.0,43
114,1991,277746787,3125307652.0,1988.0,Robert A. Margo,1990802034.0,1991.0,82
43,1991,2579865081,3124042397.0,1986.0,Robert Halvorsen,1990049737.0,1989.0,281
44,1991,2681006739,3124042397.0,1986.0,Tim R. Smith,1990049737.0,1989.0,34
197,1991,740423593,3125307695.0,1990.0,Christina D. Romer,2327116151.0,1991.0,162
111,1992,1687461548,2137416604.0,1988.0,H. Nejat Seyhun,2891753070.0,1990.0,74
174,1993,1967565952,2334734272.0,1976.0,Ronald A. Ratti,2331817075.0,1990.0,79
86,1994,2168734207,2155525349.0,1994.0,Byung-Kun Rhee,2194207213.0,1994.0,1
101,1994,2107630282,2891662642.0,1999.0,M. Scott Taylor,2085822308.0,1994.0,11
102,1994,2127437946,2130896989.0,1989.0,Brian R. Copeland,2084632544.0,1993.0,47
85,1994,2095952474,3125071907.0,1994.0,Christopher D. Carroll,2560662496.0,1992.0,95
87,1994,2622492673,2155525349.0,1994.0,Changyong Rhee,2194207213.0,1994.0,1
12,1996,3019714330,3122744863.0,1996.0,Kevin Carey,3125668422.0,1995.0,1
9,1996,2153904071,3147848702.0,1993.0,Janet Currie,3121632823.0,1993.0,140
8,1996,2147979303,3145466120.0,1995.0,Jonathan Gruber,1975846081.0,1994.0,228
11,1996,1455473529,3152264404.0,1985.0,Ben S. Bernanke,1599279755.0,1987.0,1869
125,1996,2072625399,3125384899.0,2002.0,Steven D. Levitt,3124543438.0,1996.0,21
3,1997,650455521,3122104913.0,1992.0,Stephen Coate,2064708687.0,1995.0,239
179,1998,67435559,3124139668.0,1995.0,Joseph Zeira,2006558343.0,1998.0,208
90,2000,138472041,3122641320.0,1999.0,Rachel E. Kranton,1967475071.0,2000.0,98
91,2000,558711637,3125279831.0,1988.0,George A. Akerlof,3125883484.0,2000.0,10558
119,2001,2198106154,3125783431.0,1990.0,Kyle Bagwell,1990167830.0,1994.0,968
118,2001,2124575537,3148071975.0,1996.0,Robert W. Staiger,1560090733.0,2000.0,1063
10,2003,1673549770,3126135542.0,2000.0,John A. List,2036594748.0,2002.0,636
1,2004,2244061062,3124684255.0,2000.0,Ritva Reinikka,3121279211.0,2003.0,288
184,2004,34678664,3141394878.0,2003.0,Adriana Lleras-Muney,2113844427.0,2004.0,80
185,2004,2311630709,3150233775.0,2000.0,Rajeev Dehejia,1488143163.0,2000.0,546
0,2004,2141714218,3125224346.0,1998.0,Jakob Svensson,3124703212.0,1999.0,578
41,2005,2241841031,3125949939.0,1999.0,Steven Tadelis,2801008614.0,2004.0,527
132,2005,2065728897,3125504462.0,2003.0,Kjell G. Salvanes,3122864087.0,2003.0,671
131,2005,1353101743,3125303395.0,2002.0,Paul J. Devereux,2243047588.0,2004.0,186
42,2005,2526172747,3125388369.0,2002.0,Jonathan Levin,2310267437.0,2004.0,338
133,2005,2267221455,3125779931.0,2002.0,Sandra E. Black,2101520639.0,2004.0,1001
181,2006,2046686187,3125793194.0,2005.0,Nava Ashraf,2153807172.0,2004.0,67
182,2006,2232003916,3124875384.0,2005.0,Dean S. Karlan,2246488264.0,2005.0,171
183,2006,2248652353,3122294194.0,2004.0,Wesley Yin,2510615992.0,2005.0,47
116,2006,2138961361,3152323781.0,2003.0,Michael Greenstone,2061196242.0,2004.0,485
115,2006,1746618,3143407599.0,2000.0,Annette Vissing-Jorgensen,2156157599.0,2001.0,663
117,2006,2500028529,3143098037.0,2004.0,Paul E. Oyer,1956473395.0,2004.0,376
189,2007,709021197,3126101612.0,2006.0,Morten Bennedsen,3121876156.0,2007.0,280
190,2007,2101182203,3123515841.0,2008.0,Kasper Meisner Nielsen,3124722340.0,2007.0,63
191,2007,2304584314,3125316588.0,2004.0,Daniel Wolfenzon,3140057857.0,2007.0,844
192,2007,2557430682,3125179950.0,2002.0,Francisco Perez-Gonzalez,3125118541.0,2007.0,168
188,2007,2139361264,3124344189.0,2004.0,Bauke Visser,2016341787.0,2006.0,64
187,2007,237631100,3151313983.0,1998.0,Otto H. Swank,2172295304.0,1999.0,312
93,2007,2148103966,3121532354.0,2008.0,Nathan Nunn,2510615992.0,2005.0,83
137,2007,2126682900,3144522592.0,2001.0,Bruce Sacerdote,3123613050.0,2005.0,2580
123,2011,205488002,3196601710.0,2005.0,Mary Amiti,2123968846.0,2011.0,2422
124,2011,2250742331,3150405239.0,2001.0,David E. Weinstein,1980107959.0,2009.0,5022
23,2011,695037722,3172883420.0,2006.0,Jean Tirole,3200007762.0,2006.0,43128
51,2011,2331023589,3124826795.0,2010.0,Ryan M Kellogg,2083004468.0,2011.0,67
5,2011,705441087,3126038510.0,2007.0,David A. Matsa,3140558974.0,2011.0,160
24,2011,2275667347,3173730816.0,2000.0,Roland Bénabou,2169004024.0,2002.0,7267
52,2012,523865281,3151228212.0,2007.0,Timothy J. Besley,3125099602.0,2011.0,33114
53,2012,1780997049,3125800405.0,2003.0,Maitreesh Ghatak,3125829468.0,2010.0,2572
54,2012,2224953677,3121763478.0,2011.0,Konrad B. Burchardi,3123024564.0,2012.0,26
122,2012,2133900406,3143610541.0,2006.0,Nicholas Bloom,3125800153.0,2009.0,4321
120,2012,1974304570,3150759713.0,2016.0,Raffaella Sadun,2272420313.0,2012.0,519
121,2012,2118787236,3201622861.0,2002.0,John Van Reenen,2015752048.0,2005.0,9345
71,2013,2156913141,3125925877.0,2011.0,Peter Kuhn,2912522085.0,2012.0,1952
72,2013,2256694962,3124949840.0,2010.0,Kailing Shen,3125866288.0,2012.0,38
180,2013,2156167401,3142697145.0,2007.0,Tom S. Vogl,2189254203.0,2007.0,179
70,2015,2148658177,3126083931.0,2010.0,Bart J. Bronnenberg,3124659248.0,2014.0,2724
6,2015,167493679,3147147523.0,2003.0,Xavier Gabaix,3125543378.0,2007.0,8679
68,2015,2126628856,3151079115.0,2003.0,Jesse M. Shapiro,3121147907.0,2011.0,10342
7,2015,823552993,3124904325.0,2013.0,Matteo Maggiori,2254489372.0,2014.0,250
65,2015,803871336,3126073260.0,2010.0,Matthew Gentzkow,3125384433.0,2012.0,5616
66,2015,2050484554,3142683649.0,2009.0,Jean-Pierre Dubé,1972466695.0,2012.0,4808
