,PaperYear,AuthorId,PaperId,Year_paper,OriginalAuthor_left,CitesFrom,Year_citation,PaperCount
40,1939,2424220164,2798213597.0,1933.0,J. R. Hicks,2477021151.0,1933.0,8
10,1965,2136947300,2332043887.0,1963.0,Charles R. Frank,2318159405.0,1964.0,1
14,1966,2280832201,1997657584.0,1966.0,E. B. A. St Cyr,2164047248.0,1965.0,1
15,1966,2291841616,1997657584.0,1966.0,R. J. Ball,2164047248.0,1965.0,1
103,1968,2096465152,2087940948.0,1965.0,K. Inada,2127190537.0,1968.0,3
128,1968,2140674952,2334922835.0,1965.0,F. M. Fisher,2797046333.0,1968.0,75
105,1969,2114703269,1966962505.0,1968.0,John A. Carlson,2042667098.0,1969.0,1
83,1969,1971259573,2469395100.0,1966.0,K. Borch,2470947333.0,1969.0,67
59,1971,2464842294,2346833217.0,1966.0,H. G. Grubel,2285335456.0,1967.0,32
58,1971,2438856247,2110780480.0,1970.0,P. J. Lloyd,2016636485.0,1971.0,2
52,1973,182548515,2327406668.0,1966.0,Stephen J. Turnovsky,2477503388.0,1973.0,68
45,1974,1981573856,2312824914.0,1957.0,Vernon L. Smith,2116060858.0,1974.0,142
138,1975,539934106,3121224435.0,1973.0,Martin Hellwig,2082527658.0,1975.0,1
104,1976,1985088989,1997591261.0,1976.0,Efraim Sadka,1967101123.0,1976.0,4
42,1977,2189837436,2074228780.0,1971.0,Masahiko Aoki,2095304824.0,1972.0,14
44,1977,2639124166,2062949468.0,1978.0,Takahiro Miyao,2120573549.0,1977.0,1
140,1978,2138628914,2057548426.0,1978.0,R. Davison,2039846973.0,1977.0,1
108,1979,2647783913,1883748447.0,1974.0,A. H. Gelb,2001814496.0,1979.0,1
53,1980,2144924962,2079565123.0,1980.0,Lars E. O. Svensson,2301396035.0,1980.0,10
13,1980,619870079,3122205575.0,1980.0,Nancy L. Stokey,1585853437.0,1980.0,4
82,1980,2660089809,2028976955.0,1978.0,Richard Hemming,2067403700.0,1980.0,2
101,1981,3121185945,2021335424.0,1981.0,M. R. Wickens,2082171565.0,1981.0,1
113,1981,332988674,3125992737.0,1978.0,Edward W. Packel,2016508546.0,1980.0,18
102,1981,3125152153,2021335424.0,1981.0,L. G. Godfrey,2082171565.0,1981.0,1
33,1983,2105354520,3216109582.0,1980.0,Andrew B. Abel,2004545170.0,1982.0,71
80,1985,2305187979,3126069751.0,1980.0,David Backus,2004545170.0,1982.0,26
79,1985,798586631,2117440669.0,1985.0,John Driffill,1545568199.0,1985.0,5
141,1986,2256793010,2328057009.0,1968.0,Adrian Pagan,2335435434.0,1975.0,436
