,AuthorId,PaperId,Year,OriginalAuthor_left,NormalizedName,DisplayName
0,261802267,149958202,2006,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1465,2475678860,149958202,2006,Michael Golosov,mikhail golosov,Mikhail Golosov
6733,97906262,149958202,2006,Iván Werning,ivan werning,Iván Werning
6918,97906262,149958202,2006,Iván Werning,ivan werning,Iván Werning
1,261802267,218696243,2010,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1466,2475678860,218696243,2010,Michael Golosov,mikhail golosov,Mikhail Golosov
2,261802267,561323079,2014,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
3,261802267,1480570476,2010,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
195,1970476475,1480570476,2010,Daron Acemoglu,daron acemoglu,Daron Acemoglu
1468,2475678860,1480570476,2010,Michael Golosov,mikhail golosov,Mikhail Golosov
4,261802267,1484518720,2003,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1469,2475678860,1484518720,2003,Michael Golosov,mikhail golosov,Mikhail Golosov
5,261802267,1493330696,2005,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1470,2475678860,1493330696,2005,Michael Golosov,mikhail golosov,Mikhail Golosov
6,261802267,1505404054,2011,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
7,261802267,1522361502,2008,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
252,1970476475,1522361502,2008,Daron Acemoglu,daron acemoglu,Daron Acemoglu
1471,2475678860,1522361502,2008,Michael Golosov,mikhail golosov,Mikhail Golosov
8,261802267,1536348844,2014,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1473,2475678860,1536348844,2014,Michael Golosov,mikhail golosov,Mikhail Golosov
9,261802267,1558169606,2004,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1474,2475678860,1558169606,2004,Michael Golosov,mikhail golosov,Mikhail Golosov
10,261802267,1571308172,2013,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1477,2475678860,1571308172,2013,Michael Golosov,mikhail golosov,Mikhail Golosov
1478,2475678860,1571308172,2013,Michael Golosov,mikhail golosov,Mikhail Golosov
1479,2475678860,1571308172,2013,Michael Golosov,mikhail golosov,Mikhail Golosov
11,261802267,1578768679,2010,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
12,261802267,1582327715,2004,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
13,261802267,1586168684,2003,Aleh Tsyvinski,aleh tsyvinski,Aleh Tsyvinski
1480,2475678860,1586168684,2003,Michael Golosov,mikhail golosov,Mikhail Golosov
