,AuthorId,PaperId,Year,OriginalAuthor_left,NormalizedName,DisplayName
0,2141714218,50002388,2006,Jakob Svensson,jakob svensson,Jakob Svensson
1,2141714218,119545557,2012,Jakob Svensson,jakob svensson,Jakob Svensson
2,2141714218,119545557,2012,Jakob Svensson,jakob svensson,Jakob Svensson
3,2141714218,249719754,2002,Jakob Svensson,jakob svensson,Jakob Svensson
147,2244061062,249719754,2002,Ritva Reinikka,ritva reinikka,Ritva Reinikka
4,2141714218,389119905,2010,Jakob Svensson,jakob svensson,Jakob Svensson
5,2141714218,586863495,2005,Jakob Svensson,jakob svensson,Jakob Svensson
6,2141714218,596485325,2006,Jakob Svensson,jakob svensson,Jakob Svensson
149,2244061062,596485325,2006,Ritva Reinikka,ritva reinikka,Ritva Reinikka
7,2141714218,1501908285,2004,Jakob Svensson,jakob svensson,Jakob Svensson
8,2141714218,1501908285,2004,Jakob Svensson,jakob svensson,Jakob Svensson
150,2244061062,1501908285,2004,Ritva Reinikka,ritva reinikka,Ritva Reinikka
9,2141714218,1505105413,2010,Jakob Svensson,jakob svensson,Jakob Svensson
10,2141714218,1505105413,2010,Jakob Svensson,jakob svensson,Jakob Svensson
11,2141714218,1527319298,2014,Jakob Svensson,jakob svensson,Jakob Svensson
12,2141714218,1530525277,2002,Jakob Svensson,jakob svensson,Jakob Svensson
13,2141714218,1534594523,2004,Jakob Svensson,jakob svensson,Jakob Svensson
14,2141714218,1534594523,2004,Jakob Svensson,jakob svensson,Jakob Svensson
153,2244061062,1534594523,2004,Ritva Reinikka,ritva reinikka,Ritva Reinikka
15,2141714218,1574347378,2002,Jakob Svensson,jakob svensson,Jakob Svensson
16,2141714218,1574347378,2002,Jakob Svensson,jakob svensson,Jakob Svensson
17,2141714218,1574873549,2003,Jakob Svensson,jakob svensson,Jakob Svensson
18,2141714218,1600329635,2007,Jakob Svensson,jakob svensson,Jakob Svensson
19,2141714218,1600329635,2007,Jakob Svensson,jakob svensson,Jakob Svensson
155,2244061062,1600329635,2007,Ritva Reinikka,ritva reinikka,Ritva Reinikka
20,2141714218,1784990696,2015,Jakob Svensson,jakob svensson,Jakob Svensson
21,2141714218,1784990696,2015,Jakob Svensson,jakob svensson,Jakob Svensson
22,2141714218,1844213668,2002,Jakob Svensson,jakob svensson,Jakob Svensson
157,2244061062,1844213668,2002,Ritva Reinikka,ritva reinikka,Ritva Reinikka
23,2141714218,1849047813,2014,Jakob Svensson,jakob svensson,Jakob Svensson
24,2141714218,1849047813,2014,Jakob Svensson,jakob svensson,Jakob Svensson
25,2141714218,1968094009,2006,Jakob Svensson,jakob svensson,Jakob Svensson
26,2141714218,1968094009,2006,Jakob Svensson,jakob svensson,Jakob Svensson
27,2141714218,2005043085,2000,Jakob Svensson,jakob svensson,Jakob Svensson
