,AuthorId,PaperId,Year,OriginalAuthor_left,NormalizedName,DisplayName
0,2279466245,1502338874,2012,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
1,2279466245,1526864798,2008,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
90,2325952761,1526864798,2008,Dean Corbae,dean corbae,Dean Corbae
2,2279466245,1569810241,2011,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
3,2279466245,1583698172,2014,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
4,2279466245,1590113496,2008,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
5,2279466245,1596243226,2012,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
6,2279466245,2108789101,2006,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
7,2279466245,2108789101,2006,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
8,2279466245,2127097052,2015,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
9,2279466245,2142962692,2016,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
10,2279466245,2161259646,2009,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
127,2325952761,2161259646,2009,Dean Corbae,dean corbae,Dean Corbae
11,2279466245,2170867469,2013,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
12,2279466245,2170867469,2013,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
13,2279466245,2235140944,2013,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
14,2279466245,2262816463,2014,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
15,2279466245,2263597514,2011,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
16,2279466245,2283809980,2015,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
130,2325952761,2283809980,2015,Dean Corbae,dean corbae,Dean Corbae
17,2279466245,2301220175,2015,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
18,2279466245,2301220175,2015,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
131,2325952761,2301220175,2015,Dean Corbae,dean corbae,Dean Corbae
19,2279466245,2400735694,2016,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
20,2279466245,2514801730,2016,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
21,2279466245,2514801730,2016,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
22,2279466245,2577044935,2016,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
136,2325952761,2577044935,2016,Dean Corbae,dean corbae,Dean Corbae
23,2279466245,2615769640,2013,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
24,2279466245,2719264571,2017,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
138,2325952761,2719264571,2017,Dean Corbae,dean corbae,Dean Corbae
25,2279466245,2891120876,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
26,2279466245,2900989237,2018,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
27,2279466245,2916676920,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
28,2279466245,2916676920,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
29,2279466245,2943709373,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
30,2279466245,2971260552,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
31,2279466245,3008390609,2020,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
142,2325952761,3008390609,2020,Dean Corbae,dean corbae,Dean Corbae
32,2279466245,3041309291,2019,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
33,2279466245,3119550853,2021,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
147,2325952761,3119550853,2021,Dean Corbae,dean corbae,Dean Corbae
34,2279466245,3121484710,2014,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
35,2279466245,3121484710,2014,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
36,2279466245,3121573231,2008,Pablo D'Erasmo,pablo derasmo,Pablo D'Erasmo
151,2325952761,3121573231,2008,Dean Corbae,dean corbae,Dean Corbae
