,PaperId,PaperRank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,PaperCitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,N/A,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,Unknown,CreateDate
0,1978309954,19454,10.1086/250053,Journal,a positive theory of social security based on reputation,A Positive Theory of Social Security Based on Reputation,,1999,1999-02-01,,The University of Chicago Press,95323914.0,,,107.0,1.0,135.0,160.0,13,222,361,Journal of Political Economy,1978309954.0,19248.0,,2016-06-24,2399572050.0,,2.0,Jorge Soares,,16602.0,jorge soares,Jorge Soares,86501945.0,35.0,26.0,446.0,2016-06-24
0,1978309954,19454,10.1086/250053,Journal,a positive theory of social security based on reputation,A Positive Theory of Social Security Based on Reputation,,1999,1999-02-01,,The University of Chicago Press,95323914.0,,,107.0,1.0,135.0,160.0,13,222,361,Journal of Political Economy,1978309954.0,19248.0,,2016-06-24,2474937050.0,,1.0,Thomas F. Cooley,,13925.0,thomas f cooley,Thomas F. Cooley,57206974.0,175.0,120.0,6690.0,2016-07-22
1,2030266314,22942,10.1016/J.EJPOLECO.2011.11.004,Journal,divisive politics and accountability,Divisive politics and accountability,,2012,2012-06-01,2011-11-19,North-Holland,100134864.0,,,28.0,2.0,208.0,214.0,14,1,1,European Journal of Political Economy,2030266314.0,21804.0,,2016-06-24,2694880392.0,75951250.0,1.0,Áron Kiss,"Freie Universität Berlin, Department of Economics, Boltzmannstr. 20, 14195 Berlin, Germany",16999.0,aron kiss,Áron Kiss,162147314.0,42.0,33.0,166.0,2017-06-30
1,2030266314,22942,10.1016/J.EJPOLECO.2011.11.004,Journal,divisive politics and accountability,Divisive politics and accountability,,2012,2012-06-01,2011-11-19,North-Holland,100134864.0,,,28.0,2.0,208.0,214.0,14,1,1,European Journal of Political Economy,2030266314.0,21804.0,,2016-06-24,2694880392.0,2801702882.0,1.0,Áron Kiss,"Social Science Research Center Berlin (WZB), Reichpietschufer 50, 10785 Berlin, Germany",16999.0,aron kiss,Áron Kiss,162147314.0,42.0,33.0,166.0,2017-06-30
2,2063773487,19020,10.1086/261099,Journal,aggregate demand management in search equilibrium,Aggregate Demand Management in Search Equilibrium,,1982,1982-10-01,,The University of Chicago Press,95323914.0,,,90.0,5.0,881.0,894.0,2,1386,2618,Journal of Political Economy,2063773487.0,19017.0,,2016-06-24,2114523211.0,,1.0,Peter A. Diamond,,12692.0,peter a diamond,Peter A. Diamond,63966007.0,289.0,208.0,20314.0,2016-06-24
3,2127764389,22567,10.1016/J.EJPOLECO.2003.10.004,Journal,delegation in a group contest,Delegation in a group-contest,,2004,2004-03-01,2015-10-19,ELSEVIER SCIENCE INC,100134864.0,,,20.0,1.0,263.0,272.0,10,10,10,European Journal of Political Economy,2127764389.0,22371.0,,2016-06-24,194646236.0,,1.0,Lambert Schoonbeek,SOM EEF,16513.0,lambert schoonbeek,Lambert Schoonbeek,169381384.0,83.0,73.0,314.0,2016-06-24
4,2155977409,21379,10.1111/SJPE.12132,Journal,growth in a time of austerity evidence from the uk,Growth in a Time of Austerity: Evidence From the UK,,2017,2017-04-20,2017-04-20,"John Wiley & Sons, Ltd",111496547.0,,,64.0,4.0,349.0,375.0,40,3,3,Scottish Journal of Political Economy,2155977409.0,20686.0,,2016-06-24,2072057013.0,28407311.0,2.0,Paul Middleditch,University of Manchester,18530.0,paul middleditch,Paul Middleditch,28407311.0,14.0,10.0,17.0,2016-06-24
4,2155977409,21379,10.1111/SJPE.12132,Journal,growth in a time of austerity evidence from the uk,Growth in a Time of Austerity: Evidence From the UK,,2017,2017-04-20,2017-04-20,"John Wiley & Sons, Ltd",111496547.0,,,64.0,4.0,349.0,375.0,40,3,3,Scottish Journal of Political Economy,2155977409.0,20686.0,,2016-06-24,2776996651.0,142263535.0,1.0,Juergen Amann,#N#The University of Nottingham#N#,18989.0,juergen amann,Juergen Amann,142263535.0,7.0,5.0,9.0,2018-01-05
5,2157125979,18543,10.1086/261840,Journal,peer pressure and partnerships,Peer Pressure and Partnerships,,1992,1992-08-01,,The University of Chicago Press,95323914.0,,,100.0,4.0,801.0,817.0,20,1386,2285,Journal of Political Economy,2157125979.0,18531.0,,2016-06-24,616670817.0,,2.0,Edward P. Lazear,,12859.0,edward p lazear,Edward P. Lazear,97018004.0,261.0,141.0,21252.0,2016-06-24
5,2157125979,18543,10.1086/261840,Journal,peer pressure and partnerships,Peer Pressure and Partnerships,,1992,1992-08-01,,The University of Chicago Press,95323914.0,,,100.0,4.0,801.0,817.0,20,1386,2285,Journal of Political Economy,2157125979.0,18531.0,,2016-06-24,1976568276.0,,1.0,Eugene Kandel,,14598.0,eugene kandel,Eugene Kandel,197251160.0,77.0,50.0,4912.0,2016-06-24
