,PaperId,PaperRank,Doi,DocType,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,PaperCitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,N/A,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,Unknown,CreateDate
0,2033479243,17827,10.1162/0033553041382120,Journal,local capture evidence from a central government transfer program in uganda,Local Capture: Evidence from a Central Government Transfer Program in Uganda,,2004,2004-05-01,,Oxford University Press,203860005.0,,,119.0,2.0,679,705.0,16,684,1241,Quarterly Journal of Economics,2033479243.0,17716.0,,2016-06-24,2141714218,1334329717.0,2,Jakob Svensson,"Institute for International Economic Studies, Stockholm University, Development Research Group, the World Bank, and CEPR",14031,jakob svensson,Jakob Svensson,161593684.0,112,84,9684,2016-06-24
0,2033479243,17827,10.1162/0033553041382120,Journal,local capture evidence from a central government transfer program in uganda,Local Capture: Evidence from a Central Government Transfer Program in Uganda,,2004,2004-05-01,,Oxford University Press,203860005.0,,,119.0,2.0,679,705.0,16,684,1241,Quarterly Journal of Economics,2033479243.0,17716.0,,2016-06-24,2244061062,1334329717.0,1,Ritva Reinikka,Development Research Group The World Bank,14813,ritva reinikka,Ritva Reinikka,1334329717.0,56,45,3984,2016-06-24
1,2093882932,17924,10.1162/003355397555136,Journal,an economic model of representative democracy,An Economic Model of Representative Democracy,,1997,1997-02-01,1995-01-01,Oxford University Press,203860005.0,,,112.0,1.0,85,114.0,20,1215,2047,Quarterly Journal of Economics,2093882932.0,17669.0,,2016-06-24,523865281,909854389.0,1,Timothy Besley,London  School of Economics,12745,timothy besley,Timothy Besley,909854389.0,459,330,30371,2016-06-24
1,2093882932,17924,10.1162/003355397555136,Journal,an economic model of representative democracy,An Economic Model of Representative Democracy,,1997,1997-02-01,1995-01-01,Oxford University Press,203860005.0,,,112.0,1.0,85,114.0,20,1215,2047,Quarterly Journal of Economics,2093882932.0,17669.0,,2016-06-24,650455521,79576946.0,2,Stephen Coate,#N#               * University of Pennsylvania.,13799,stephen coate,Stephen Coate,205783295.0,151,90,10393,2016-06-24
2,2110227841,25599,10.2307/1883059,Journal,growth and fluctuations a causal interpretation,Growth and Fluctuations: A Causal Interpretation,,1960,1960-08-01,,Oxford University Press,203860005.0,,,74.0,3.0,416,436.0,0,5,5,Quarterly Journal of Economics,2110227841.0,25030.0,,2016-06-24,2148915000,95457486.0,1,Dale W. Jorgenson,University of California–Berkeley.,12165,dale w jorgenson,Dale W. Jorgenson,136199984.0,550,484,29099,2016-06-24
3,2133030236,18948,10.1093/QJE/QJR031,Journal,competition and product quality in the supermarket industry,Competition and Product Quality in the Supermarket Industry,,2011,2011-08-01,2011-08-03,Oxford University Press,203860005.0,,,126.0,3.0,1539,1591.0,46,174,379,Quarterly Journal of Economics,2133030236.0,18517.0,,2016-06-24,705441087,111979921.0,1,David A. Matsa,Northwestern University,15456,david a matsa,David A. Matsa,111979921.0,60,33,3087,2016-06-24
4,2257520161,18692,10.1093/QJE/QJV016,Journal,international liquidity and exchange rate dynamics,International Liquidity and Exchange Rate Dynamics,,2015,2015-08-01,2015-03-18,Oxford University Press,203860005.0,,,130.0,3.0,1369,1420.0,134,195,584,Quarterly Journal of Economics,2257520161.0,18168.0,,2016-06-24,167493679,57206974.0,1,Xavier Gabaix,"New York University, Stern School of Business Harvard University",13738,xavier gabaix,Xavier Gabaix,136199984.0,185,105,14932,2016-06-24
4,2257520161,18692,10.1093/QJE/QJV016,Journal,international liquidity and exchange rate dynamics,International Liquidity and Exchange Rate Dynamics,,2015,2015-08-01,2015-03-18,Oxford University Press,203860005.0,,,130.0,3.0,1369,1420.0,134,195,584,Quarterly Journal of Economics,2257520161.0,18168.0,,2016-06-24,823552993,57206974.0,2,Matteo Maggiori,"New York University, Stern School of Business Harvard University",15880,matteo maggiori,Matteo Maggiori,97018004.0,58,28,1046,2016-06-24
5,3121164381,18691,10.2307/2946684,Journal,health insurance eligibility utilization of medical care and child health,"Health Insurance Eligibility, Utilization of Medical Care, and Child Health",,1996,1996-05-01,1995-03-01,Oxford University Press,203860005.0,,,111.0,2.0,431,466.0,0,611,1084,Quarterly Journal of Economics,3121164381.0,18461.0,,2021-02-01,2147979303,1321305853.0,2,Jonathan Gruber,Massachusetts Institute of Technology and National Bureau of Economic Research ,12869,jonathan gruber,Jonathan Gruber,63966007.0,577,308,23385,2016-06-24
5,3121164381,18691,10.2307/2946684,Journal,health insurance eligibility utilization of medical care and child health,"Health Insurance Eligibility, Utilization of Medical Care, and Child Health",,1996,1996-05-01,1995-03-01,Oxford University Press,203860005.0,,,111.0,2.0,431,466.0,0,611,1084,Quarterly Journal of Economics,3121164381.0,18461.0,,2021-02-01,2153904071,161318765.0,1,Janet Currie,University of California at Los Angeles and National Bureau of Economic Research,13185,janet currie,Janet Currie,20089843.0,536,321,22645,2016-06-24
