Esther Duflo, Massachusetts Institute of Technology, USA
Isaiah Andrews, Harvard University, USA
Sylvain Chassang, Princeton University, USA
Arnaud Costinot, Massachusetts Institute of Technology, USA
Stefano DellaVigna, University of California, Berkeley, USA
Jeffrey Ely, Northwestern University, USA
John Friedman, Brown University, USA
Mikhail Golosov, University of Chicago, USA
Rema Hanna, Harvard University
Chinhui Juhn, University of Houston, USA
Emi Nakamura, University of California, Berkeley, USA
Pietro Ortoleva, Princeton University, USA
Katja Seim, Yale University, USA
Nageeb Ali, Pennsylvania State University, USA
Manuel Amador, University of Minnesota and Federal Reserve Bank of Minneapolis, USA
David Atkin, Massachusetts Institute of Technology, USA
Ned Augenblick, University of California, Berkeley, USA
Eduardo Azevedo, University of Pennsylvania, USA
Martha Bailey, University of California, Los Angeles, USA
Heski Bar-Isaac, University of Toronto, Canada
Daniel Benjamin, University of California, Los Angeles, USA
Aislinn Bohren, University of Pennsylvania, USA
Leah Boustan, Princeton University, USA
Yann Bramoulle, Aix-Marseille University, France
Gabriel Carroll, Stanford University, USA
Alessandra Casella, Columbia University, USA
Arun Chandrasekhar, Stanford University, USA
Aimee Chin, University of Houston, USA
Gordon Dahl, University of California, San Diego, USA
Geoffroy De Clippel, Brown University, USA
Mark Dean, Columbia University, USA
Matthias Doepke, Northwestern University, USA
Georgy Egorov, Northwestern University, USA
Ying Fan, University of Michigan, USA
Patrick Francois, University of British Columbia, Canada
Simone Galperti, University of California, San Diego, USA
Daniel Gottlieb, London School of Economics, UK
Eric Gould, Hebrew University, Israel
Paul Grieco, Pennsylvania State University, USA
Michael Grubb, Boston College, USA
Marina Halac, Yale University, USA
Joshua Hausman, University of Michigan, USA
Jean-Francois Houde, University of Wisconsin, USA
Nagore Iriberri, University of the Basque Country, Spain
Oleg Itskhoki, Princeton University, USA
Kelsey Jack, University of California, Santa Barbara, USA
Şebnem Kalemli-Özcan, University of Maryland, USA
Loukas Karabarbounis, University of Minnesota, USA
Fuhito Kojima, University of Tokyo, Japan
Botond Kőszegi, Central European University, Hungary
Qingmin Liu, Columbia University, USA
Guido Lorenzoni, Northwestern University, USA
Jens Ludwig, University of Chicago, USA
Filip Matějka, Center for Economic Research and Graduate Education – Economics Institute, Czech Republic
Ellen McGrattan, University of Minnesota, USA
Alisdair McKay, Minneapolis Federal Reserve Bank, USA
Karel Mertens, Dallas Federal Reserve Bank, USA
Moritz Meyer-ter-Vehn, University of California, Los Angeles, USA
Ryan Oprea, University of California, Santa Barbara, USA
Juan Ortner, Boston University, USA
Amanda Pallais, Harvard University, USA
Antonio Penta, Pompeu Fabra University, Spain
Eduardo Perez-Richet, Paris Institute of Political Studies, France
Ronny Razin, London School of Economics, UK
James Roberts, Duke University, USA
Esteban Rossi-Hansberg, University of Chicago, USA
Emmanuel Saez, University of California, Berkeley, USA
Vasiliki Skreta, University of Texas at Austin, USA; University College London, UK
Kathryn Spier, Harvard University, USA
Johannes Spinnewijn, London School of Economics, UK
Charles Sprenger, University of California, San Diego, USA
Jakub Steiner, University of Zurich, Switzerland
Tomasz Strzalecki, Harvard University, USA
Justin Sydnor, University of Wisconsin-Madison, USA
Alireza Tahbaz-Salehi, Northwestern University, USA
Olivier Tercieux, Paris School of Economics, France
Juuso Toikka, University of Pennsylvania, USA
Francesco Trebbi, University of California, Berkeley, USA
Aleh Tsyvinski, Yale University, USA
John Van Reenen, Massachusetts Institute of Technology, USA
Nico Voigtlander, University of California, Los Angeles, USA
Jeff Wooldridge, Michigan State University, USA
Pierre Yared, Columbia University, USA
