Magne Mogstad,,,University of Chicago
Andrew Atkeson,,,University of California
Mark Bils,,,University of Rochester
Leonardo Bursztyn,,,University of Chicago
Melissa Dell,,,Harvard University
Rachel Griffith,,,University of Manchester
Emir Kamenica,,,University of Chicago
Greg Kaplan,,,University of Chicago
John List,,,University of Chicago
Lance Lochner,,,University of Western Ontario
Esteban Rossi-Hansberg,,,University of Chicago
Azeem Shaikh,,,University of Chicago
Alexander Cappelen,,,NHH Norwegian School of Economics
Zoe Cullen,,,Harvard University
Anna Dreber Almenberg,,,Stockholm School of Economics
Andrea Eisfeldt,,,University of California Los Angeles
Pablo Fajgelbaum,,,Princeton University
Claudio Ferraz,,,University of British Columbia
Cecile Gaubert,,,University of California Berkeley
David Green,,,University of British Columbia
Jennifer La’O,,,Columbia University
Edwin Leuven,,,University of Oslo
Lee Lockwood,,,University of Virginia
Yusufcan Masatlioglu,,,University of Maryland
Ezra Oberfield,,,Princeton University
Parag Pathak,,,Massachusetts Institute of Technology
Ayşegül Şahin,,,University of Texas at Austin
Joseph Shapiro,,,University of California Berkeley
Kjetil Storesletten,,,University of Minnesota
Johannes Stroebel,,,New York University
Wilbert van der Klaauw,,,Federal Reserve Bank of New York
Christopher Walters,,,University of California Berkeley
Chenzi Xu,,,Stanford University
Guo Xu,,,University of California Berkeley
