Robert J. Barro,,,Harvard University
Lawrence F. Katz,,,Harvard University
Nathan Nunn,,,Harvard University
Andrei Shleifer,,,Harvard University
Stefanie Stantcheva,,,Harvard University
Sule Alan,,,
David Atkin,,,
Ned Augenblick,,,
David Baqaee,,,
Nicholas Barberis,,,
Natalie Bau,,,
Sascha O. Becker,,,
Nicholas Bloom,,,
Frederico Finan,,,
Xavier Gabaix,,,
Matthew Gentzkow,,,
Claudia Goldin,,,
Loukas Karabarbounis,,,
Trevon Logan,,,
Ioana Marinescu,,,
Matthew Notowidigdo,,,
Edward O'Donoghue,,,
Emily Oster,,,
Amanda Pallais,,,
Valerie Ramey,,,
Stephen Redding,,,
Bruce Sacerdote,,,
Jesse M. Shapiro,,,
Alp Simsek,,,
Jon Steinsson,,,
Tomasz Strzalecki,,,
John Van Reenen,,,
Reed Walker,,,
Ebonya Washington,,,
David Yanagizawa-Drott,,,
Florian Zimmermann,,,
Thomas H. Baranga,,,
