Michael Woodford,male,1.0
Oliver Hart,male,1.0
Michael H. Riordan,male,1.0
Sylvain Chassang,male,1.0
Isaiah Andrews,male,1.0
Andrew Caplin,male,1.0
Esteban Rossi-Hansberg,male,1.0
Frederico Finan,male,1.0
Bruce Sacerdote,male,1.0
Ned Augenblick,male,0.99
Rudiger Dornbusch,male,0.99
Harriet E. Hoffman,female,1.0
Tomasz Strzalecki,male,1.0
Michael Waldma,male,1.0
Edward O’Donoghue,male,1.0
Robert Jensen,male,1.0
Andrew Atkeson,male,1.0
Jeremy C. Stein,male,1.0
Lawrence F. Katz,male,1.0
Andrei Schleifer,male,0.99
Seema Jayachandran,female,1.0
Jón Steinsson,male,1.0
Trevon Logan,male,1.0
Edward Miguel,male,1.0
Alp Simsek,male,0.98
Francesco Caselli,male,1.0
Dave Donaldson,male,1.0
Pascaline Dupas,female,0.98
Robert Gibbons,male,1.0
George J. Boijas,male,1.0
Jaume Ventura,male,0.99
Colin Camerer,male,1.0
Armin Falk,male,0.99
Gene Grossman,male,0.87
Jeremy Stein,male,1.0
Julio Rotemberg,male,1.0
Sule Alan,female,0.89
Raghuram Rajan,male,0.96
Alan B. Krueger,male,1.0
David Romer,male,1.0
Robert Margo,male,1.0
George Akerlof,male,1.0
Pol Antràs,male,0.97
Jesse M. Shapiro,male,0.99
Stephen Redding,male,1.0
Charles Jones,male,1.0
Marianne Bertrand,female,1.0
Emily Oster,female,1.0
Matthew Gentzkow,male,1.0
Pol Antras,male,0.97
Matthew Notowidigdo,male,1.0
George J. Borjas,male,1.0
Edward L. Glaeser,male,1.0
Dennis Epple,male,1.0
Silvana Tenreyro,female,1.0
John Van Reenen,male,1.0
Trina Ott,female,1.0
Amir Suﬁ,male,1.0
Amir Sufi,male,1.0
Steven Levitt,male,1.0
James Hines,male,1.0
Michael Waldman,male,1.0
David Atkin,male,1.0
Amanda Pallais,female,1.0
Daron Acemoglu,male,1.0
Roland B6Nabou,male,1.0
William Easterly,male,1.0
Richard Thaler,male,1.0
Judith Chevalier,female,1.0
Ebonya Washington,female,1.0
Gerard Padró I Miquel,male,0.99
David Baron,male,1.0
Xavier Gabaix,male,1.0
Janet Currie,female,1.0
Robert J. Barro,male,1.0
Stephen Coate,male,1.0
Peter Klenow,male,1.0
Natalie Bau,female,1.0
Thomas H. Baranga,male,1.0
Hans-Joachim Voth,male,1.0
Erik Hurst,male,1.0
Roland Benabou,male,1.0
Susan C. Athey,female,1.0
Emi Nakamura,female,0.87
Florian Zimmermann,male,1.0
Reed Walker,male,1.0
Kenneth Rogoff,male,1.0
Jon Steinsson,male,1.0
Nicholas Barberis,male,1.0
David Yanagizawa-Drott,male,1.0
Olivier J. Blanchard,male,1.0
Narayana Kocherlakota,male,0.9
Lasse Pedersen,male,1.0
Sascha O. Becker,male,0.97
Roberto Perotti,male,1.0
Journal Manager – Production,male,0.74
Edward O'Donoghue,male,1.0
John Bound,male,1.0
Erzo F. P. Luttmer,male,1.0
Pol Antr?S,male,0.97
Stefanie Stantcheva,female,0.99
David Card,male,1.0
Nathan Nunn,male,1.0
Erzo F.P. Luttmer,male,1.0
Alberto Alesina,male,1.0
Eliana La Ferrara,female,1.0
Michael Kremer,male,1.0
Nicholas Bloom,male,1.0
Alwyn Young,male,0.96
Timothy Besley,male,1.0
Drew Fudenberg,male,0.98
Peter Ganong,male,1.0
Glenn Ellison,male,1.0
Abhijit Banerjee,male,1.0
Elhanan Helpman,male,0.92
Andrei Shleifer,male,0.99
Ernst Fehr,male,1.0
Claudia Goldin,female,1.0
Valerie Ramey,female,1.0
David Baqaee,male,1.0
Brent Neiman,male,1.0
Loukas Karabarbounis,male,1.0
