Michael Woodford,British,0.7288661443104578
Oliver Hart,British,0.3410697645102367
Michael H. Riordan,Irish,0.9364193968480822
Sylvain Chassang,French,0.8230427520385426
Isaiah Andrews,British,0.26090716487374255
Andrew Caplin,British,0.4230624076257683
Esteban Rossi-Hansberg,Jewish,0.5887584643924129
Frederico Finan,Irish,0.5041191391820256
Bruce Sacerdote,Italian,0.3946228775483525
Ned Augenblick,Jewish,0.5570795767990158
Rudiger Dornbusch,German,0.785751186076788
Harriet E. Hoffman,Jewish,0.6142355605848356
Tomasz Strzalecki,Polish,0.9606009070294784
Michael Waldma,Jewish,0.25081360485570453
Edward O’Donoghue,Irish,0.948900719808722
Robert Jensen,Danish,0.948900719808722
Andrew Atkeson,Swedish,0.22691761967571814
Jeremy C. Stein,Jewish,0.2304168255796553
Lawrence F. Katz,Jewish,0.5423193910329268
Andrei Schleifer,German,0.2844013107021237
Seema Jayachandran,Indian,0.9606009070294784
Jón Steinsson,Icelander,0.8324162636279564
Trevon Logan,British,0.19541477669162835
Edward Miguel,Portuguese,0.4935998730513694
Alp Simsek,Turkish,0.9606009070294784
Francesco Caselli,Italian,0.9606009070294784
Dave Donaldson,British,0.2724620919628505
Pascaline Dupas,French,0.9058986627489363
Robert Gibbons,Irish,0.39733313075278076
George J. Boijas,French,0.14942285487357904
Jaume Ventura,Hispanic,0.21413579802810528
Colin Camerer,British,0.43779909316786386
Armin Falk,Swedish,1.0
Gene Grossman,Jewish,0.8941581960829152
Jeremy Stein,Jewish,0.2304164928208598
Julio Rotemberg,Jewish,0.6626433794872102
Sule Alan,Turkish,0.7351354188494463
Raghuram Rajan,Indian,0.9547508134191002
Alan B. Krueger,German,0.8010707052672573
David Romer,German,0.3363117049965102
Robert Margo,Italian,0.24863506149945694
George Akerlof,Swedish,0.822363353353112
Pol Antràs,Greek,0.34859657325731797
Jesse M. Shapiro,Jewish,0.8237963032438297
Stephen Redding,British,0.23963185376479443
Charles Jones,AfricanAmerican,0.21273253300916914
Marianne Bertrand,French,0.8311284808048615
Emily Oster,German,0.4771057767564117
Matthew Gentzkow,German,0.5620982044970066
Pol Antras,Greek,0.34859657325731797
Matthew Notowidigdo,Indonesian,0.1939929204703038
George J. Borjas,Hispanic,0.7078500052579726
Edward L. Glaeser,German,0.6120470828904426
Dennis Epple,German,0.6637671617850492
Silvana Tenreyro,Portuguese,0.5560568828327688
John Van Reenen,Dutch,0.5341351963339226
Trina Ott,German,0.1987651714908694
Amir Suﬁ,Bosniak,0.4078921952283854
Amir Sufi,Pakistanese,0.4968597715567615
Steven Levitt,Jewish,1.0
James Hines,HispanoLatino,0.21168505380769828
Michael Waldman,Jewish,0.6587830505642067
David Atkin,British,0.5067062984336971
Amanda Pallais,French,0.6602213117592122
Daron Acemoglu,Turkish,0.7822622367454632
Roland B6Nabou,Lebanese,0.23395632688264895
William Easterly,British,0.4220757523350967
Richard Thaler,Austrian,0.8363788118438021
Judith Chevalier,French,0.8332678568068582
Ebonya Washington,AfricanAmerican,0.7465113327807399
Gerard Padró I Miquel,French,0.7977141284679147
David Baron,French,0.32460039364035304
Xavier Gabaix,French,0.6660968666165169
Janet Currie,British,1.0
Robert J. Barro,NativeHawaiian,0.17939501903321817
Stephen Coate,British,0.522181196780168
Peter Klenow,German,0.6534678098523552
Natalie Bau,French,0.43558530424201863
Thomas H. Baranga,Kenyan,0.3519118422006866
Hans-Joachim Voth,German,0.7478697599280391
Erik Hurst,British,0.3474506489374896
Roland Benabou,Algerian,0.8339638973315285
Susan C. Athey,British,0.3306222377097374
Emi Nakamura,Japanese,0.9606009070294784
Florian Zimmermann,German,0.461020311008417
Reed Walker,British,0.43696549074697416
Kenneth Rogoff,Jewish,1.0
Jon Steinsson,Icelander,0.8347170016095948
Nicholas Barberis,Italian,0.3206328432628809
David Yanagizawa-Drott,NativeHawaiian,0.31895178654203393
Olivier J. Blanchard,French,0.9053343099962967
Narayana Kocherlakota,Indian,0.6052163260442428
Lasse Pedersen,Danish,0.9547508134191002
Sascha O. Becker,Jewish,1.0
Roberto Perotti,Italian,0.9424289484467567
Journal Manager – Production,French,0.11395972708768332
Edward O'Donoghue,Irish,0.9606009070294784
John Bound,British,0.3801583041623697
Erzo F. P. Luttmer,German,0.6955333808812236
Pol Antr?S,Greek,0.33534448866060684
Stefanie Stantcheva,Bulgarian,0.663437073478607
David Card,HispanoLatino,0.21634750402056038
Nathan Nunn,British,0.2906225096556855
Erzo F.P. Luttmer,German,0.6955333808812236
Alberto Alesina,Italian,0.5619755765983999
Eliana La Ferrara,Italian,0.7857094988433226
Michael Kremer,German,0.5882391995166649
Nicholas Bloom,Jewish,1.0
Alwyn Young,British,0.4588035748462617
Timothy Besley,British,0.4865415215304086
Drew Fudenberg,Jewish,0.3557772993893871
Peter Ganong,Danish,0.15672703643098182
Glenn Ellison,British,0.5374233129104398
Abhijit Banerjee,Indian,0.9606009070294784
Elhanan Helpman,Jewish,0.4346076824881763
Andrei Shleifer,Jewish,0.6667941180421555
Ernst Fehr,Swiss,0.5293601552082837
Claudia Goldin,Jewish,0.8660568941313337
Valerie Ramey,British,0.3792941094393469
David Baqaee,NativeHawaiian,0.30488055021360577
Brent Neiman,Jewish,0.6663393847484008
Loukas Karabarbounis,Greek,0.9606009070294784
