Matthew O. Jackson,male,1.0
Per Krusell,male,0.97
Jaap Abbring,male,0.97
Marciano Siniscalchi,male,1.0
Uzi Segal,male,0.9
Yacine Aït-Sahalia,male,0.93
Victor Chernozhukov,male,1.0
Ulrich K. Müller,male,1.0
Amanda Friedenberg,female,1.0
Matias D. Cattaneo,male,1.0
Michael Ostrovsky,male,1.0
Rosa L. Matzkin,female,1.0
George J. Mailath,male,1.0
Barton Lipman,male,1.0
Dirk Bergemann,male,1.0
Rakesh Vohra,male,1.0
Claudio Ferraz,male,1.0
Rachel Griffith,female,1.0
Andrew Schotter,male,1.0
Giovanni L. Violante,male,1.0
Serena Ng,female,1.0
Patrick Bayer,male,1.0
Michael Jansson,male,1.0
Guido Imbens,male,1.0
Michele Boldrin,female,0.78
Eddie Dekel,male,0.98
Lee Ohanian,male,0.83
Elie Tamer,male,0.93
James Andreoni,male,1.0
Joel Sobel,male,1.0
Ilya R. Segal,male,0.97
Matthew Elliott,male,1.0
Jan De Loecker,male,0.91
Shakeeb Khan,male,0.99
Joseph G. Altonji,male,1.0
Hanno Lustig,male,0.9
Anna Mikusheva,female,0.99
Stephan Lauermann,male,1.0
Matthew J. Wiswall,male,1.0
Peter Klenow,male,1.0
James H. Stock,male,1.0
Sujoy Mukerji,male,0.99
Stephen Morris,male,1.0
Thierry Magnac,male,0.99
Steven A. Matthews,male,1.0
Marina Halac,female,0.99
Danny Yagan,male,0.99
Steven Berry,male,1.0
Stefan Hoderlein,male,1.0
Jianqing Fan,male,0.79
Todd Sarver,male,1.0
Bruno Strulovici,male,1.0
Richard J. Smith,male,1.0
Neil Shephard,male,1.0
David Dillenberger,male,1.0
Atsushi Kajii,male,1.0
Michal Kolesár,male,0.98
Elena Manresa,female,1.0
Xiaohong Chen,female,0.79
Bruce E. Hansen,male,1.0
Bart Lipman,male,1.0
Gabriel Carroll,male,1.0
Mary Beth Bellando,female,1.0
Tao Zha,male,0.87
Tomasz Strzalecki,male,1.0
Vincent P. Crawford,male,1.0
Parag Pathak,male,1.0
Pierpaolo Battigalli,male,0.99
Guillaume Fréchette,male,1.0
Frank Verboven,male,1.0
Tayfun Sönmez,male,0.97
Nicholas Bloom,male,1.0
Dave Donaldson,male,1.0
Pierre-Olivier Weill,male,0.99
Jeroen M. Swinkels,male,1.0
Ulrich Müller,male,1.0
Johannes Hörner,male,1.0
Jakub Kastl,male,1.0
Darrell Duffie,male,1.0
Loukas Karabarbounis,male,1.0
Patrick Kline,male,1.0
Moritz Meyer-Ter-Vehn,male,1.0
Susan Athey,female,1.0
Lars Peter Hansen,male,1.0
Alberto Abadie,male,1.0
Alessandro Lizzeri,male,1.0
Charles I. Jones,male,1.0
David K. Levine,male,1.0
Rebecca Diamond,female,1.0
Chris Shannon,male,0.92
Eliana La Ferrara,female,1.0
Joris Pinkse,male,1.0
Philip Haile,male,1.0
Andres Aradillas-Lopez,male,1.0
Nour Meddahi,female,0.56
Jonathan Levin,male,1.0
Michael Keane,male,1.0
Nicola Persico,male,0.83
Felix Kubler,male,1.0
Yael Leshem,female,0.77
Chris Udry,male,0.92
Keisuke Hirano,male,1.0
Itzhak Gilboa,male,1.0
Andres Santos,male,1.0
Susanne M. Schennach,female,0.99
Jinyong Hahn,male,0.98
Jeffrey Ely,male,1.0
Benjamin Moll,male,1.0
Mikhail Golosov,male,1.0
Fabrizio Zilibotti,male,1.0
Federico Echenique,male,1.0
Faruk Gul,male,0.99
Oriana Bandiera,female,1.0
Benjamin Polak,male,1.0
Eduardo Azevedo,male,1.0
Laura Veldkamp,female,1.0
Stephen Redding,male,1.0
Thomas Mariotti,male,1.0
Zheng Michael Song,male,0.98
William R. Zame,male,1.0
Donald W. K. Andrews,male,1.0
Ali Yurukoglu,male,0.94
Johannes Horner,male,1.0
Benny Moldovanu,male,0.98
Nicolas Vieille,male,1.0
Christopher Taber,male,1.0
Manuel Amador,male,1.0
Liran Einav,male,0.99
Alexander Wolitzky,male,1.0
Asher Wolinsky,male,0.99
Marina Agranov,female,0.99
Eric Renault,male,1.0
Philip J. Reny,male,1.0
Larry G. Epstein,male,1.0
Francesca Molinari,female,1.0
John Van Reenen,male,1.0
Larry Samuelson,male,1.0
David Martimort,male,1.0
Andrew Mclennan,male,1.0
J. Darrell Duffie,female,0.67
Mary Beth Bellando-Zaniboni,female,1.0
Aviv Nevo,male,0.95
Marco Bassetto,male,1.0
Jesús Fernández-Villaverde,male,1.0
Viktor Todorov,male,1.0
Giorgio Primiceri,male,1.0
Daron Acemoglu,male,1.0
Francis Bloch,male,0.94
Johannes Stroebel,male,1.0
Marzena Rostek,female,0.99
Melissa Dell,female,1.0
Iván Werning,male,1.0
Barton L. Lipman,male,1.0
Whitney K. Newey,female,0.95
Yoram Halevy,male,1.0
Kate Ho,female,1.0
Wojciech Olszewski,male,1.0
Massimo Marinacci,male,1.0
Chris Edmond,male,0.92
David Yanagizawa-Drott,male,1.0
Yeon-Koo Che,None,0.0
Jia Li,female,0.65
Katherine Casey,female,1.0
Elias Papaioannou,male,1.0
Jushan Bai,male,1.0
Benjamin Faber,male,1.0
Harald Uhlig,male,1.0
Wolfgang Pesendorfer,male,1.0
Eric Budish,male,1.0
Bas J. M. Werker,female,0.76
Thomas R. Palfrey,male,1.0
Jean-Marc Robin,male,1.0
Xavier Gabaix,male,1.0
Philippe Jehiel,male,1.0
Azeem M. Shaikh,male,1.0
Patrik Guggenberger,male,1.0
Andriy Norets,male,1.0
Qingmin Liu,male,1.0
Ernesto Dal Bó,male,1.0
Eran Shmaya,male,0.97
Lorenzo Caliendo,male,1.0
Ivana Komunjer,female,1.0
Jón Steinsson,male,1.0
Marco Battaglini,male,1.0
Haluk Ergin,male,0.97
Denis Chetverikov,male,0.97
Guido W. Imbens,male,1.0
Yuichi Kitamura,male,0.99
Philip A. Haile,male,1.0
Edward J. Vytlacil,male,1.0
Isaiah Andrews,male,1.0
David Ahn,male,1.0
Vasilis Syrgkanis,male,1.0
Pascaline Dupas,female,0.98
Oliver Linton,male,1.0
Geri Mattson,female,0.91
Leeat Yariv,female,1.0
Aleh Tsyvinski,male,0.8
Mary Beth Bellando-Zaniboni Yale University,female,1.0
Treb Allen,male,0.89
