Lance Lochner,male,1.0
Johannes Stroebel,male,1.0
Guo Xu,male,0.71
John List,male,1.0
Ralph Koijen,male,1.0
Ali Hortaçsu,male,0.94
David Yanagizawa-Drott,male,1.0
Jakub Kastl,male,1.0
Jonathan Vogel,male,1.0
Itamar Drechsler,male,0.95
Meera Joshi,female,1.0
Jesse Shapiro,male,0.99
Patrick Kline,male,1.0
Connie Fritsche,female,1.0
Magne Mogstad,male,0.9
Frederico Finan,male,1.0
Amit Seru,male,0.99
Zoe Cullen,female,0.99
AyşEgül Sahin,None,0.0
Andrea Eisfeldt,female,0.82
Valerie Ramey,female,1.0
Jonathan Levin,male,1.0
Samuel Abers,male,1.0
Yusufcan Masatlioglu,male,0.99
Jan De Loecker,male,0.91
Lee Lockwood,male,0.83
Stefanie Stantcheva,female,0.99
Noam Yuchtman,male,0.95
Pietro Ortoleva,male,1.0
Bertil Tungodden,male,1.0
Edwin Leuven,male,1.0
Manisha Ratakonda,female,1.0
Chad Syverson,male,1.0
Francesco Trebbi,male,1.0
Hanna Kime,female,0.99
Andrew Atkeson,male,1.0
Wilbert Van Der Klaauw,male,1.0
Jennifer La’O,female,1.0
Azeem Shaikh,male,1.0
James J. Heckman,male,1.0
Mark Bils,male,1.0
Kjetil Storesletten,male,1.0
Emir Kamenica,male,0.99
Linfei Li,male,0.86
Daniel Gottlieb,male,1.0
Rachel Griffith,female,1.0
Ben Handel,male,0.99
Raymond Fisman,male,1.0
Chenzi Xu,female,0.7
Ali Hortacsu,male,0.94
Student Assistant,male,0.86
Cecile Gaubert,female,0.99
Albrecht Ritschl,male,0.94
Leonardo Bursztyn,male,1.0
Gautam Rao,male,1.0
Vicky M. Longawa,female,0.97
Ricardo Perez-Truglia,male,1.0
Claudio Ferraz,male,1.0
Joseph Shapiro,male,1.0
Ed Martin,male,1.0
Zoë Cullen,female,1.0
Greg Kaplan,male,1.0
Annie Dhal,female,1.0
Harald Uhlig,male,1.0
Harvey Barnhard,male,1.0
Ezra Oberfield,male,0.82
David Green,male,1.0
Parag Pathak,male,1.0
Christopher Walters,male,1.0
Peter Klenow,male,1.0
Anna Dreber Almenberg,female,0.99
Pablo Fajgelbaum,male,1.0
Erik Hurst,male,1.0
Melissa Dell,female,1.0
Chloe Pfeiffer,female,1.0
Alexander Cappelen,male,1.0
Anna Dreber,female,0.99
Esteban Rossi-Hansberg,male,1.0
Michael Greenstone,male,1.0
Almenberg,None,0.0
Daniel Labrousse,male,1.0
