Neil Shephard,male,1.0
Marco Ottaviani,male,1.0
Christian Julliard,male,1.0
Nicola Fuchs-Schündeln,male,0.83
Denis Kristensen,male,0.97
Johannes Spinnewijn,male,1.0
J. Gali,female,0.67
Giorgio Primiceri,male,1.0
Gabriel Chodorow-Reich,male,1.0
Jorge Padilla,male,1.0
F. Cornelli,None,0.0
V. Bhaskar,female,1.0
P. Rey,male,1.0
J. Padilla,female,0.67
Board Of Directors,male,0.82
Joseph Vavra,male,1.0
Phillippe Jehiel,male,1.0
Thomas Chaney,male,1.0
D. Diamond,male,1.0
Step Han Lauerm Ann,male,0.9
Mattreesh Ghatak,None,0.0
Mikkel Plagborg-Moller,male,0.99
Bernard Salanie,male,0.99
Oliver Linton,male,1.0
David Lee,male,1.0
Mikhail Golosov,male,1.0
Filip Matejka,male,0.99
Jerome Adda,male,1.0
K. Abadir,male,1.0
G. Noldeke,male,1.0
P. Weil,male,1.0
P. Klemperer,male,1.0
Phillipe Jehiel,male,1.0
Nicola Gennaioli,male,0.83
Maria Petrova,female,1.0
Silvana Tenreyro,female,1.0
Pedro Bordalo,male,1.0
Áureo De Paula,male,1.0
Gareth Myles,male,1.0
A. Manning,None,0.0
B. Salanie,None,0.0
O. Attanasio,None,0.0
Melissa Dell,female,1.0
P. Bolton,male,1.0
Joan Llull,female,0.91
Edouard Schaal,male,0.99
Hyun Song Shin (Chairman),male,0.62
Klaus Schmidt,male,1.0
Gilat Levy,female,0.73
Ray Fisman,male,0.99
David S Lee,male,1.0
Christian Hellwig,male,1.0
I. Tonks,None,0.0
Balazs Szentes,male,0.94
Gianluca Violante,male,1.0
Hidehiko Ichimura,male,1.0
Abi Adams-Prassl,female,0.58
M. Arellano,male,1.0
Andrea Prat,female,0.82
Takuro Yamashita,male,1.0
A. Roell,None,0.0
Mark Armstrong,male,1.0
S. Durlauf,female,0.5
Annika Andreasson,female,0.99
Bruno Strulovici,male,1.0
Robert Porter,male,1.0
Martin Schneider,male,1.0
Pierre-Olivier Weill,male,0.99
Davide Cantoni,male,1.0
Sven Rady,male,1.0
