Name,Role,Start,End,x,y,z,a,b
Eddie Dekel,Editor,2007,2007,Northwestern University
Geri Mattson,Managing Editor,2007,2023,
Steven Berry,Co-Editors,2007,2009,Yale University
David K. Levine,Co-Editors,2007,2008,Washington University in St. Louis
Whitney K. Newey,Co-Editors,2007,2009,MIT
Larry Samuelson,Co-Editors,2007,2007,University of Wisconsin
Harald Uhlig,Co-Editors,2007,2007,Humboldt University of Berlin
Joseph G. Altonji,Associate Editors,2007,2013,Yale University
Donald W. K. Andrews,Associate Editors,2007,2009,Yale University
Susan Athey,Associate Editors,2007,2007,Harvard University
Jushan Bai,Associate Editors,2007,2009,New York University
Michele Boldrin,Associate Editors,2007,2009,Washington University in St. Louis
Vincent P. Crawford,Associate Editors,2007,2007,University of California, San Diego
J. Darrell Duffie,Associate Editors,2007,2011,Stanford University
Larry G. Epstein,Associate Editors,2007,2007,University of Rochester
Itzhak Gilboa,Associate Editors,2007,2007,Tel Aviv University,Yale University
Faruk Gul,Associate Editors,2007,2014,Princeton University
Jinyong Hahn,Associate Editors,2007,2011,University of California, Los Angeles
Bruce E. Hansen,Associate Editors,2007,2008,University of Wisconsin–Madison
Guido Imbens,Associate Editors,2007,2008,Harvard University
Matthew O. Jackson,Associate Editors,2007,2007,Stanford University
Atsushi Kajii,Associate Editors,2007,2007,Kyoto University
Michael Keane,Associate Editors,2007,2007,University of Technology,Sydney
Yuichi Kitamura,Associate Editors,2007,2009,Yale University
Per Krusell,Associate Editors,2007,2010,Princeton University,Stockholm University
Oliver Linton,Associate Editors,2007,2011,London School of Economics
Barton Lipman,Associate Editors,2007,2008,Boston University
Thierry Magnac,Associate Editors,2007,2007,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse
George J. Mailath,Associate Editors,2007,2007,Yale University
David Martimort,Associate Editors,2007,2010,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse
Steven A. Matthews,Associate Editors,2007,2011,University of Pennsylvania
Rosa L. Matzkin,Associate Editors,2007,2007,Northwestern University
Benny Moldovanu,Associate Editors,2007,2008,University of Bonn
Stephen Morris,Associate Editors,2007,2007,Princeton University
Lee Ohanian,Associate Editors,2007,2012,University of California, Los Angeles
Thomas R. Palfrey,Associate Editors,2007,2007,California Institute of Technology
Wolfgang Pesendorfer,Associate Editors,2007,2008,Princeton University
Eric Renault,Associate Editors,2007,2008,University of North Carolina, Chapel Hill
Philip J. Reny,Associate Editors,2007,2011,University of Chicago
Jean-Marc Robin,Associate Editors,2007,2009,Université de Paris 1,University College London
Uzi Segal,Associate Editors,2007,2010,Boston College
Chris Shannon,Associate Editors,2007,2009,University of California, Berkeley
Neil Shephard,Associate Editors,2007,2009,Oxford University
Richard J. Smith,Associate Editors,2007,2007,University of Cambridge
James H. Stock,Associate Editors,2007,2007,Harvard University
Elie Tamer,Associate Editors,2007,2012,Northwestern University
Chris Udry,Associate Editors,2007,2007,Yale University
Asher Wolinsky,Associate Editors,2007,2016,Northwestern University
William R. Zame,Associate Editors,2007,2007,University of California, Los Angeles
Yael Leshem,Editorial Assistant,2007,2007,Tel Aviv University
Stephen Morris,Editor,2008,2011,Princeton University
Daron Acemoglu,Co-Editors,2008,2011,MIT
Larry Samuelson,Co-Editors,2008,2010,Yale University
Harald Uhlig,Co-Editors,2008,2010,University of Chicago
Yacine Aït-Sahalia,Associate Editors,2008,2013,Princeton University
Jeffrey Ely,Associate Editors,2008,2016,Northwestern University
Larry G. Epstein,Associate Editors,2008,2009,Boston University
Philip Haile,Associate Editors,2008,2008,2013,2019,Yale University
Philippe Jehiel,Associate Editors,2008,2008,2010,2010,Paris School of Economics,University College London
Michael Keane,Associate Editors,2008,2008,University of Technology, Sydney
Thierry Magnac,Associate Editors,2008,2009,Toulouse School of Economics
George J. Mailath,Associate Editors,2008,2010,University of Pennsylvania
Rosa L. Matzkin,Associate Editors,2008,2013,University of California, Los Angeles
Wojciech Olszewski,Associate Editors,2008,2019,Northwestern University
Marciano Siniscalchi,Associate Editors,2008,2016,Northwestern University
Mary Beth Bellando,Editorial Assistant,2008,2011,Princeton University
Wolfgang Pesendorfer,Co-Editors,2009,2012,Princeton University
James Andreoni,Associate Editors,2009,2011,University of California, San Diego
Marco Battaglini,Associate Editors,2009,2015,Princeton University
Pierpaolo Battigalli,Associate Editors,2009,2017,Università Bocconi
Dirk Bergemann,Associate Editors,2009,2014,Yale University
Victor Chernozhukov,Associate Editors,2009,2014,Massachusetts Institute of Technology
Haluk Ergin,Associate Editors,2009,2010,Washington University in St. Louis
Philip A. Haile,Associate Editors,2009,2012,Yale University
Philippe Jehiel,Associate Editors,2009,2009,Paris School of Economics
Bart Lipman,Associate Editors,2009,2018,Boston University
Eric Renault,Associate Editors,2009,2009,University of North Carolina
Susanne M. Schennach,Associate Editors,2009,2012,University of Chicago
Jeroen M. Swinkels,Associate Editors,2009,2009,Washington University in St. Louis
Iván Werning,Associate Editors,2009,2014,Massachusetts Institute of Technology
Jean-Marc Robin,Co-Editors,2010,2010,Université Paris 1 Panthéon–Sorbonne,University College London
James H. Stock,Co-Editors,2010,2012,Harvard University
Jushan Bai,Associate Editors,2010,2014,Columbia University
Xiaohong Chen,Associate Editors,2010,2012,2015,2020,Yale University
Mikhail Golosov,Associate Editors,2010,2011,Yale University
Michael Jansson,Associate Editors,2010,2018,2020,2021,University of California, Berkeley
Felix Kubler,Associate Editors,2010,2023,University of Zurich
Thierry Magnac,Associate Editors,2010,2012,Toulouse School of Economics (GREMAQ and IDEI)
Nicola Persico,Associate Editors,2010,2011,New York University
Benjamin Polak,Associate Editors,2010,2013,Yale University
Neil Shephard,Associate Editors,2010,2013,University of Oxford
Jeroen M. Swinkels,Associate Editors,2010,2017,Northwestern University
Edward J. Vytlacil,Associate Editors,2010,2013,2016,2018,Yale University
Philippe Jehiel,Co-Editors,2011,2014,Paris School of Economics
Jean-Marc Robin,Co-Editors,2011,2013,Sciences Po
Yeon-Koo Che,Associate Editors,2011,2016,Columbia University
Haluk Ergin,Associate Editors,2011,2011,Duke University
Jianqing Fan,Associate Editors,2011,2013,Princeton University
Johannes Horner,Associate Editors,2011,2011,Yale University
Per Krusell,Associate Editors,2011,2011,Stockholm University
David Martimort,Associate Editors,2011,2011,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse, Paris School of Economics
Sujoy Mukerji,Associate Editors,2011,2015,University of Oxford
Joris Pinkse,Associate Editors,2011,2016,Pennsylvania State University
Andrew Schotter,Associate Editors,2011,2016,New York University
