Name,Role,Start,End,NStart,NEnd
Harald Uhlig,Editor,2017,2021
Michael Greenstone,Coeditors,2017,2017
Ali Hortacsu,Coeditors,2017,2017
Emir Kamenica,Coeditors,2017,2023
James J. Heckman,Coeditors,2017,2021
Erik Hurst,Coeditors,2017,2017
Jesse Shapiro,Coeditors,2017,2017
Jan De Loecker,Associate Editors,2017,2017
Frederico Finan,Associate Editors,2017,2017
Raymond Fisman,Associate Editors,2017,2017
Ben Handel,Associate Editors,2017,2017
Jakub Kastl,Associate Editors,2017,2017
Peter Klenow,Associate Editors,2017,2017
Patrick Kline,Associate Editors,2017,2017
Ralph Koijen,Associate Editors,2017,2017
Jonathan Levin,Associate Editors,2017,2017
Pietro Ortoleva,Associate Editors,2017,2017,2019,2021
Parag Pathak,Associate Editors,2017,2017,2019,2023
Valerie Ramey,Associate Editors,2017,2017,2019,2020
Amit Seru,Associate Editors,2017,2017
Noam Yuchtman,Associate Editors,2017,2017
Connie Fritsche,Managing Editor,2017,2023
Vicky M. Longawa,Production Editor,2017,2019
Meera Joshi,Editorial Assistants,2017,2018
Chloe Pfeiffer,Editorial Assistants,2017,2017
Ali Hortaçsu,Coeditors,2018,2018
Magne Mogstad,Coeditors,2018,2021
Jan De Loecker,Coeditors,2018,2018
Frederico Finan,Coeditors,2018,2018
Raymond Fisman,Coeditors,2018,2018
David Green,Coeditors,2018,2018
Ben Handel,Coeditors,2018,2018
Jakub Kastl,Coeditors,2018,2018
Peter Klenow,Coeditors,2018,2018
Patrick Kline,Coeditors,2018,2018
Ralph Koijen,Coeditors,2018,2018
Edwin Leuven,Coeditors,2018,2018
Jonathan Levin,Coeditors,2018,2018
Pietro Ortoleva,Coeditors,2018,2018
Parag Pathak,Coeditors,2018,2018
Valerie Ramey,Coeditors,2018,2018
Amit Seru,Coeditors,2018,2018
Stefanie Stantcheva,Coeditors,2018,2018
Christopher Walters,Coeditors,2018,2018
Noam Yuchtman,Coeditors,2018,2018
Harvey Barnhard,Editorial Assistants,2018,2018
Greg Kaplan,Coeditors,2019,2023
John List,Coeditors,2019,2023
Chad Syverson,Coeditors,2019,2022
Anna Dreber Almenberg,Associate Editors,2019,2019,2022,2023
Itamar Drechsler,Associate Editors,2019,2020
David Green,Associate Editors,2019,2023
Edwin Leuven,Associate Editors,2019,2023
Gautam Rao,Associate Editors,2019,2020
Esteban Rossi-Hansberg,Associate Editors,2019,2021
Stefanie Stantcheva,Associate Editors,2019,2019
Johannes Stroebel,Associate Editors,2019,2023
Francesco Trebbi,Associate Editors,2019,2020
Bertil Tungodden,Associate Editors,2019,2020
Jonathan Vogel,Associate Editors,2019,2020
Christopher Walters,Associate Editors,2019,2023
Daniel Labrousse,Editorial Assistants,2019,2019
Linfei Li,Editorial Assistants,2019,2021
Anna Dreber,Associate Editors,2020,2021
Almenberg,Associate Editors,2020,2021
Albrecht Ritschl,Associate Editors,2020,2021
Joseph Shapiro,Associate Editors,2020,2023
Ed Martin,Production Editor,2020,2023
Manisha Ratakonda,Editorial Assistants,2020,2020
Alexander Cappelen,Associate Editors,2021,2023
Zoe Cullen,Associate Editors,2021,2022
Claudio Ferraz,Associate Editors,2021,2023
Samuel Abers,Editorial Assistants,2021,2022
Andrew Atkeson,Coeditors,2022,2023
Melissa Dell,Coeditors,2022,2023
Lance Lochner,Coeditors,2022,2023
Esteban Rossi-Hansberg,Coeditors,2022,2023
Azeem Shaikh,Coeditors,2022,2023
Andrea Eisfeldt,Associate Editors,2022,2023
Pablo Fajgelbaum,Associate Editors,2022,2023
Cecile Gaubert,Associate Editors,2022,2023
Jennifer La’O,Associate Editors,2022,2023
Lee Lockwood,Associate Editors,2022,2023
Yusufcan Masatlioglu,Associate Editors,2022,2023
Ezra Oberfield,Associate Editors,2022,2023
Wilbert Van Der Klaauw,Associate Editors,2022,2023
Chenzi Xu,Associate Editors,2022,2023
Guo Xu,Associate Editors,2022,2023
Annie Dhal,Editorial Assistants,2022,2022
Magne Mogstad,Editor,2023,2023
Mark Bils,Coeditors,2023,2023
Leonardo Bursztyn,Coeditors,2023,2023
Rachel Griffith,Coeditors,2023,2023
Zoë Cullen,Associate Editors,2023,2023
Daniel Gottlieb,Associate Editors,2023,2023
Ricardo Perez-Truglia,Associate Editors,2023,2023
AyşEgül Sahin,Associate Editors,2023,2023
Kjetil Storesletten,Associate Editors,2023,2023
David Yanagizawa-Drott,Associate Editors,2023,2023
Hanna Kime,Editorial Assistant,2023,2023
Student Assistant,Editorial Assistant,2023,2023
Annie Dhal,Editorial Assistant,2023,2023
