Name,Role,Affiliation,Start,End,NStart,NEnd
Eddie Dekel,Editor,Northwestern University,2007,2007
Geri Mattson,Managing Editor,,2007,2023
Steven Berry,Co-Editors,Yale University,2007,2009
David K. Levine,Co-Editors,Washington University in St. Louis,2007,2008
Whitney K. Newey,Co-Editors,MIT,2007,2009
Larry Samuelson,Co-Editors,University of Wisconsin,2007,2007
Harald Uhlig,Co-Editors,Humboldt University of Berlin,2007,2007
Joseph G. Altonji,Associate Editors,Yale University,2007,2013
Donald W. K. Andrews,Associate Editors,Yale University,2007,2009
Susan Athey,Associate Editors,Harvard University,2007,2007
Jushan Bai,Associate Editors,New York University,2007,2009
Michele Boldrin,Associate Editors,Washington University in St. Louis,2007,2009
Vincent P. Crawford,Associate Editors,University of California, San Diego,2007,2007
J. Darrell Duffie,Associate Editors,Stanford University,2007,2011
Larry G. Epstein,Associate Editors,University of Rochester,2007,2007
Itzhak Gilboa,Associate Editors,Tel Aviv University,Yale University,2007,2007
Faruk Gul,Associate Editors,Princeton University,2007,2014
Jinyong Hahn,Associate Editors,University of California, Los Angeles,2007,2011
Bruce E. Hansen,Associate Editors,University of Wisconsin–Madison,2007,2008
Guido Imbens,Associate Editors,Harvard University,2007,2008
Matthew O. Jackson,Associate Editors,Stanford University,2007,2007
Atsushi Kajii,Associate Editors,Kyoto University,2007,2007
Michael Keane,Associate Editors,University of Technology,Sydney,2007,2007
Yuichi Kitamura,Associate Editors,Yale University,2007,2009
Per Krusell,Associate Editors,Princeton University,Stockholm University,2007,2010
Oliver Linton,Associate Editors,London School of Economics,2007,2011
Barton Lipman,Associate Editors,Boston University,2007,2008
Thierry Magnac,Associate Editors,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse,2007,2007
George J. Mailath,Associate Editors,Yale University,2007,2007
David Martimort,Associate Editors,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse,2007,2010
Steven A. Matthews,Associate Editors,University of Pennsylvania,2007,2011
Rosa L. Matzkin,Associate Editors,Northwestern University,2007,2007
Benny Moldovanu,Associate Editors,University of Bonn,2007,2008
Stephen Morris,Associate Editors,Princeton University,2007,2007
Lee Ohanian,Associate Editors,University of California, Los Angeles,2007,2012
Thomas R. Palfrey,Associate Editors,California Institute of Technology,2007,2007
Wolfgang Pesendorfer,Associate Editors,Princeton University,2007,2008
Eric Renault,Associate Editors,University of North Carolina, Chapel Hill,2007,2008
Philip J. Reny,Associate Editors,University of Chicago,2007,2011
Jean-Marc Robin,Associate Editors,Université de Paris 1,University College London,2007,2009
Uzi Segal,Associate Editors,Boston College,2007,2010
Chris Shannon,Associate Editors,University of California, Berkeley,2007,2009
Neil Shephard,Associate Editors,Oxford University,2007,2009
Richard J. Smith,Associate Editors,University of Cambridge,2007,2007
James H. Stock,Associate Editors,Harvard University,2007,2007
Elie Tamer,Associate Editors,Northwestern University,2007,2012
Chris Udry,Associate Editors,Yale University,2007,2007
Asher Wolinsky,Associate Editors,Northwestern University,2007,2016
William R. Zame,Associate Editors,University of California, Los Angeles,2007,2007
Yael Leshem,Editorial Assistant,Tel Aviv University,2007,2007
Stephen Morris,Editor,Princeton University,2008,2011
Daron Acemoglu,Co-Editors,MIT,2008,2011
Larry Samuelson,Co-Editors,Yale University,2008,2010
Harald Uhlig,Co-Editors,University of Chicago,2008,2010
Yacine Aït-Sahalia,Associate Editors,Princeton University,2008,2013
Jeffrey Ely,Associate Editors,Northwestern University,2008,2016
Larry G. Epstein,Associate Editors,Boston University,2008,2009
Philip Haile,Associate Editors,Yale University,2008,2008,2013,2019
Philippe Jehiel,Associate Editors,Paris School of Economics,University College London,2008,2008,2010,2010
Michael Keane,Associate Editors,University of Technology, Sydney,2008,2008
Thierry Magnac,Associate Editors,Toulouse School of Economics,2008,2009
George J. Mailath,Associate Editors,University of Pennsylvania,2008,2010
Rosa L. Matzkin,Associate Editors,University of California, Los Angeles,2008,2013
Wojciech Olszewski,Associate Editors,Northwestern University,2008,2019
Marciano Siniscalchi,Associate Editors,Northwestern University,2008,2016
Mary Beth Bellando,Editorial Assistant,Princeton University,2008,2011
Wolfgang Pesendorfer,Co-Editors,Princeton University,2009,2012
James Andreoni,Associate Editors,University of California, San Diego,2009,2011
Marco Battaglini,Associate Editors,Princeton University,2009,2015
Pierpaolo Battigalli,Associate Editors,Università Bocconi,2009,2017
Dirk Bergemann,Associate Editors,Yale University,2009,2014
Victor Chernozhukov,Associate Editors,Massachusetts Institute of Technology,2009,2014
Haluk Ergin,Associate Editors,Washington University in St. Louis,2009,2010
Philip A. Haile,Associate Editors,Yale University,2009,2012
Philippe Jehiel,Associate Editors,Paris School of Economics,2009,2009
Bart Lipman,Associate Editors,Boston University,2009,2018
Eric Renault,Associate Editors,University of North Carolina,2009,2009
Susanne M. Schennach,Associate Editors,University of Chicago,2009,2012
Jeroen M. Swinkels,Associate Editors,Washington University in St. Louis,2009,2009
Iván Werning,Associate Editors,Massachusetts Institute of Technology,2009,2014
Jean-Marc Robin,Co-Editors,Université Paris 1 Panthéon–Sorbonne,University College London,2010,2010
James H. Stock,Co-Editors,Harvard University,2010,2012
Jushan Bai,Associate Editors,Columbia University,2010,2014
Xiaohong Chen,Associate Editors,Yale University,2010,2012,2015,2020
Mikhail Golosov,Associate Editors,Yale University,2010,2011
Michael Jansson,Associate Editors,University of California, Berkeley,2010,2018,2020,2021
Felix Kubler,Associate Editors,University of Zurich,2010,2023
Thierry Magnac,Associate Editors,Toulouse School of Economics (GREMAQ and IDEI),2010,2012
Nicola Persico,Associate Editors,New York University,2010,2011
Benjamin Polak,Associate Editors,Yale University,2010,2013
Neil Shephard,Associate Editors,University of Oxford,2010,2013
Jeroen M. Swinkels,Associate Editors,Northwestern University,2010,2017
Edward J. Vytlacil,Associate Editors,Yale University,2010,2013,2016,2018
Philippe Jehiel,Co-Editors,Paris School of Economics,2011,2014
Jean-Marc Robin,Co-Editors,Sciences Po,2011,2013
Yeon-Koo Che,Associate Editors,Columbia University,2011,2016
Haluk Ergin,Associate Editors,Duke University,2011,2011
Jianqing Fan,Associate Editors,Princeton University,2011,2013
Johannes Horner,Associate Editors,Yale University,2011,2011
Per Krusell,Associate Editors,Stockholm University,2011,2011
David Martimort,Associate Editors,IDEI-GREMAQ, Université des Sciences Sociales de Toulouse, Paris School of Economics,2011,2011
Sujoy Mukerji,Associate Editors,University of Oxford,2011,2015
Joris Pinkse,Associate Editors,Pennsylvania State University,2011,2016
Andrew Schotter,Associate Editors,New York University,2011,2016
Daron Acemoglu,Editor,Massachusetts Institute of Technology,2012,2015
Lars Peter Hansen,Co-Editors,University of Chicago,2012,2015
Matthew O. Jackson,Co-Editors,Stanford University,2012,2014
Darrell Duffie,Associate Editors,Stanford University,2012,2014
Mikhail Golosov,Associate Editors,Princeton University,2012,2017
Patrik Guggenberger,Associate Editors,University of California, San Diego,2012,2013
Yoram Halevy,Associate Editors,University of British Columbia,2012,2014
Johannes Hörner,Associate Editors,Yale University,2012,2016
Jonathan Levin,Associate Editors,Stanford University,2012,2016
Oliver Linton,Associate Editors,Cambridge University,2012,2014
Thomas Mariotti,Associate Editors,Toulouse School of Economics (GREMAQ and IDEI),2012,2013
David Martimort,Associate Editors,Paris School of Economics–EHESS,2012,2015
Andrew Mclennan,Associate Editors,University of Queensland,2012,2020
Ulrich Müller,Associate Editors,Princeton University,2012,2016
Michael Ostrovsky,Associate Editors,Stanford University,2012,2013,2015,2017
Mary Beth Bellando-Zaniboni,Editorial Coordinator,New York University,2012,2014
Joel Sobel,Co-Editors,University of California, San Diego,2013,2015
Elie Tamer,Co-Editors,Harvard University,2013,2016
Alberto Abadie,Associate Editors,Harvard University,2013,2016
Patrick Bayer,Associate Editors,Duke University,2013,2018
Nicholas Bloom,Associate Editors,Stanford University,2013,2021
Xavier Gabaix,Associate Editors,New York University,2013,2016
Peter Klenow,Associate Editors,Stanford University,2013,2018
Francesca Molinari,Associate Editors,Cornell University,2013,2019
Eric Renault,Associate Editors,Brown University,2013,2018
Susanne M. Schennach,Associate Editors,Brown University,2013,2017
Tao Zha,Associate Editors,Federal Reserve Bank of Atlanta,Emory University,2013,2015
Liran Einav,Co-Editors,Stanford University,2014,2017
Jaap Abbring,Associate Editors,Tilburg University,2014,2022
Michael Ostrovsky,Associate Editors,Stanford University,Google,2014,2014
Parag Pathak,Associate Editors,Massachusetts Institute of Technology,2014,2016
Giorgio Primiceri,Associate Editors,Northwestern University,2014,2017
Andres Santos,Associate Editors,University of California, San Diego,2014,2017
Patrik Guggenberger,Associate Editors,Pennsylvania State University,2014,2014
Neil Shephard,Associate Editors,Harvard University,2014,2020
Christopher Taber,Associate Editors,University of Wisconsin–Madison,2014,2019
Edward J. Vytlacil,Associate Editors,New York University,2014,2015
Bas J. M. Werker,Associate Editors,Tilburg University,2014,2022
Thomas Mariotti,Associate Editors,Toulouse School of Economics,2014,2017
Dirk Bergemann,Co-Editors,Yale University,2015,2018
Itzhak Gilboa,Co-Editors,HEC Paris,Tel Aviv University,2015,2018
Manuel Amador,Associate Editors,Federal Reserve Bank of Minneapolis,2015,2017
Francis Bloch,Associate Editors,University Paris 1,Paris School of Economics,2015,2020
Pascaline Dupas,Associate Editors,Stanford University,2015,2020
Azeem M. Shaikh,Associate Editors,University of Chicago,2015,2020
Pierre-Olivier Weill,Associate Editors,University of California, Los Angeles,2015,2018
Oliver Linton,Associate Editors,University of Cambridge,2015,2015
Massimo Marinacci,Associate Editors,Università Bocconi,2015,2020
Mary Beth Bellando-Zaniboni,Publications Manager,New York University,2015,2017
Joel Sobel,Editor,University of California, San Diego,2016,2019
Giovanni L. Violante,Co-Editors,Princeton University,2016,2019
Fabrizio Zilibotti,Co-Editors,Yale University,2016,2019
Sujoy Mukerji,Associate Editors,Queen Mary University at London,2016,2016
Marco Battaglini,Associate Editors,Cornell University,2016,2017
Serena Ng,Associate Editors,Columbia University,2016,2021
Marzena Rostek,Associate Editors,University of Wisconsin–Madison,2016,2023
Guillaume Fréchette,Associate Editors,New York University,2016,2023
Ilya R. Segal,Associate Editors,Stanford University,2016,2021
Shakeeb Khan,Associate Editors,Duke University,2016,2017
Hanno Lustig,Associate Editors,Stanford University,2016,2021
Ulrich K. Müller,Co-Editors,Princeton University,2017,2020
Alberto Abadie,Associate Editors,Massachusetts Institute of Technology,2017,2020
Sujoy Mukerji,Associate Editors,Queen Mary University of London,2017,2019
Elias Papaioannou,Associate Editors,London Business School,2017,2022
Stephen Redding,Associate Editors,Princeton University,2017,2019
Eric Budish,Associate Editors,University of Chicago,2017,2021
Federico Echenique,Associate Editors,California Institute of Technology,2017,2019
Xavier Gabaix,Associate Editors,Harvard University,2017,2023
Tayfun Sönmez,Associate Editors,Boston College,2017,2019
Keisuke Hirano,Associate Editors,Pennsylvania State University,2017,2017
Viktor Todorov,Associate Editors,Northwestern University,2017,2022
Nicolas Vieille,Associate Editors,HEC Paris,2017,2022
Leeat Yariv,Associate Editors,California Institute of Technology,2017,2017
Aviv Nevo,Co-Editors,The Perelman Center for Political Science and Economics,2018,2021
Shakeeb Khan,Associate Editors,Boston College,2018,2018
Treb Allen,Associate Editors,Dartmouth College,2018,2023
Manuel Amador,Associate Editors,Federal Reserve Bank of Minneapolis,University of Minnesota,2018,2020
Andres Aradillas-Lopez,Associate Editors,The Pennsylvania State University,2018,2020
Ernesto Dal Bó,Associate Editors,University of California at Berkeley,2018,2019
Andres Santos,Associate Editors,University of California, Los Angeles,2018,2022
Jesús Fernández-Villaverde,Associate Editors,University of Pennsylvania,2018,2023
Amanda Friedenberg,Associate Editors,Arizona State University,2018,2018
Mikhail Golosov,Associate Editors,University of Chicago,2018,2018
Rakesh Vohra,Associate Editors,University of Pennsylvania,2018,2023
Marina Halac,Associate Editors,Columbia University,2018,2018
Keisuke Hirano,Associate Editors,The Pennsylvania State University,ISER,2018,2019
Leeat Yariv,Associate Editors,Princeton University,2018,2020
Mary Beth Bellando-Zaniboni,Publications Manager,Yale University,2018,2021
Barton L. Lipman,Co-Editors,Boston University,2019,2023
Alessandro Lizzeri,Co-Editors,Princeton University,2019,2022
Jia Li,Associate Editors,Duke University,2019,2021
Andriy Norets,Associate Editors,Brown University,2019,2023
Todd Sarver,Associate Editors,Duke University,2019,2021
Zheng Michael Song,Associate Editors,The Chinese University of Hong Kong,2019,2023
Amanda Friedenberg,Associate Editors,University of Arizona,2019,2022
Marina Halac,Associate Editors,Yale University,2019,2020
Aleh Tsyvinski,Associate Editors,Yale University,2019,2023
Stefan Hoderlein,Associate Editors,Boston College,2019,2019
Pierre-Olivier Weill,Associate Editors,University of California, Berkeley,2019,2019
Michael Jansson,Associate Editors,University of California, Los Angeles,2019,2019
Patrick Kline,Associate Editors,University of California, Berkeley,2019,2023
Guido W. Imbens,Editor,Stanford University,2020,2023
Dave Donaldson,Co-Editors,Massachusetts Institute of Technology,2020,2023
Charles I. Jones,Co-Editors,Stanford University,2020,2023
Asher Wolinsky,Co-Editors,Northwestern University,2020,2023
Stefan Hoderlein,Associate Editors,Amazon,2020,2021
Jakub Kastl,Associate Editors,Princeton University,2020,2023
Marco Bassetto,Associate Editors,Federal Reserve Bank of Minneapolis,2020,2023
Lorenzo Caliendo,Associate Editors,Yale University,2020,2023
Matias D. Cattaneo,Associate Editors,Princeton University,2020,2023
Denis Chetverikov,Associate Editors,University of California, Los Angeles,2020,2023
Ernesto Dal Bó,Associate Editors,University of California, Berkeley,2020,2023
Melissa Dell,Associate Editors,Harvard University,2020,2021
Tomasz Strzalecki,Associate Editors,Harvard University,2020,2023
Rebecca Diamond,Associate Editors,Stanford University,2020,2023
Benjamin Faber,Associate Editors,University of California, Berkeley,2020,2023
Pierre-Olivier Weill,Associate Editors,University of California,Los Angeles,2020,2020
Matthew J. Wiswall,Associate Editors,University of Wisconsin–Madison,2020,2023
Alexander Wolitzky,Associate Editors,Massachusetts Institute of Technology,2020,2022
Keisuke Hirano,Associate Editors,The Pennsylvania State University,2020,2022
Oriana Bandiera,Co-Editors,London School of Economics and Political Science,2021,2023
Loukas Karabarbounis,Associate Editors,University of Minnesota,2021,2023
Alberto Abadie,Associate Editors,Massachusetts Institute ofTechnology,2021,2021
