,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
49,Kevin D. Hoover,1441355833,1994,3125514034.0,1990.0,Kevin D. Hoover,2728116442.0,1990.0,103
77,George W. Evans,2685735836,1994,3146691712.0,1966.0,George W. Evans,2234047998.0,1992.0,14
108,Joseph G. Altonji,2046658938,1994,3147623025.0,1995.0,Joseph G. Altonji,1563248820.0,1994.0,453
57,Robert H. Haveman,3214393485,1995,1540377929.0,1966.0,Robert H. Haveman,2098151949.0,1989.0,4
63,Timothy F. Bresnahan,134261518,1995,3125303206.0,1994.0,Timothy F. Bresnahan,1686936574.0,1994.0,724
25,Roger H. Gordon,2147688601,1995,3138626427.0,1980.0,Roger H. Gordon,3136643690.0,1981.0,737
163,Robert J. Hodrick,50916543,1995,3150095734.0,1989.0,Robert J. Hodrick,2148964990.0,1989.0,1815
170,Robert H. Porter,2099259409,1996,3125571232.0,1995.0,Robert H. Porter,2124843310.0,1996.0,670
127,Jennifer A. Johnson,3104470995,1996,2072417952.0,1993.0,Jennifer A. Johnson,2086212004.0,1994.0,4
218,Jeremy Stein,2500059542,1996,2022240890.0,1995.0,Jeremy Stein,2097876438.0,1994.0,3
239,John Y. Campbell,2397423007,1996,3145340436.0,1987.0,John Y. Campbell,2055937165.0,1990.0,3158
184,Hal R. Varian,125896300,1996,3149866234.0,1994.0,Hal R. Varian,3122945371.0,1996.0,1671
220,Alan J. Auerbach,2004531954,1997,3149636973.0,1981.0,Alan J. Auerbach,3137741926.0,1983.0,2317
5,Rebecca M. Blank,2016401394,1997,3150045535.0,1991.0,Rebecca M. Blank,1505237191.0,1995.0,356
268,Nancy L. Rose,2168630279,1997,3126088346.0,2011.0,Nancy L. Rose,2509049340.0,1992.0,346
13,David W. Wilcox,2125505653,1997,3125109204.0,1995.0,David W. Wilcox,3126119781.0,1995.0,237
64,Gene M. Grossman,2251521749,1998,3148221222.0,1994.0,Gene M. Grossman,81989210.0,1996.0,3289
123,Nancy Gallini,237850040,1998,2132948857.0,1988.0,Nancy Gallini,3124823559.0,1996.0,263
15,James E. Anderson,2467403280,1998,3139163858.0,1986.0,James E. Anderson,2950775624.0,1986.0,109
169,David E. M. Sappington,605096889,1998,3123211681.0,1987.0,David E. M. Sappington,2028275172.0,1988.0,1198
110,Paul L. Joskow,3186525879,1999,2556755637.0,1976.0,Paul L. Joskow,2167213034.0,1987.0,5
52,Gary Solon,705971464,1999,3125486870.0,1989.0,Gary Solon,3125056733.0,1993.0,596
51,David N. Weil,3209336607,2000,3124648468.0,1995.0,David N. Weil,1547614577.0,1998.0,13
50,Carl E. Walsh,2099367242,2000,3150835481.0,1987.0,Carl E. Walsh,3122949840.0,1990.0,1068
44,W. Kip Viscusi,1079344721,2000,3151436125.0,1996.0,W. Kip Viscusi,2147168592.0,2000.0,3082
206,David P. Baron,2159131953,2000,3124912795.0,1980.0,David P. Baron,2064141425.0,1979.0,2022
275,Randall Wright,2572720337,2000,2041153774.0,1965.0,Randall Wright,2086220196.0,1967.0,1
213,Valerie A. Ramey,2095946677,2001,3148035539.0,1993.0,Valerie A. Ramey,3124492146.0,1995.0,706
270,Michelle R. Garfinkel,1677573946,2001,3124984768.0,1994.0,Michelle R. Garfinkel,3126030768.0,2001.0,153
