,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
78,Vincent P. Crawford,2009985966,2007,3126124836.0,1988.0,Vincent P. Crawford,3023933056.0,2005.0,2767
96,Susan Athey,2281695842,2007,3148081591.0,1998.0,Susan Athey,3125961178.0,2003.0,1305
30,Eddie Dekel,2106602668,2007,3125963261.0,2006.0,Eddie Dekel,3125574077.0,2007.0,1468
115,Yael Leshem,2120820233,2007,2031297102.0,2006.0,Yael Leshem,2157292201.0,2007.0,4
71,Atsushi Kajii,494040163,2007,3125231966.0,1999.0,Atsushi Kajii,1565216520.0,2002.0,405
66,Richard J. Smith,2505817348,2007,265740104.0,1970.0,Richard J. Smith,275489998.0,1979.0,6
140,William R. Zame,2082742877,2007,3140299790.0,1991.0,William R. Zame,3191835930.0,2006.0,1592
143,Benny Moldovanu,903833024,2008,3147037368.0,2001.0,Benny Moldovanu,2296247237.0,2006.0,1509
75,Bruce E. Hansen,2142222903,2008,3125402114.0,1995.0,Bruce E. Hansen,2034529161.0,1996.0,6885
105,Chris Shannon,2228484974,2009,3126035060.0,2002.0,Chris Shannon,2331694976.0,2007.0,1009
158,Larry G. Epstein,2106000634,2009,3126076506.0,2008.0,Larry G. Epstein,2116442787.0,2009.0,5802
59,Steven Berry,2673626222,2009,3151592021.0,1995.0,Steven Berry,3125749391.0,1996.0,4021
178,Whitney K. Newey,167512347,2009,3125855424.0,1986.0,Whitney K. Newey,3204224269.0,2007.0,16184
195,Harald Uhlig,3052076558,2010,2099955955.0,1996.0,Harald Uhlig,2952978806.0,1997.0,41
17,George J. Mailath,396483182,2010,3152138234.0,1998.0,George J. Mailath,3122148193.0,2005.0,3332
113,Nicola Persico,2951891112,2011,2170025611.0,2007.0,Nicola Persico,2947465193.0,2011.0,276
142,Johannes Horner,2678808777,2011,2098183519.0,1999.0,Johannes Horner,2340354744.0,2007.0,3
156,Philip J. Reny,373902761,2011,3125631623.0,2009.0,Philip J. Reny,3124614939.0,2010.0,1724
125,Jinyong Hahn,2106436692,2011,3126144447.0,2004.0,Jinyong Hahn,3125850192.0,2004.0,2625
54,Steven A. Matthews,2478893935,2011,3145364726.0,2007.0,Steven A. Matthews,2337701956.0,2010.0,868
33,James Andreoni,2021705599,2011,3150521381.0,2001.0,James Andreoni,2094193307.0,2008.0,8208
222,Haluk Ergin,2706366164,2011,3121528246.0,2007.0,Haluk Ergin,2187605686.0,2007.0,309
50,Stephen Morris,2148034816,2011,3126082588.0,2001.0,Stephen Morris,3122282936.0,2004.0,5292
3,Per Krusell,2599189933,2011,3126141480.0,2005.0,Per Krusell,3123024365.0,2010.0,5092
74,Xiaohong Chen,2512076341,2012,2164543086.0,2011.0,Xiaohong Chen,2564437343.0,2012.0,385
45,James H. Stock,2097491087,2012,3170746896.0,2012.0,James H. Stock,2460247623.0,2012.0,33846
197,Wolfgang Pesendorfer,2629532411,2012,2155562886.0,2005.0,Wolfgang Pesendorfer,2068063222.0,2011.0,4
53,Thierry Magnac,2233162915,2012,3125747620.0,2002.0,Thierry Magnac,3126024206.0,2012.0,1216
226,Philip A. Haile,1994560490,2012,3125716315.0,2008.0,Philip A. Haile,3209040825.0,2010.0,1400
63,Jianqing Fan,3079468858,2013,1591964259.0,1999.0,Jianqing Fan,3123574739.0,2002.0,8
15,Rosa L. Matzkin,2608475196,2013,3151777985.0,2003.0,Rosa L. Matzkin,3123396988.0,2005.0,1308
134,Benjamin Polak,2130274656,2013,2526403893.0,2007.0,Benjamin Polak,2084181413.0,2013.0,9
203,Jean-Marc Robin,3179995601,2013,3124960900.0,2004.0,Jean-Marc Robin,2134610537.0,2007.0,32
40,Joseph G. Altonji,2046658938,2013,3148736928.0,2005.0,Joseph G. Altonji,3121642453.0,2007.0,8759
93,Darrell Duffie,3122394574,2014,1641868136.0,2004.0,Darrell Duffie,1645561662.0,2009.0,1
192,Jushan Bai,3172065737,2014,2120113300.0,1992.0,Jushan Bai,2804297907.0,1995.0,37
13,Michael Ostrovsky,2534396903,2014,2346936446.0,2007.0,Michael Ostrovsky,80895227.0,2009.0,50
179,Yoram Halevy,2790314406,2014,297316193.0,2014.0,Yoram Halevy,3121788122.0,2014.0,3
176,Iván Werning,97906262,2014,3145847428.0,2012.0,Iván Werning,3123228636.0,2012.0,1683
208,Philippe Jehiel,152288754,2014,3125837577.0,1998.0,Philippe Jehiel,3125426977.0,2006.0,3292
1,Matthew O. Jackson,2199275230,2014,3149194031.0,2003.0,Matthew O. Jackson,2097207170.0,2003.0,11598
211,Patrik Guggenberger,197654547,2014,3125848445.0,2009.0,Patrik Guggenberger,3126069346.0,2012.0,695
6,Victor Chernozhukov,3124661966,2014,2981381501.0,2013.0,Victor Chernozhukov,3099550161.0,2014.0,39
132,Faruk Gul,2102042513,2014,3126088612.0,2007.0,Faruk Gul,2049175221.0,2009.0,3954
97,Lars Peter Hansen,2117247785,2015,3145826384.0,2003.0,Lars Peter Hansen,3126035289.0,2014.0,24294
171,Daron Acemoglu,1970476475,2015,3211040633.0,2012.0,Daron Acemoglu,2288299847.0,2015.0,55724
233,Oliver Linton,2575803639,2015,3145845096.0,2012.0,Oliver Linton,2411043014.0,2015.0,4651
186,Yeon-Koo Che,2089157070,2016,3126002206.0,2010.0,Yeon-Koo Che,2560627933.0,2010.0,4242
32,Elie Tamer,2147680121,2016,3125943413.0,2015.0,Elie Tamer,2103852640.0,2015.0,2423
107,Joris Pinkse,2060137178,2016,3124404831.0,2002.0,Joris Pinkse,3125106749.0,2009.0,1379
23,Andrew Schotter,2916131257,2016,1581857853.0,1994.0,Andrew Schotter,2159683164.0,1999.0,29
110,Jonathan Levin,2255622352,2016,2953673718.0,1993.0,Jonathan Levin,2164811567.0,2004.0,358
4,Marciano Siniscalchi,2302599857,2016,3150835151.0,2010.0,Marciano Siniscalchi,2122002435.0,2014.0,1114
90,Ulrich Müller,2147341171,2016,2989161113.0,2014.0,Ulrich Müller,2933143626.0,2015.0,29
91,Johannes Hörner,2132742444,2016,3125809351.0,2004.0,Johannes Hörner,2142806980.0,2014.0,796
124,Susanne M. Schennach,264838113,2017,3125669363.0,2000.0,Susanne M. Schennach,3125838171.0,2015.0,1739
220,Marco Battaglini,1993548069,2017,2596029165.0,2017.0,Marco Battaglini,2773629698.0,2017.0,1418
138,Thomas Mariotti,2099917298,2017,3149225270.0,2010.0,Thomas Mariotti,2164728109.0,2011.0,1562
79,Pierpaolo Battigalli,1885733953,2017,3150027656.0,2003.0,Pierpaolo Battigalli,3125885048.0,2015.0,2378
148,Liran Einav,129783993,2017,3141278149.0,2007.0,Liran Einav,3123497570.0,2007.0,3771
89,Jeroen M. Swinkels,2092038328,2017,3125709308.0,1995.0,Jeroen M. Swinkels,2145482231.0,1999.0,1488
19,Dirk Bergemann,2270413747,2018,3142265938.0,2012.0,Dirk Bergemann,2067403469.0,2012.0,3542
155,Eric Renault,3052986439,2018,2083353271.0,1999.0,Eric Renault,2094036347.0,2002.0,15
129,Mikhail Golosov,3142102792,2018,2326297067.0,2012.0,Mikhail Golosov,2260460143.0,2015.0,6
120,Itzhak Gilboa,1211902473,2018,3205459585.0,1986.0,Itzhak Gilboa,3167920832.0,2018.0,8257
39,Shakeeb Khan,2693343361,2018,2167069630.0,2010.0,Shakeeb Khan,2890145436.0,2018.0,373
26,Patrick Bayer,2579824908,2018,2508867795.0,2016.0,Patrick Bayer,2901670787.0,2018.0,10
130,Fabrizio Zilibotti,681717621,2019,3195320387.0,2019.0,Fabrizio Zilibotti,2986619652.0,2019.0,7935
28,Michael Jansson,2155018376,2019,3145866559.0,2011.0,Michael Jansson,3126064560.0,2014.0,944
48,Sujoy Mukerji,2172182765,2019,3125849772.0,2011.0,Sujoy Mukerji,3124471929.0,2011.0,2111
159,Francesca Molinari,2163884724,2019,3171304398.0,2019.0,Francesca Molinari,3176927300.0,2019.0,940
82,Tayfun Sönmez,2128482140,2019,3145473481.0,2013.0,Tayfun Sönmez,3022291378.0,2019.0,5805
