,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
71,Michael Greenstone,2559711103,2017,3150383507.0,2014.0,Michael Greenstone,3021923150.0,2017.0,752
48,Ali Hortacsu,208393038,2017,3143046384.0,2004.0,Ali Hortacsu,3124261657.0,2006.0,5050
66,Erik Hurst,2124999479,2017,3143695600.0,2003.0,Erik Hurst,3125309514.0,2017.0,6485
9,Jesse Shapiro,2304778299,2017,2159460045.0,2004.0,Jesse Shapiro,3201103271.0,2009.0,1752
11,Patrick Kline,2343353932,2018,3125525305.0,2012.0,Patrick Kline,3125335268.0,2016.0,1917
46,Raymond Fisman,2250561313,2018,3150803753.0,2006.0,Raymond Fisman,1667696768.0,2010.0,9227
27,Noam Yuchtman,2500378129,2018,3125486251.0,2014.0,Noam Yuchtman,2732800013.0,2016.0,396
22,Jan De Loecker,1859497523,2018,3142246029.0,2011.0,Jan De Loecker,1998541563.0,2014.0,2431
19,Jonathan Levin,2593059103,2018,2329546107.0,1999.0,Jonathan Levin,2962398441.0,2007.0,92
5,Jakub Kastl,2169129460,2018,3142961158.0,2015.0,Jakub Kastl,2771860089.0,2017.0,348
17,Amit Seru,273194589,2018,3126069812.0,2009.0,Amit Seru,3125358363.0,2015.0,2909
15,Frederico Finan,1798593011,2018,3125946030.0,2012.0,Frederico Finan,3124379735.0,2014.0,2509
53,Vicky M. Longawa,2562632180,2019,2075893689.0,1993.0,Vicky M. Longawa,2090938138.0,2005.0,6
25,Stefanie Stantcheva,2501900208,2019,3193888791.0,2018.0,Stefanie Stantcheva,2979486952.0,2019.0,758
7,Itamar Drechsler,1950831029,2020,3180365838.0,2019.0,Itamar Drechsler,3036577223.0,2020.0,2057
34,Francesco Trebbi,231393685,2020,3202560103.0,2008.0,Francesco Trebbi,3126089243.0,2016.0,8671
30,Bertil Tungodden,128282678,2020,3187209157.0,2009.0,Bertil Tungodden,3082399617.0,2020.0,3397
