,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
89,Andrei Shleifer,727612727,1995,3152473873.0,1993.0,Andrei Shleifer,2068985978.0,1995.0,2433
62,Kenneth Rogoff,214390093,1995,3125850029.0,1982.0,Kenneth Rogoff,2764350287.0,1983.0,2219
2,Michael H. Riordan,2581482331,1996,3208031364.0,1994.0,Michael H. Riordan,2086689440.0,1996.0,445
38,George J. Borjas,217345985,1996,3148696034.0,1978.0,George J. Borjas,3123642869.0,1982.0,1658
29,Alan B. Krueger,1880039828,1996,3151482492.0,1992.0,Alan B. Krueger,2057769042.0,1995.0,1596
66,Olivier J. Blanchard,3145678245,1998,3146776791.0,1983.0,Olivier J. Blanchard,2493074113.0,1985.0,318
10,Rudiger Dornbusch,3123415920,1998,3193586628.0,1994.0,Rudiger Dornbusch,2334289368.0,1997.0,87
0,Michael Woodford,2147218102,2000,3146205524.0,1993.0,Michael Woodford,3122830262.0,1995.0,1610
44,James Hines,2103629164,2000,2601011161.0,1979.0,James Hines,2821257697.0,1999.0,34
48,Daron Acemoglu,1970476475,2002,3126104019.0,1998.0,Daron Acemoglu,2241063177.0,2000.0,2034
69,Roberto Perotti,3157750890,2002,2336979041.0,2001.0,Roberto Perotti,1961839845.0,2001.0,4
25,Jaume Ventura,2170717795,2003,3126060175.0,2012.0,Jaume Ventura,1847154962.0,2002.0,260
45,Michael Waldman,2700684392,2004,2014384706.0,1993.0,Michael Waldman,2073303950.0,2000.0,8
50,Richard Thaler,2895015016,2005,2529538836.0,1976.0,Richard Thaler,2464763539.0,1994.0,8
82,Alwyn Young,2112621531,2005,3141473508.0,1998.0,Alwyn Young,2113923519.0,1999.0,2594
40,Dennis Epple,2075024142,2005,3156896854.0,2000.0,Dennis Epple,2100298782.0,2005.0,2867
37,Pol Antras,81932200,2006,3125130981.0,2003.0,Pol Antras,3144793050.0,2002.0,337
79,Eliana La Ferrara,2087655770,2006,3148393077.0,2000.0,Eliana La Ferrara,2337807423.0,2001.0,904
39,Edward L. Glaeser,622018538,2008,3181131762.0,2004.0,Edward L. Glaeser,3122675355.0,2004.0,16418
70,John Bound,2472042921,2008,3125982241.0,1993.0,John Bound,2318746079.0,2002.0,9401
21,Francesco Caselli,2227894521,2011,2228115681.0,1998.0,Francesco Caselli,2401483301.0,2006.0,12
34,Marianne Bertrand,2129876404,2011,3196420172.0,1998.0,Marianne Bertrand,1988391469.0,2006.0,7946
15,Jeremy C. Stein,2096392297,2012,3143311134.0,1991.0,Jeremy C. Stein,3213340399.0,2008.0,27001
53,Janet Currie,2153904071,2014,3184494996.0,2005.0,Janet Currie,2617274109.0,2007.0,12825
88,Elhanan Helpman,2697899749,2014,3150313671.0,1988.0,Elhanan Helpman,3124981108.0,1999.0,52035
19,Edward Miguel,2144611101,2014,3195184059.0,2015.0,Edward Miguel,1959927609.0,2014.0,7122
58,Erik Hurst,2140733516,2014,2078369120.0,2007.0,Erik Hurst,2502309690.0,2010.0,3
90,Ernst Fehr,2210927970,2014,3216421604.0,2005.0,Ernst Fehr,3210763655.0,2009.0,45547
86,Glenn Ellison,2902369099,2014,2902288052.0,2007.0,Glenn Ellison,3124176509.0,2012.0,13
55,Stephen Coate,650455521,2015,3143249353.0,2002.0,Stephen Coate,2240554357.0,2009.0,8487
84,Drew Fudenberg,573466828,2017,3200385161.0,2008.0,Drew Fudenberg,2146880028.0,2007.0,21161
59,Emi Nakamura,2609606965,2017,159496660.0,2009.0,Emi Nakamura,2787458344.0,2017.0,3
