,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
403,M. J. Keen,2913502386,1994,2914668305.0,1966.0,M. J. Keen,2482315456.0,1988.0,39
165,R. J. Smith,2579568494,1994,1973911547.0,1969.0,R. J. Smith,2313742993.0,1993.0,26
132,J. H. Moore,2192832537,1996,2042763955.0,1993.0,J. H. Moore,2343546208.0,1994.0,17
229,J. Cochrane,2634676385,1998,2193426683.0,1994.0,J. Cochrane,2162193788.0,1995.0,1
15,J. Padilla,2134476248,2000,3106161574.0,1998.0,J. Padilla,2003856437.0,1998.0,50
312,M. Meyer,2151826721,2000,2471803035.0,1996.0,M. Meyer,1977076280.0,1997.0,11
262,A. Banerjee,3050623906,2000,2014708477.0,1999.0,A. Banerjee,2320631743.0,2000.0,2
295,G. Mailath,3062417998,2000,2060488213.0,1998.0,G. Mailath,2011343198.0,1999.0,2
254,H. Uhlig,2035834820,2000,2051136054.0,1960.0,H. Uhlig,3160617451.0,1963.0,115
205,Canice Prendergast,2130338547,2001,3148800185.0,1996.0,Canice Prendergast,3142565384.0,1999.0,349
136,Patrick Bolton,2572191037,2002,2527840914.0,2001.0,Patrick Bolton,2339392716.0,2002.0,1999
232,John Van Reenen,2118787236,2002,3125531129.0,1992.0,John Van Reenen,2506331234.0,1995.0,1026
24,Oliver Linton,2575803639,2002,3145176592.0,2001.0,Oliver Linton,2144317600.0,2002.0,441
384,Giovanni L. Violante,950463456,2002,3125479054.0,2000.0,Giovanni L. Violante,3124493166.0,2000.0,203
314,Ian Tonks,1967221115,2003,3150297040.0,2002.0,Ian Tonks,2337930564.0,2003.0,180
367,James Dow,2162596180,2003,2203344252.0,1942.0,James Dow,2019249850.0,1951.0,21
69,Hidehiko Ichimura,1983958827,2003,3124641263.0,1991.0,Hidehiko Ichimura,2136175429.0,1993.0,979
307,Philippe Jehiel,152288754,2004,3125837577.0,1998.0,Philippe Jehiel,2168193320.0,2002.0,667
310,Timothy Besley,523865281,2004,3140004143.0,2000.0,Timothy Besley,3123180225.0,2003.0,3877
268,Manuel Arellano,2492562382,2004,2130093477.0,2002.0,Manuel Arellano,2143852028.0,2004.0,6
365,Rohit Rahi,2137603084,2004,3125497488.0,1999.0,Rohit Rahi,3121307884.0,2003.0,152
163,Denis Gromb,108790722,2004,3123950032.0,2002.0,Denis Gromb,2494493922.0,2003.0,431
67,Gianluca Violante,3166961184,2004,152164390.0,2000.0,Gianluca Violante,2244981710.0,2003.0,4
0,Neil Shephard,3175735272,2005,3125404838.0,2002.0,Neil Shephard,3124528837.0,2004.0,187
272,Jaume Ventura,2170717795,2005,3147162030.0,2002.0,Jaume Ventura,3125819136.0,2004.0,491
362,Martin Cripps,2158697556,2006,1524475417.0,2006.0,Martin Cripps,1575428896.0,2005.0,1
111,Harald Uhlig,1972720549,2006,3126108108.0,2001.0,Harald Uhlig,2181808575.0,2006.0,1946
343,Maitreesh Ghatak,1780997049,2006,3125800405.0,2003.0,Maitreesh Ghatak,3122010567.0,2003.0,703
187,Pinelopi Koujianou Goldberg,2194720107,2007,3145548032.0,2003.0,Pinelopi Koujianou Goldberg,2105661116.0,2006.0,1883
198,Francesca Cornelli,37447337,2007,3125570232.0,1999.0,Francesca Cornelli,3125792893.0,2005.0,894
93,Sven Rady,2036219391,2007,3125990970.0,2003.0,Sven Rady,1992641029.0,2004.0,511
223,Kiminori Matsuyama,2134040394,2008,3126110634.0,1992.0,Kiminori Matsuyama,3200786557.0,2008.0,2193
76,Andrea Prat,2106178214,2008,3149223638.0,2004.0,Andrea Prat,2130528061.0,2005.0,917
214,John Hassler,2940064690,2009,3124143432.0,1997.0,John Hassler,2020957099.0,1998.0,573
199,Erik Eyster,2134236012,2009,3123963914.0,2009.0,Erik Eyster,2168005102.0,2009.0,14
248,Narayana R. Kocherlakota,2252465130,2009,3145495983.0,1993.0,Narayana R. Kocherlakota,3125496997.0,2003.0,3212
305,Thomas Mariotti,2099917298,2009,3149225270.0,2010.0,Thomas Mariotti,2136086803.0,2009.0,510
184,Antonio Ciccone,2125654297,2009,3126126952.0,2008.0,Antonio Ciccone,2187129068.0,2009.0,3029
327,David Myatt,1978331266,2009,2514507008.0,1998.0,David Myatt,2406522676.0,2000.0,33
316,Felix Kubler,2011654080,2009,3145061088.0,2004.0,Felix Kubler,3125670792.0,2006.0,556
217,Abhinay Muthoo,2043746539,2009,3125850237.0,2002.0,Abhinay Muthoo,1973897371.0,2005.0,1045
54,Gilat Levy,2134413772,2009,3124905706.0,2005.0,Gilat Levy,3125101547.0,2009.0,284
5,Christian Julliard,231843836,2009,3151950570.0,2003.0,Christian Julliard,3125279569.0,2004.0,286
129,Dirk Bergemann,2270413747,2010,3126145210.0,2007.0,Dirk Bergemann,2151442847.0,2009.0,1275
13,V. Bhaskar,2797244421,2010,2256291939.0,2007.0,V. Bhaskar,14524254.0,2010.0,1
409,Rachel Griffith,2155660295,2011,3145293904.0,2003.0,Rachel Griffith,3125697804.0,2004.0,6802
81,Mark Armstrong,2098627217,2011,2284352064.0,2008.0,Mark Armstrong,1505853169.0,2010.0,1
139,Bernard Salanié,44198871,2011,3152370179.0,2003.0,Bernard Salanié,3125492401.0,2005.0,2380
142,Enrique Sentana,3214463232,2011,3122958134.0,1997.0,Enrique Sentana,3125415034.0,2004.0,15
376,Jonathan Levin,2526172747,2011,3125970246.0,2008.0,Jonathan Levin,3125504329.0,2010.0,1728
25,David Lee,3210885454,2011,2171507390.0,2007.0,David Lee,2549850297.0,2011.0,202
164,Luis Garicano,156489535,2011,3125960095.0,2014.0,Luis Garicano,3123407091.0,2009.0,2023
428,Simon Lee,2777816603,2011,2025527723.0,2007.0,Simon Lee,2582006974.0,2010.0,9
230,Martin Pesendorfer,1968337728,2011,3125488980.0,1998.0,Martin Pesendorfer,2515920537.0,2000.0,1037
96,Muhamet Yildiz,2628458538,2012,2902288052.0,2007.0,Muhamet Yildiz,3124176509.0,2012.0,12
330,Bent Nielsen,2139043384,2012,3125408405.0,2012.0,Bent Nielsen,3123267399.0,2012.0,1075
144,Juuso Välimäki,2107246172,2012,2252997909.0,1999.0,Juuso Välimäki,2132864390.0,2000.0,887
