Nicola Fuchs-Schündeln,,,Goethe University Frankfurt
Mike Elsby,,,University of Edinburgh
Monica Martinez-Bravo,,,CEMFI
Áureo de Paula,,,University College London
Maria Petrova,,,IPEG Barcelona
Michèle Tertilt,,,University of Mannheim
Fabian Waldinger,,,University of Munich
Thomas Chaney,,,University of Southern California; Sciences Po
Andrea Galeotti,,,London Business School
Bård Harstad,,,University of Oslo
Nir Jaimovich,,,University of California, San Diego
Katrine Loken,,,Norwegian School of Economics
Kurt Mitman,,,IIES, Stockholm University
Francesca Molinari,,,Cornell University
Elias Papaioannou,,,London Business School
Noam Yuchtman,,,London School of Economics
Miklos Koren,,,Central European University
Gregory Thwaites,,,Nottingham University
Johannes Abeler,,,University of Oxford
Abi Adams-Prassl,,,University of Oxford
Teodora Boneva,,,University of Bonn
Timo Boppart,,,IIES, Stockholm University
Gharad Bryan,,,London School of Economics
Konrad Burchardi,,,IIES, Stockholm University
Michael Callen,,,London School of Economics
Davide Cantoni,,,Ludwig-Maximilians-Universität München
Francesco Decarolis,,,Bocconi University
Jan De Loecker,,,KU Leuven
Swati Dhingra,,,London School of Economics
Matthew Elliott,,,University of Cambridge
Ruben Enikolopov,,,Universitat Pompeu Fabra and New Economic School
Luca Fornaro,,,CREI, Universitat Pompeu Fabra
Joachim Freyberger,,,University of Bonn
Daniel Garrett,,,Toulouse School of Economics
Nicola Gennaioli,,,Bocconi University
Jeanne Hagenbach,,,Sciences Po
Xavier d’Haultfoeuille,,,CREST
Xavier Jaravel,,,London School of Economics
Toru Kitagawa,,,University College London
Terri Kneeland,,,University College London
Stephan Lauermann,,,University of Bonn
Thomas Le Barbanchon,,,Bocconi University
Attila Lindner,,,University College London
Joan Llull,,,Universitat Autònoma de Barcelona
Kalina Manova,,,University College London
Filip Matejka,,,CERGE-EI
Benjamin Moll,,,London School of Economics
Andreas Moxnes,,,University of Oslo
Martin Oehmke,,,London School of Economics
Antonio Penta,,,Universitat Pompeu Fabra
Eduardo Perez-Richet,,,Sciences Po
Pia Pinger,,,University of Cologne
Giacomo Ponzetto,,,CREI, Universitat Pompeu Fabra
Mar Reguant,,,Northwestern University
Federica Romei,,,University of Oxford
Christoph Rothe,,,University of Mannheim
Edouard Schaal,,,CREI, Universitat Pompeu Fabra
Florian Scheuer,,,University of Zurich
Uta Schoenberg,,,University College London
Johannes Spinnewijn,,,London School of Economics
Jakub Steiner,,,CERGE-EI
Vincent Sterk,,,University College London
Adam Szeidl,,,Central European University
Victoria Vanasco,,,CREI
Martin Weidner,,,University of Oxford
Takuro Yamashita,,,Toulouse School of Economics
David Yanagizawa-Drott,,,University of Zurich
Noam Yuchtman,,,London School of Economics
Shengxing Zhang,,,London School of Economics
Florian Zimmerman,,,briq and University of Bonn
Manuel Amador,,,University of Minnesota
Juliane Begenau,,,Stanford Graduate School of Business
Emily Breza,,,Harvard University
Gabriel Chodorow-Reich,,,Harvard University
Chao Fu,,,University of Wisconsin-Madison
Myrto Kalouptsidi,,,Harvard University
Navin Kartik,,,Columbia University
Patrick Kline,,,University of California, Berkeley
Fuhito Kojima,,,University of Tokyo
Matteo Maggiori,,,Stanford Graduate School of Business
Anna Mikusheva,,,MIT
Guillermo Ordonez,,,University of Pennsylvania
Mikkel Plagborg-Moller,,,Princeton University
Joshua Schwartzstein,,,Harvard Business School
Johannes Stroebel,,,New York University
Joseph Vavra,,,University of Chicago, Booth School of Business
Alexander Wolitzky,,,MIT
