M. Armstrong,Joint Managing Editors 
O. Attanasio,Joint Managing Editors 
J. Dow,Joint Managing Editors 
M. Piccione,Assistant Editors 
E. Sentana,Assistant Editors 
H. Uhlig,Assistant Editors 
G. D. Myles,Production Editor 
A. Banerjee,Foreign Editors 
P. Bolton,Foreign Editors 
G. Imbens,Foreign Editors 
G. Mailath,Foreign Editors 
S. Morris,Foreign Editors 
R. Porter,Foreign Editors 
C. Prendergast,Foreign Editors 
J.-V. Rios Rull,Foreign Editors 
I. Tonks,Business Manager
H. S. Shin,Editorial Board (Chairman)
K. Abadir,Editorial Board
M. Dewatripont,Editorial Board
M. Meyer,Editorial Board
M. Arellano,Editorial Board
J. Gali,Editorial Board
G. Noldeke,Editorial Board
E. Von Thadden,Editorial Board
T. Besley,Editorial Board
P. Jehiel,Editorial Board
J. Padilla,Editorial Board
J. Valimaki,Editorial Board
T. Borgers,Editorial Board
O. Linton,Editorial Board
S. Rady,Editorial Board
G. Violante,Editorial Board
M. Coles,Editorial Board
E. G. J. Luttmer,Editorial Board
R. Rahi,Editorial Board
F. Cornelli,Editorial Board
D. Martimort,Editorial Board
J. Van Reenen,Editorial Board
M. Cripps,Editorial Board
C. Meghir,Editorial Board
B. Salanie,Editorial Board
N. Shephard,Editorial Board
