Lance Lochner
Johannes Stroebel
Guo Xu
John List
Ralph Koijen
Ali Hortaçsu
David Yanagizawa-Drott
Jakub Kastl
Jonathan Vogel
Itamar Drechsler
Meera Joshi
Jesse Shapiro
Patrick Kline
Connie Fritsche
Magne Mogstad
Frederico Finan
Amit Seru
Zoe Cullen
AyşEgül Sahin
Andrea Eisfeldt
Valerie Ramey
Jonathan Levin
Samuel Abers
Yusufcan Masatlioglu
Jan De Loecker
Lee Lockwood
Stefanie Stantcheva
Noam Yuchtman
Pietro Ortoleva
Bertil Tungodden
Edwin Leuven
Manisha Ratakonda
Chad Syverson
Francesco Trebbi
Hanna Kime
Andrew Atkeson
Wilbert Van Der Klaauw
Jennifer La’O
Azeem Shaikh
James J. Heckman
Mark Bils
Kjetil Storesletten
Emir Kamenica
Linfei Li
Daniel Gottlieb
Rachel Griffith
Ben Handel
Raymond Fisman
Chenzi Xu
Ali Hortacsu
Student Assistant
Cecile Gaubert
Albrecht Ritschl
Leonardo Bursztyn
Gautam Rao
Vicky M. Longawa
Ricardo Perez-Truglia
Claudio Ferraz
Joseph Shapiro
Ed Martin
Zoë Cullen
Greg Kaplan
Annie Dhal
Harald Uhlig
Harvey Barnhard
Ezra Oberfield
David Green
Parag Pathak
Christopher Walters
Peter Klenow
Anna Dreber Almenberg
Pablo Fajgelbaum
Erik Hurst
Melissa Dell
Chloe Pfeiffer
Alexander Cappelen
Esteban Rossi-Hansberg
Michael Greenstone
Daniel Labrousse
