,AuthorId,PaperId,Year,Name,NormalizedName
0,2582194174.0,4778908,2011,Vasiliki Skreta,vasiliki skreta
1,2582194174.0,4778908,2011,Vasiliki Skreta,vasiliki skreta
2,2582194174.0,149915515,2013,Vasiliki Skreta,vasiliki skreta
3,2582194174.0,149915515,2013,Vasiliki Skreta,vasiliki skreta
4,2582194174.0,1487147682,2005,Vasiliki Skreta,vasiliki skreta
5,2582194174.0,1487551720,2013,Vasiliki Skreta,vasiliki skreta
6,2582194174.0,1487551720,2013,Vasiliki Skreta,vasiliki skreta
7,2582194174.0,1499807028,2007,Vasiliki Skreta,vasiliki skreta
8,2582194174.0,1499807028,2007,Vasiliki Skreta,vasiliki skreta
9,2582194174.0,1503027747,2003,Vasiliki Skreta,vasiliki skreta
10,2582194174.0,1508624882,2013,Vasiliki Skreta,vasiliki skreta
11,2582194174.0,1508624882,2013,Vasiliki Skreta,vasiliki skreta
12,2582194174.0,1510776622,2007,Vasiliki Skreta,vasiliki skreta
13,2582194174.0,1511679822,2011,Vasiliki Skreta,vasiliki skreta
14,2582194174.0,1512623520,2007,Vasiliki Skreta,vasiliki skreta
15,2582194174.0,1512623520,2007,Vasiliki Skreta,vasiliki skreta
16,2582194174.0,1521923297,2005,Vasiliki Skreta,vasiliki skreta
17,2582194174.0,1523843388,2005,Vasiliki Skreta,vasiliki skreta
18,2582194174.0,1558169606,2004,Vasiliki Skreta,vasiliki skreta
30591,261802267.0,1558169606,2004,Aleh Tsyvinski,aleh tsyvinski
19,2582194174.0,1579195854,2005,Vasiliki Skreta,vasiliki skreta
20,2582194174.0,1590518342,2004,Vasiliki Skreta,vasiliki skreta
21,2582194174.0,1590847583,2005,Vasiliki Skreta,vasiliki skreta
22,2582194174.0,1599613318,2008,Vasiliki Skreta,vasiliki skreta
23,2582194174.0,1607611364,2013,Vasiliki Skreta,vasiliki skreta
24,2582194174.0,1607611364,2013,Vasiliki Skreta,vasiliki skreta
25,2582194174.0,1986457120,2006,Vasiliki Skreta,vasiliki skreta
26,2582194174.0,2000456452,2008,Vasiliki Skreta,vasiliki skreta
27,2582194174.0,2000456452,2008,Vasiliki Skreta,vasiliki skreta
28,2582194174.0,2034027302,2011,Vasiliki Skreta,vasiliki skreta
29,2582194174.0,2037016669,2009,Vasiliki Skreta,vasiliki skreta
30,2582194174.0,2059976050,2008,Vasiliki Skreta,vasiliki skreta
31,2582194174.0,2059976050,2008,Vasiliki Skreta,vasiliki skreta
32,2582194174.0,2103278216,2008,Vasiliki Skreta,vasiliki skreta
33,2582194174.0,2120069930,2010,Vasiliki Skreta,vasiliki skreta
34,2582194174.0,2120069930,2010,Vasiliki Skreta,vasiliki skreta
7932,329855202.0,2120069930,2010,Thomas Philippon,thomas philippon
7933,329855202.0,2120069930,2010,Thomas Philippon,thomas philippon
35,2582194174.0,2132331911,2013,Vasiliki Skreta,vasiliki skreta
36,2582194174.0,2132331911,2013,Vasiliki Skreta,vasiliki skreta
30614,261802267.0,2132331911,2013,Aleh Tsyvinski,aleh tsyvinski
37,2582194174.0,2157905204,2013,Vasiliki Skreta,vasiliki skreta
38,2582194174.0,2157905204,2013,Vasiliki Skreta,vasiliki skreta
39,2582194174.0,2165803494,2006,Vasiliki Skreta,vasiliki skreta
40,2582194174.0,2165803494,2006,Vasiliki Skreta,vasiliki skreta
41,2582194174.0,2170011154,2006,Vasiliki Skreta,vasiliki skreta
42,2582194174.0,2234311187,2005,Vasiliki Skreta,vasiliki skreta
43,2582194174.0,2237214788,2016,Vasiliki Skreta,vasiliki skreta
44,2582194174.0,2287076876,2020,Vasiliki Skreta,vasiliki skreta
45,2582194174.0,2287076876,2020,Vasiliki Skreta,vasiliki skreta
46,2582194174.0,2287076876,2020,Vasiliki Skreta,vasiliki skreta
47,2582194174.0,2294010622,2007,Vasiliki Skreta,vasiliki skreta
48,2582194174.0,2598387280,2017,Vasiliki Skreta,vasiliki skreta
49,2582194174.0,2618705568,2019,Vasiliki Skreta,vasiliki skreta
50,2582194174.0,2756392199,2017,Vasiliki Skreta,vasiliki skreta
19216,270469976.0,2756392199,2017,Eduardo Perez-Richet,eduardo perezrichet
51,2582194174.0,2900248647,2018,Vasiliki Skreta,vasiliki skreta
52,2582194174.0,2900313146,2018,Vasiliki Skreta,vasiliki skreta
53,2582194174.0,2936754199,2019,Vasiliki Skreta,vasiliki skreta
54,2582194174.0,2970434477,2020,Vasiliki Skreta,vasiliki skreta
55,2582194174.0,2973076609,2018,Vasiliki Skreta,vasiliki skreta
56,2582194174.0,3021031486,2005,Vasiliki Skreta,vasiliki skreta
57,2582194174.0,3021355006,2007,Vasiliki Skreta,vasiliki skreta
58,2582194174.0,3021669448,2007,Vasiliki Skreta,vasiliki skreta
59,2582194174.0,3120999603,2021,Vasiliki Skreta,vasiliki skreta
60,2582194174.0,3121250409,2011,Vasiliki Skreta,vasiliki skreta
61,2582194174.0,3121326284,2005,Vasiliki Skreta,vasiliki skreta
62,2582194174.0,3121369223,2008,Vasiliki Skreta,vasiliki skreta
63,2582194174.0,3121865661,2019,Vasiliki Skreta,vasiliki skreta
64,2582194174.0,3121865661,2019,Vasiliki Skreta,vasiliki skreta
65,2582194174.0,3121865661,2019,Vasiliki Skreta,vasiliki skreta
66,2582194174.0,3121938583,2018,Vasiliki Skreta,vasiliki skreta
67,2582194174.0,3121971365,2004,Vasiliki Skreta,vasiliki skreta
68,2582194174.0,3121981681,2018,Vasiliki Skreta,vasiliki skreta
69,2582194174.0,3122181997,2014,Vasiliki Skreta,vasiliki skreta
30671,261802267.0,3122181997,2014,Aleh Tsyvinski,aleh tsyvinski
70,2582194174.0,3122269916,2008,Vasiliki Skreta,vasiliki skreta
71,2582194174.0,3122329533,2004,Vasiliki Skreta,vasiliki skreta
30673,261802267.0,3122329533,2004,Aleh Tsyvinski,aleh tsyvinski
72,2582194174.0,3122339866,2008,Vasiliki Skreta,vasiliki skreta
73,2582194174.0,3122830180,2019,Vasiliki Skreta,vasiliki skreta
74,2582194174.0,3122853276,2018,Vasiliki Skreta,vasiliki skreta
75,2582194174.0,3122991558,2008,Vasiliki Skreta,vasiliki skreta
76,2582194174.0,3123166348,2017,Vasiliki Skreta,vasiliki skreta
77,2582194174.0,3123527672,2005,Vasiliki Skreta,vasiliki skreta
78,2582194174.0,3123668205,2005,Vasiliki Skreta,vasiliki skreta
79,2582194174.0,3123887101,2007,Vasiliki Skreta,vasiliki skreta
80,2582194174.0,3124018357,2005,Vasiliki Skreta,vasiliki skreta
81,2582194174.0,3124108132,2007,Vasiliki Skreta,vasiliki skreta
82,2582194174.0,3124118131,2011,Vasiliki Skreta,vasiliki skreta
30698,261802267.0,3124118131,2011,Aleh Tsyvinski,aleh tsyvinski
83,2582194174.0,3124374185,2008,Vasiliki Skreta,vasiliki skreta
84,2582194174.0,3124635039,2020,Vasiliki Skreta,vasiliki skreta
85,2582194174.0,3124635039,2020,Vasiliki Skreta,vasiliki skreta
86,2582194174.0,3124831007,2018,Vasiliki Skreta,vasiliki skreta
87,2582194174.0,3124839260,2012,Vasiliki Skreta,vasiliki skreta
8081,329855202.0,3124839260,2012,Thomas Philippon,thomas philippon
88,2582194174.0,3124987726,2013,Vasiliki Skreta,vasiliki skreta
89,2582194174.0,3125041422,2009,Vasiliki Skreta,vasiliki skreta
90,2582194174.0,3125143464,2010,Vasiliki Skreta,vasiliki skreta
8089,329855202.0,3125143464,2010,Thomas Philippon,thomas philippon
91,2582194174.0,3125577085,2009,Vasiliki Skreta,vasiliki skreta
92,2582194174.0,3125609476,2015,Vasiliki Skreta,vasiliki skreta
93,2582194174.0,3125759588,2017,Vasiliki Skreta,vasiliki skreta
94,2582194174.0,3125759588,2017,Vasiliki Skreta,vasiliki skreta
95,2582194174.0,3126096690,2008,Vasiliki Skreta,vasiliki skreta
96,2582194174.0,3138080130,2021,Vasiliki Skreta,vasiliki skreta
97,2582194174.0,3151466893,2016,Vasiliki Skreta,vasiliki skreta
98,2582194174.0,3163522894,2017,Vasiliki Skreta,vasiliki skreta
99,2582194174.0,3163522894,2017,Vasiliki Skreta,vasiliki skreta
19233,270469976.0,3163522894,2017,Eduardo Perez-Richet,eduardo perezrichet
100,2582194174.0,3166656447,2021,Vasiliki Skreta,vasiliki skreta
101,2582194174.0,3166656447,2021,Vasiliki Skreta,vasiliki skreta
102,2582194174.0,3171088360,2018,Vasiliki Skreta,vasiliki skreta
103,2582194174.0,3174150632,2021,Vasiliki Skreta,vasiliki skreta
104,2582194174.0,3178827098,2018,Vasiliki Skreta,vasiliki skreta
105,2582194174.0,3188889662,2021,Vasiliki Skreta,vasiliki skreta
106,2582194174.0,3188889662,2021,Vasiliki Skreta,vasiliki skreta
107,2582194174.0,3188889662,2021,Vasiliki Skreta,vasiliki skreta
108,2582194174.0,3204903431,2019,Vasiliki Skreta,vasiliki skreta
109,2582194174.0,3204903431,2019,Vasiliki Skreta,vasiliki skreta
110,3132577698.0,1481888588,1997,Robert C. Feenstra,robert c feenstra
111,3132577698.0,1481888588,1997,Robert C. Feenstra,robert c feenstra
8571,2136751735.0,1481888588,1997,Gordon H. Hanson,g hanson
8572,2136751735.0,1481888588,1997,Gordon H. Hanson,g hanson
112,3132577698.0,1483497261,2007,Robert C. Feenstra,robert c feenstra
113,3132577698.0,1483497261,2007,Robert C. Feenstra,robert c feenstra
8575,2136751735.0,1483497261,2007,Gordon H. Hanson,g hanson
8576,2136751735.0,1483497261,2007,Gordon H. Hanson,g hanson
114,3132577698.0,1495079242,2009,Robert C. Feenstra,robert c feenstra
115,3132577698.0,1499143440,1991,Robert C. Feenstra,robert c feenstra
116,3132577698.0,1499143440,1991,Robert C. Feenstra,robert c feenstra
117,3132577698.0,1515154769,1997,Robert C. Feenstra,robert c feenstra
118,3132577698.0,1515154769,1997,Robert C. Feenstra,robert c feenstra
119,3132577698.0,1539642143,1998,Robert C. Feenstra,robert c feenstra
120,3132577698.0,1539642143,1998,Robert C. Feenstra,robert c feenstra
121,3132577698.0,1542554072,1989,Robert C. Feenstra,robert c feenstra
122,3132577698.0,1542554072,1989,Robert C. Feenstra,robert c feenstra
10769,697830779.0,1542554072,1989,James Levinsohn,james levinsohn
10770,697830779.0,1542554072,1989,James Levinsohn,james levinsohn
123,3132577698.0,1556079306,1997,Robert C. Feenstra,robert c feenstra
124,3132577698.0,1556079306,1997,Robert C. Feenstra,robert c feenstra
125,3132577698.0,1564777294,1993,Robert C. Feenstra,robert c feenstra
126,3132577698.0,1564777294,1993,Robert C. Feenstra,robert c feenstra
127,3132577698.0,1571984822,2006,Robert C. Feenstra,robert c feenstra
128,3132577698.0,1591943750,2000,Robert C. Feenstra,robert c feenstra
8640,2136751735.0,1591943750,2000,Gordon H. Hanson,g hanson
129,3132577698.0,1597832333,2005,Robert C. Feenstra,robert c feenstra
130,3132577698.0,1597832333,2005,Robert C. Feenstra,robert c feenstra
131,3132577698.0,1602030921,1998,Robert C. Feenstra,robert c feenstra
132,3132577698.0,1602030921,1998,Robert C. Feenstra,robert c feenstra
133,3132577698.0,1606383472,2010,Robert C. Feenstra,robert c feenstra
134,3132577698.0,1606383472,2010,Robert C. Feenstra,robert c feenstra
135,3132577698.0,2069322068,1993,Robert C. Feenstra,robert c feenstra
136,3132577698.0,2069322068,1993,Robert C. Feenstra,robert c feenstra
137,3132577698.0,2111076038,2009,Robert C. Feenstra,robert c feenstra
138,3132577698.0,2113969843,2018,Robert C. Feenstra,robert c feenstra
139,3132577698.0,2113969843,2018,Robert C. Feenstra,robert c feenstra
140,3132577698.0,2120235266,1991,Robert C. Feenstra,robert c feenstra
141,3132577698.0,2120235266,1991,Robert C. Feenstra,robert c feenstra
142,3132577698.0,2124884703,2004,Robert C. Feenstra,robert c feenstra
