,AuthorId,PaperId,Year,Name,NormalizedName
0,2199275230.0,24005235,2011,Matthew O. Jackson,matthew o jackson
1,2199275230.0,32552795,2008,Matthew O. Jackson,matthew o jackson
2,2199275230.0,66695097,2005,Matthew O. Jackson,matthew o jackson
3,2199275230.0,102430458,2015,Matthew O. Jackson,matthew o jackson
4,2199275230.0,403271268,2008,Matthew O. Jackson,matthew o jackson
5,2199275230.0,595331685,2011,Matthew O. Jackson,matthew o jackson
6,2199275230.0,994538620,2011,Matthew O. Jackson,matthew o jackson
7,2199275230.0,1482001895,2016,Matthew O. Jackson,matthew o jackson
8,2199275230.0,1482001895,2016,Matthew O. Jackson,matthew o jackson
9,2199275230.0,1483778127,2001,Matthew O. Jackson,matthew o jackson
10,2199275230.0,1484686078,2015,Matthew O. Jackson,matthew o jackson
11,2199275230.0,1484686078,2015,Matthew O. Jackson,matthew o jackson
12,2199275230.0,1485734351,2004,Matthew O. Jackson,matthew o jackson
13,2199275230.0,1494003230,2002,Matthew O. Jackson,matthew o jackson
14,2199275230.0,1497486711,2004,Matthew O. Jackson,matthew o jackson
14553,2204319560.0,1497486711,2004,Francis Bloch,francis bloch
15,2199275230.0,1502968994,2001,Matthew O. Jackson,matthew o jackson
16,2199275230.0,1504989172,2009,Matthew O. Jackson,matthew o jackson
17,2199275230.0,1504989172,2009,Matthew O. Jackson,matthew o jackson
18,2199275230.0,1509010277,2005,Matthew O. Jackson,matthew o jackson
19,2199275230.0,1509364015,2015,Matthew O. Jackson,matthew o jackson
20,2199275230.0,1509364015,2015,Matthew O. Jackson,matthew o jackson
21,2199275230.0,1509513029,2003,Matthew O. Jackson,matthew o jackson
22,2199275230.0,1511088604,2009,Matthew O. Jackson,matthew o jackson
23,2199275230.0,1512373850,2011,Matthew O. Jackson,matthew o jackson
24,2199275230.0,1512373850,2011,Matthew O. Jackson,matthew o jackson
25,2199275230.0,1514893366,2008,Matthew O. Jackson,matthew o jackson
26,2199275230.0,1516215256,1997,Matthew O. Jackson,matthew o jackson
27,2199275230.0,1520697728,1996,Matthew O. Jackson,matthew o jackson
28,2199275230.0,1521516950,2003,Matthew O. Jackson,matthew o jackson
