,AuthorId,PaperId,Year,Name,NormalizedName
0,664019491.0,14996888,2008,Lance Lochner,lance lochner
1,664019491.0,102839244,2001,Lance Lochner,lance lochner
2,664019491.0,149695472,2005,Lance Lochner,lance lochner
3,664019491.0,247120359,2010,Lance Lochner,lance lochner
4,664019491.0,262708198,2011,Lance Lochner,lance lochner
5,664019491.0,288353098,2007,Lance Lochner,lance lochner
6,664019491.0,303365405,2011,Lance Lochner,lance lochner
7,664019491.0,319507802,2011,Lance Lochner,lance lochner
8,664019491.0,332152920,2008,Lance Lochner,lance lochner
9,664019491.0,1484070613,1999,Lance Lochner,lance lochner
10,664019491.0,1484070613,1999,Lance Lochner,lance lochner
11,664019491.0,1486902273,2012,Lance Lochner,lance lochner
12,664019491.0,1491236099,2000,Lance Lochner,lance lochner
13,664019491.0,1501282446,1999,Lance Lochner,lance lochner
14,664019491.0,1501282446,1999,Lance Lochner,lance lochner
2386,1877272218.0,1501282446,1999,James J. Heckman,james j heckman
15,664019491.0,1506073288,2007,Lance Lochner,lance lochner
16,664019491.0,1531429060,2003,Lance Lochner,lance lochner
17,664019491.0,1531429060,2003,Lance Lochner,lance lochner
18,664019491.0,1534522222,2002,Lance Lochner,lance lochner
19,664019491.0,1534522222,2002,Lance Lochner,lance lochner
20,664019491.0,1541571975,1998,Lance Lochner,lance lochner
21,664019491.0,1541571975,1998,Lance Lochner,lance lochner
2419,1877272218.0,1541571975,1998,James J. Heckman,james j heckman
22,664019491.0,1541599229,2013,Lance Lochner,lance lochner
23,664019491.0,1541599229,2013,Lance Lochner,lance lochner
24,664019491.0,1548918997,2014,Lance Lochner,lance lochner
25,664019491.0,1550993780,2006,Lance Lochner,lance lochner
2429,1877272218.0,1550993780,2006,James J. Heckman,james j heckman
26,664019491.0,1555034039,2003,Lance Lochner,lance lochner
27,664019491.0,1555034039,2003,Lance Lochner,lance lochner
2433,1877272218.0,1555034039,2003,James J. Heckman,james j heckman
28,664019491.0,1555557031,2009,Lance Lochner,lance lochner
29,664019491.0,1559416292,2005,Lance Lochner,lance lochner
30,664019491.0,1559416292,2005,Lance Lochner,lance lochner
2438,1877272218.0,1559416292,2005,James J. Heckman,james j heckman
31,664019491.0,1576671252,2005,Lance Lochner,lance lochner
