Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Vasiliki Skreta,2582194174.0,15936.0,vasiliki skreta,86519309.0,88.0,48.0,893.0,2017-02-03
3,Igal Hendel,2089095713.0,15153.0,igal hendel,111979921.0,73.0,45.0,2653.0,2016-06-24
9,Patrick Kehoe,2327828920.0,20533.0,patrick kehoe,,2.0,2.0,0.0,2016-06-24
11,Balázs Szentes,2303016330.0,16374.0,balazs szentes,909854389.0,52.0,38.0,910.0,2016-06-24
12,Simon Gilchrist,2125793755.0,13470.0,simon gilchrist,57206974.0,127.0,84.0,13614.0,2016-06-24
13,Michael H. Riordan,2581482331.0,14363.0,michael h riordan,78577930.0,124.0,103.0,4961.0,2017-02-03
15,Navin Kartik,1362851725.0,15780.0,navin kartik,78577930.0,66.0,45.0,1852.0,2016-06-24
19,Juan Ortner,2660703863.0,17591.0,juan ortner,111088046.0,32.0,19.0,83.0,2017-06-30
23,Robert A. Moffitt,1418239632.0,13260.0,robert a moffitt,145311948.0,334.0,250.0,15081.0,2016-06-24
26,Roger H. Gordon,2147688601.0,13842.0,roger h gordon,36258959.0,260.0,147.0,6442.0,2016-06-24
27,David Genesove,111321143.0,14776.0,david genesove,197251160.0,67.0,40.0,2854.0,2016-06-24
29,Sebnem Kalemli-Ozcan,2614246165.0,14204.0,sebnem kalemliozcan,66946132.0,180.0,103.0,7401.0,2017-05-26
30,Thomas N. Hubbard,2152355942.0,15062.0,thomas n hubbard,111979921.0,74.0,44.0,1840.0,2016-06-24
31,Joshua D. Angrist,259389263.0,12264.0,joshua d angrist,63966007.0,372.0,194.0,40764.0,2016-06-24
32,Ben S. Bernanke,1455473529.0,12152.0,ben s bernanke,115283149.0,719.0,422.0,46416.0,2016-06-24
34,Arnaud Costinot,70347822.0,14951.0,arnaud costinot,63966007.0,100.0,46.0,3009.0,2016-06-24
35,Romain Wacziarg,2227285919.0,13952.0,romain wacziarg,161318765.0,114.0,64.0,8499.0,2016-06-24
38,Jeremy Bulow,2015497210.0,13395.0,jeremy bulow,97018004.0,132.0,74.0,10261.0,2016-06-24
39,Alireza Tahbaz-Salehi,181723794.0,14982.0,alireza tahbazsalehi,111979921.0,88.0,56.0,3724.0,2016-06-24
42,W. Kip Viscusi,1079344721.0,13105.0,w kip viscusi,200719446.0,611.0,484.0,19378.0,2016-06-24
44,Fiona Scott Morton,2100225338.0,14931.0,fiona scott morton,32971472.0,119.0,75.0,2760.0,2016-06-24
46,Katherine Ho,2157594297.0,15786.0,katherine ho,20089843.0,70.0,40.0,1345.0,2016-06-24
47,Kevin D. Hoover,1441355833.0,14807.0,kevin d hoover,170897317.0,231.0,181.0,3632.0,2016-06-24
51,Gary Solon,705971464.0,13962.0,gary solon,138006243.0,128.0,71.0,8991.0,2016-06-24
53,Bruno Strulovici,1991270300.0,16443.0,bruno strulovici,111979921.0,64.0,52.0,702.0,2016-06-24
54,Markus Brunnermeier,3171790957.0,20519.0,markus brunnermeier,,2.0,2.0,1.0,2021-06-22
58,Robert H. Haveman,3214393485.0,20115.0,robert h haveman,,2.0,2.0,15.0,2021-11-22
61,Enrique G. Mendoza,2155756113.0,13534.0,enrique g mendoza,79576946.0,328.0,202.0,11784.0,2016-06-24
66,Peter N. Ireland,2147920050.0,14409.0,peter n ireland,103531236.0,162.0,88.0,4229.0,2016-06-24
68,Timothy F. Bresnahan,134261518.0,13290.0,timothy f bresnahan,97018004.0,137.0,99.0,14510.0,2016-06-24
69,Gene M. Grossman,2251521749.0,12457.0,gene m grossman,20089843.0,325.0,173.0,41514.0,2016-06-24
71,Dilip Mookherjee,298131814.0,13862.0,dilip mookherjee,111088046.0,272.0,216.0,9147.0,2016-06-24
74,Rachel Croson,2215692108.0,14208.0,rachel croson,189196454.0,152.0,121.0,12732.0,2016-06-24
76,Georgy Egorov,1937199215.0,15681.0,georgy egorov,111979921.0,106.0,50.0,1373.0,2016-06-24
84,Gordon H. Hanson,2136751735.0,12075.0,g hanson,103635307.0,1542.0,1385.0,96528.0,2016-06-24
89,Theodore C. Bergstrom,2437183957.0,13819.0,theodore c bergstrom,154570441.0,210.0,164.0,9275.0,2016-06-24
92,Jennifer F. Reinganum,302378090.0,13971.0,jennifer f reinganum,200719446.0,152.0,99.0,6708.0,2016-06-24
93,Nageeb Ali,2265249790.0,20281.0,nageeb ali,36258959.0,2.0,1.0,5.0,2016-06-24
96,Olivier Tercieux,1724808014.0,16421.0,olivier tercieux,57995698.0,84.0,43.0,467.0,2016-06-24
104,James Levinsohn,697830779.0,13515.0,james levinsohn,32971472.0,141.0,81.0,12274.0,2016-06-24
105,Katja Seim,1996677756.0,15919.0,katja seim,32971472.0,73.0,52.0,1402.0,2016-06-24
106,Gita Gopinath,1907944430.0,14653.0,gita gopinath,136199984.0,136.0,72.0,3724.0,2016-06-24
108,Tomasz Strzalecki,64256269.0,16453.0,tomasz strzalecki,136199984.0,53.0,26.0,794.0,2016-06-24
109,Filip Matejka,3121417017.0,17970.0,filip matejka,151321946.0,19.0,17.0,66.0,2021-02-01
111,Liran Einav,129783993.0,14519.0,liran einav,97018004.0,177.0,111.0,5261.0,2016-06-24
114,Rema Hanna,2131415545.0,15140.0,rema hanna,136199984.0,113.0,69.0,3537.0,2016-06-24
119,Steven Tadelis,2241841031.0,14381.0,steven tadelis,95457486.0,110.0,59.0,4623.0,2016-06-24
121,Steven Callander,2170882167.0,16442.0,steven callander,97018004.0,39.0,31.0,993.0,2016-06-24
123,Simon Board,2106744156.0,16826.0,simon board,161318765.0,33.0,24.0,580.0,2016-06-24
124,Joseph G. Altonji,2046658938.0,13207.0,joseph g altonji,32971472.0,173.0,92.0,13119.0,2016-06-24
127,Robert W. Staiger,2124575537.0,13788.0,robert w staiger,1321305853.0,262.0,142.0,6744.0,2016-06-24
128,Mark Gertler,1989999200.0,12180.0,mark gertler,57206974.0,285.0,177.0,47736.0,2016-06-24
130,Ryan Oprea,1267476164.0,16495.0,ryan oprea,154570441.0,47.0,36.0,879.0,2016-06-24
133,Judith A. Chevalier,2512305431.0,13669.0,judith a chevalier,32971472.0,83.0,43.0,11792.0,2016-09-16
134,Ariel Burstein,2303407598.0,14875.0,ariel burstein,161318765.0,120.0,58.0,3499.0,2016-06-24
141,Nancy Gallini,237850040.0,14901.0,nancy gallini,141945490.0,40.0,36.0,3038.0,2016-06-24
144,Thomas J. Nechyba,132939026.0,15563.0,thomas j nechyba,170897317.0,47.0,29.0,1482.0,2016-06-24
148,J. David Baldwin,2146724960.0,19144.0,j david baldwin,8692664.0,6.0,6.0,20.0,2016-06-24
149,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
151,Allan Drazen,564597374.0,13554.0,allan drazen,66946132.0,186.0,117.0,10212.0,2016-06-24
153,Hamish Low,2111800362.0,15574.0,hamish low,40120149.0,115.0,79.0,1589.0,2016-06-24
156,Raghuram G. Rajan,2163021063.0,12035.0,raghuram g rajan,40347166.0,394.0,272.0,54442.0,2016-06-24
158,Karen K. Lewis,2134071311.0,14549.0,karen k lewis,79576946.0,99.0,58.0,4155.0,2016-06-24
160,Andrzej Skrzypacz,637557383.0,15647.0,andrzej skrzypacz,97018004.0,129.0,87.0,1611.0,2016-06-24
162,Amanda Pallais,2063352339.0,16490.0,amanda pallais,136199984.0,47.0,27.0,738.0,2016-06-24
165,Johannes Spinnewijn,305431955.0,16408.0,johannes spinnewijn,909854389.0,79.0,48.0,497.0,2016-06-24
169,Giuseppe Moscarini,2294294210.0,15499.0,giuseppe moscarini,32971472.0,91.0,57.0,1631.0,2016-06-24
179,Francesco Trebbi,231393685.0,14265.0,francesco trebbi,1321305853.0,127.0,57.0,7899.0,2016-06-24
180,Joel Sobel,2217437445.0,13912.0,joel sobel,36258959.0,102.0,78.0,8890.0,2016-06-24
181,Esteban Rossi-Hansberg,685834236.0,14450.0,esteban rossihansberg,20089843.0,161.0,83.0,5487.0,2016-06-24
