Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Matthew O. Jackson,2199275230.0,13265.0,matthew o jackson,97018004.0,400.0,267.0,21318.0,2016-06-24
3,Marciano Siniscalchi,2302599857.0,15685.0,marciano siniscalchi,111979921.0,53.0,33.0,1649.0,2016-06-24
7,Ulrich K. Müller,2161204404.0,15783.0,ulrich k muller,20089843.0,60.0,41.0,1681.0,2016-06-24
8,Amanda Friedenberg,2123513122.0,17048.0,amanda friedenberg,55732556.0,33.0,27.0,442.0,2016-06-24
11,Rosa L. Matzkin,2608475196.0,15274.0,rosa l matzkin,161318765.0,70.0,53.0,2291.0,2017-05-05
12,George J. Mailath,396483182.0,14159.0,george j mailath,79576946.0,191.0,119.0,6736.0,2016-06-24
14,Dirk Bergemann,2270413747.0,14517.0,dirk bergemann,32971472.0,273.0,127.0,4760.0,2016-06-24
15,Rakesh Vohra,2119616936.0,14087.0,rakesh vohra,79576946.0,217.0,174.0,5444.0,2016-06-24
16,Claudio Ferraz,2517708554.0,15856.0,claudio ferraz,2699952.0,66.0,44.0,1806.0,2016-09-16
17,Rachel Griffith,2155660295.0,13419.0,rachel griffith,28407311.0,339.0,258.0,15278.0,2016-06-24
19,Giovanni L. Violante,950463456.0,14131.0,giovanni l violante,20089843.0,193.0,105.0,7228.0,2016-06-24
27,Elie Tamer,2147680121.0,15173.0,elie tamer,136199984.0,82.0,60.0,3478.0,2016-06-24
28,James Andreoni,2021705599.0,13340.0,james andreoni,36258959.0,231.0,143.0,20480.0,2016-06-24
29,Joel Sobel,2217437445.0,13912.0,joel sobel,36258959.0,102.0,78.0,8890.0,2016-06-24
32,Jan De Loecker,1859497523.0,15051.0,jan de loecker,1321305853.0,72.0,38.0,3175.0,2016-06-24
34,Joseph G. Altonji,2046658938.0,13207.0,joseph g altonji,32971472.0,173.0,92.0,13119.0,2016-06-24
36,Anna Mikusheva,1990793873.0,16876.0,anna mikusheva,63966007.0,38.0,24.0,420.0,2016-06-24
37,Stephan Lauermann,2736868466.0,17291.0,stephan lauermann,135140700.0,40.0,25.0,188.0,2017-07-31
41,Sujoy Mukerji,2172182765.0,15562.0,sujoy mukerji,166337079.0,68.0,49.0,2437.0,2016-06-24
