Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
2,Michael H. Riordan,2581482331.0,14363.0,michael h riordan,78577930.0,124.0,103.0,4961.0,2017-02-03
4,Isaiah Andrews,1983061563.0,16768.0,isaiah andrews,136199984.0,52.0,29.0,467.0,2016-06-24
6,Esteban Rossi-Hansberg,685834236.0,14450.0,esteban rossihansberg,20089843.0,161.0,83.0,5487.0,2016-06-24
8,Bruce Sacerdote,2126682900.0,13797.0,bruce sacerdote,107672454.0,124.0,69.0,11093.0,2016-06-24
9,Ned Augenblick,2007617668.0,17584.0,ned augenblick,95457486.0,16.0,11.0,412.0,2016-06-24
12,Tomasz Strzalecki,64256269.0,16453.0,tomasz strzalecki,136199984.0,53.0,26.0,794.0,2016-06-24
16,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
17,Jeremy C. Stein,2096392297.0,12292.0,jeremy c stein,136199984.0,265.0,153.0,47662.0,2016-06-24
22,Trevon Logan,2188138613.0,20462.0,trevon logan,,2.0,2.0,3.0,2016-06-24
23,Edward Miguel,2144611101.0,13438.0,edward miguel,95457486.0,361.0,252.0,17498.0,2016-06-24
24,Alp Simsek,2100183006.0,15531.0,alp simsek,63966007.0,78.0,40.0,1212.0,2016-06-24
26,Dave Donaldson,2162818368.0,15682.0,dave donaldson,63966007.0,64.0,34.0,2115.0,2016-06-24
27,Pascaline Dupas,2011705805.0,14886.0,pascaline dupas,97018004.0,136.0,78.0,4776.0,2016-06-24
30,Jaume Ventura,2170717795.0,14618.0,jaume ventura,170486558.0,124.0,59.0,3840.0,2016-06-24
32,Armin Falk,2093276620.0,13585.0,armin falk,135140700.0,313.0,198.0,20234.0,2016-06-24
36,Sule Alan,2227649049.0,16109.0,sule alan,874792244.0,82.0,55.0,813.0,2016-06-24
40,Robert Margo,2728554681.0,20128.0,robert margo,,3.0,3.0,0.0,2017-07-14
41,George Akerlof,3116826443.0,20521.0,george akerlof,,2.0,2.0,1.0,2021-01-05
43,Jesse M. Shapiro,2126628856.0,14192.0,jesse m shapiro,1321305853.0,151.0,75.0,8144.0,2016-06-24
47,Emily Oster,2084192368.0,15108.0,emily oster,27804330.0,113.0,70.0,3700.0,2016-06-24
48,Matthew Gentzkow,803871336.0,14262.0,matthew gentzkow,97018004.0,139.0,78.0,8307.0,2016-06-24
49,Pol Antras,81932200.0,14445.0,pol antras,136199984.0,131.0,69.0,5116.0,2016-06-24
51,George J. Borjas,217345985.0,12617.0,george j borjas,136199984.0,391.0,222.0,28048.0,2016-06-24
52,Edward L. Glaeser,622018538.0,12068.0,edward l glaeser,136199984.0,655.0,355.0,53166.0,2016-06-24
53,Dennis Epple,2075024142.0,13708.0,dennis epple,74973139.0,179.0,123.0,10590.0,2016-06-24
54,Silvana Tenreyro,143162272.0,14533.0,silvana tenreyro,909854389.0,117.0,69.0,6926.0,2016-06-24
58,Amir Sufi,1934535612.0,13977.0,amir sufi,40347166.0,144.0,77.0,10265.0,2016-06-24
63,Amanda Pallais,2063352339.0,16490.0,amanda pallais,136199984.0,47.0,27.0,738.0,2016-06-24
73,Janet Currie,2153904071.0,13185.0,janet currie,20089843.0,536.0,321.0,22645.0,2016-06-24
75,Stephen Coate,650455521.0,13799.0,stephen coate,205783295.0,151.0,90.0,10393.0,2016-06-24
77,Natalie Bau,2127184071.0,17605.0,natalie bau,161318765.0,32.0,18.0,97.0,2016-06-24
87,Jon Steinsson,677460149.0,15113.0,jon steinsson,78577930.0,83.0,41.0,3149.0,2016-06-24
88,Nicholas Barberis,294627858.0,13725.0,nicholas barberis,32971472.0,65.0,30.0,14989.0,2016-06-24
89,David Yanagizawa-Drott,2039376829.0,16632.0,david yanagizawadrott,202697423.0,44.0,30.0,848.0,2016-06-24
90,Olivier J. Blanchard,3145678245.0,15212.0,olivier j blanchard,149640151.0,54.0,24.0,1074.0,2021-04-13
92,Lasse Pedersen,2422494662.0,19045.0,lasse pedersen,2801498763.0,8.0,8.0,16.0,2016-06-24
93,Sascha O. Becker,2148864036.0,14347.0,sascha o becker,39555362.0,231.0,141.0,7044.0,2016-06-24
97,John Bound,2472042921.0,12887.0,john bound,27837315.0,255.0,149.0,20575.0,2016-07-22
98,Erzo F. P. Luttmer,1966671174.0,14415.0,erzo f p luttmer,107672454.0,113.0,56.0,5234.0,2016-06-24
100,Stefanie Stantcheva,2501900208.0,15700.0,stefanie stantcheva,136199984.0,108.0,51.0,1560.0,2016-08-23
102,Nathan Nunn,2148103966.0,14803.0,nathan nunn,136199984.0,141.0,73.0,6804.0,2016-06-24
105,Eliana La Ferrara,2087655770.0,14325.0,eliana la ferrara,71209653.0,131.0,75.0,8025.0,2016-06-24
107,Nicholas Bloom,2133900406.0,13164.0,nicholas bloom,97018004.0,418.0,235.0,23628.0,2016-06-24
109,Timothy Besley,523865281.0,12745.0,timothy besley,909854389.0,459.0,330.0,30371.0,2016-06-24
110,Drew Fudenberg,573466828.0,12813.0,drew fudenberg,63966007.0,402.0,271.0,25295.0,2016-06-24
111,Peter Ganong,2009813205.0,16425.0,peter ganong,40347166.0,45.0,25.0,500.0,2016-06-24
114,Elhanan Helpman,2697899749.0,11943.0,elhanan helpman,136199984.0,430.0,257.0,54287.0,2017-06-30
115,Andrei Shleifer,727612727.0,10970.0,andrei shleifer,136199984.0,589.0,344.0,183626.0,2016-06-24
116,Ernst Fehr,2210927970.0,12314.0,ernst fehr,202697423.0,574.0,419.0,73294.0,2016-06-24
119,David Baqaee,2643934869.0,16868.0,david baqaee,161318765.0,53.0,27.0,296.0,2017-06-30
120,Brent Neiman,1320884576.0,15240.0,brent neiman,40347166.0,97.0,48.0,2279.0,2016-06-24
121,Loukas Karabarbounis,283515383.0,15416.0,loukas karabarbounis,1321305853.0,73.0,35.0,2123.0,2016-06-24
