Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
2,Christian Julliard,231843836.0,16099.0,christian julliard,909854389.0,38.0,24.0,1114.0,2016-06-24
3,Nicola Fuchs-Schündeln,229922470.0,15832.0,nicola fuchsschundeln,114090438.0,83.0,48.0,1654.0,2016-06-24
5,Johannes Spinnewijn,305431955.0,16408.0,johannes spinnewijn,909854389.0,79.0,48.0,497.0,2016-06-24
8,Gabriel Chodorow-Reich,1213069885.0,16189.0,gabriel chodorowreich,136199984.0,59.0,32.0,1003.0,2016-06-24
17,Thomas Chaney,2761091145.0,15325.0,thomas chaney,1325290502.0,56.0,29.0,2787.0,2017-10-20
26,Filip Matejka,3121417017.0,17970.0,filip matejka,151321946.0,19.0,17.0,66.0,2021-02-01
27,Jerome Adda,2018278369.0,15541.0,jerome adda,71209653.0,92.0,53.0,1869.0,2016-06-24
33,Nicola Gennaioli,207048797.0,14958.0,nicola gennaioli,71209653.0,148.0,73.0,4909.0,2016-06-24
35,Silvana Tenreyro,143162272.0,14533.0,silvana tenreyro,909854389.0,117.0,69.0,6926.0,2016-06-24
36,Pedro Bordalo,2115186379.0,16079.0,pedro bordalo,40120149.0,61.0,32.0,1704.0,2016-06-24
41,O. Attanasio,3077779281.0,20103.0,o attanasio,,3.0,3.0,2.0,2020-08-24
45,Edouard Schaal,2132854902.0,17301.0,edouard schaal,170486558.0,25.0,15.0,192.0,2016-06-24
48,Gilat Levy,2134413772.0,15965.0,gilat levy,909854389.0,90.0,59.0,1121.0,2016-06-24
55,Hidehiko Ichimura,1983958827.0,13735.0,hidehiko ichimura,74801974.0,99.0,70.0,11692.0,2016-06-24
56,Abi Adams-Prassl,3002770417.0,17240.0,abi adamsprassl,40120149.0,22.0,16.0,324.0,2020-01-30
58,Andrea Prat,2106178214.0,14659.0,andrea prat,78577930.0,185.0,110.0,4278.0,2016-06-24
64,Bruno Strulovici,1991270300.0,16443.0,bruno strulovici,111979921.0,64.0,52.0,702.0,2016-06-24
67,Pierre-Olivier Weill,1978693277.0,15312.0,pierreolivier weill,161318765.0,110.0,54.0,1712.0,2016-06-24
68,Davide Cantoni,2077032751.0,16609.0,davide cantoni,8204097.0,52.0,30.0,823.0,2016-06-24
69,Sven Rady,2036219391.0,15394.0,sven rady,135140700.0,80.0,49.0,1997.0,2016-06-24
71,Florian Scheuer,2049934860.0,16282.0,florian scheuer,202697423.0,76.0,43.0,606.0,2016-06-24
73,Pol Antras,81932200.0,14445.0,pol antras,136199984.0,131.0,69.0,5116.0,2016-06-24
78,Veronica Guerrieri,162052195.0,15665.0,veronica guerrieri,40347166.0,62.0,32.0,2036.0,2016-06-24
82,Botond Koszegi,603458693.0,15282.0,botond koszegi,198945027.0,33.0,25.0,3644.0,2016-06-24
84,Jeremy Lise,1966698623.0,16535.0,jeremy lise,45129253.0,45.0,26.0,647.0,2016-06-24
85,Michèle Tertilt,2609249449.0,15491.0,michele tertilt,177802217.0,113.0,63.0,2222.0,2017-05-05
88,Pascaline Dupas,2011705805.0,14886.0,pascaline dupas,97018004.0,136.0,78.0,4776.0,2016-06-24
90,Daniel Paravisini,311170210.0,16404.0,daniel paravisini,909854389.0,43.0,24.0,1148.0,2016-06-24
91,Xavier D'Haultfoeuille,2246771233.0,16544.0,xavier dhaultfoeuille,84009706.0,69.0,47.0,569.0,2016-06-24
93,Myrto Kalouptsidi,2292056876.0,17378.0,myrto kalouptsidi,136199984.0,35.0,19.0,162.0,2016-06-24
96,Andrew Sweeting,2075972621.0,16404.0,andrew sweeting,66946132.0,51.0,31.0,766.0,2016-06-24
99,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
101,T. Besley,3058084077.0,20435.0,t besley,,2.0,2.0,2.0,2020-08-24
105,Jan De Loecker,1859497523.0,15051.0,jan de loecker,1321305853.0,72.0,38.0,3175.0,2016-06-24
106,Dirk Bergemann,2270413747.0,14517.0,dirk bergemann,32971472.0,273.0,127.0,4760.0,2016-06-24
107,Guido Lorenzoni,2341329494.0,14965.0,guido lorenzoni,111979921.0,122.0,60.0,2815.0,2016-06-24
109,Attila Lindner,2397876052.0,17426.0,attila lindner,45129253.0,27.0,17.0,270.0,2016-06-24
112,Pia Pinger,1548135510.0,17109.0,pia pinger,135140700.0,41.0,29.0,421.0,2016-06-24
120,Juuso Välimäki,2107246172.0,15502.0,juuso valimaki,9927081.0,73.0,43.0,1649.0,2016-06-24
121,Andrea Galeotti,1945696894.0,15775.0,andrea galeotti,61544103.0,85.0,58.0,1585.0,2016-06-24
124,Kjetil Storesletten,220486011.0,14493.0,kjetil storesletten,184942183.0,133.0,73.0,5297.0,2016-06-24
125,G. Violante,2139359377.0,19162.0,g violante,,4.0,4.0,34.0,2016-06-24
127,Uta Schoenberg,3122691493.0,19256.0,uta schoenberg,5388228.0,6.0,4.0,12.0,2021-02-01
129,Vincent Sterk,2001617216.0,16857.0,vincent sterk,45129253.0,40.0,23.0,365.0,2016-06-24
130,Nir Jaimovich,2135271511.0,15277.0,nir jaimovich,202697423.0,90.0,50.0,2975.0,2016-06-24
131,Jeanne Hagenbach,603970784.0,17247.0,jeanne hagenbach,142476485.0,26.0,14.0,166.0,2016-06-24
132,D. Fudenberg,2597622003.0,16259.0,d fudenberg,97018004.0,40.0,37.0,1432.0,2017-04-07
133,Juliane Begenau,1923429557.0,16788.0,juliane begenau,97018004.0,35.0,20.0,256.0,2016-06-24
134,Denis Gromb,108790722.0,14708.0,denis gromb,83860666.0,71.0,38.0,3682.0,2016-06-24
135,Luis Garicano,156489535.0,14631.0,luis garicano,909854389.0,145.0,87.0,4594.0,2016-06-24
139,Fabian Waldinger,2216870755.0,16668.0,fabian waldinger,39555362.0,40.0,27.0,733.0,2016-06-24
140,Guy Michaels,2132017255.0,15691.0,guy michaels,909854389.0,81.0,44.0,2082.0,2016-06-24
151,Xavier Jaravel,2410796879.0,16588.0,xavier jaravel,909854389.0,63.0,44.0,545.0,2016-06-24
153,Pinelopi Koujianou Goldberg,2194720107.0,13996.0,pinelopi koujianou goldberg,32971472.0,121.0,57.0,8406.0,2016-06-24
156,Johannes Abeler,1929597506.0,16038.0,johannes abeler,40120149.0,42.0,25.0,1567.0,2016-06-24
157,Dave Donaldson,2162818368.0,15682.0,dave donaldson,63966007.0,64.0,34.0,2115.0,2016-06-24
159,Arnaud Costinot,70347822.0,14951.0,arnaud costinot,63966007.0,100.0,46.0,3009.0,2016-06-24
160,Ilya Segal,2164412777.0,14779.0,ilya segal,97018004.0,78.0,58.0,4303.0,2016-06-24
162,Christopher Bowdler,2265216273.0,17069.0,christopher bowdler,40120149.0,41.0,28.0,305.0,2016-06-24
163,Francesca Cornelli,37447337.0,15265.0,francesca cornelli,61544103.0,53.0,31.0,2314.0,2016-06-24
165,Marciano Siniscalchi,2302599857.0,15685.0,marciano siniscalchi,111979921.0,53.0,33.0,1649.0,2016-06-24
168,Aviv Nevo,2116543868.0,14627.0,aviv nevo,79576946.0,107.0,62.0,5054.0,2016-06-24
178,Balázs Szentes,2303016330.0,16374.0,balazs szentes,909854389.0,52.0,38.0,910.0,2016-06-24
179,Abhinay Muthoo,2043746539.0,15422.0,abhinay muthoo,39555362.0,71.0,48.0,2213.0,2016-06-24
182,Kiminori Matsuyama,2134040394.0,14459.0,kiminori matsuyama,111979921.0,136.0,91.0,5282.0,2016-06-24
184,Jakub Steiner,2153140563.0,16618.0,jakub steiner,202697423.0,67.0,46.0,330.0,2016-06-24
185,Marko Terviö,297425936.0,15948.0,marko tervio,9927081.0,49.0,36.0,1299.0,2016-06-24
186,Bård Harstad,2166406133.0,16234.0,bard harstad,184942183.0,75.0,43.0,998.0,2016-06-24
190,Martin Pesendorfer,1968337728.0,15413.0,martin pesendorfer,909854389.0,46.0,26.0,1937.0,2016-06-24
193,Alessandro Gavazza,291159879.0,16497.0,alessandro gavazza,909854389.0,67.0,31.0,590.0,2016-06-24
199,Martin Oehmke,2139023585.0,16164.0,martin oehmke,909854389.0,40.0,20.0,1122.0,2016-06-24
203,Dennis Kristensen,2146983377.0,15572.0,dennis kristensen,45129253.0,101.0,60.0,1600.0,2016-06-24
207,Amil Dasgupta,2122549280.0,15858.0,amil dasgupta,909854389.0,73.0,39.0,1507.0,2016-06-24
209,Francesco Decarolis,42261075.0,16305.0,francesco decarolis,71209653.0,103.0,60.0,426.0,2016-06-24
211,Narayana R. Kocherlakota,2252465130.0,13969.0,narayana r kocherlakota,5388228.0,386.0,213.0,6223.0,2016-06-24
214,Eduardo Perez-Richet,270469976.0,17723.0,eduardo perezrichet,205092303.0,24.0,14.0,122.0,2016-06-24
