Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Vasiliki Skreta,2582194174.0,15936.0,vasiliki skreta,86519309.0,88.0,48.0,893.0,2017-02-03
1,Robert C. Feenstra,3132577698.0,15226.0,robert c feenstra,84218800.0,76.0,32.0,1116.0,2021-03-01
2,Stephen Morris,2564461354.0,20128.0,stephen morris,,2.0,2.0,1.0,2017-01-06
3,Igal Hendel,2089095713.0,15153.0,igal hendel,111979921.0,73.0,45.0,2653.0,2016-06-24
4,Charles A. Holt,2655421344.0,20451.0,charles a holt,,2.0,2.0,1.0,2017-06-30
7,Rebecca M. Blank,2016401394.0,14107.0,rebecca m blank,135310074.0,142.0,106.0,7924.0,2016-06-24
8,Karel Mertens,2119895532.0,15762.0,karel mertens,68415526.0,80.0,50.0,1278.0,2016-06-24
9,Patrick Kehoe,2327828920.0,20533.0,patrick kehoe,,2.0,2.0,0.0,2016-06-24
10,R. Mark Isaac,2686134456.0,19930.0,r mark isaac,,3.0,3.0,12.0,2017-06-30
11,Balázs Szentes,2303016330.0,16374.0,balazs szentes,909854389.0,52.0,38.0,910.0,2016-06-24
12,Simon Gilchrist,2125793755.0,13470.0,simon gilchrist,57206974.0,127.0,84.0,13614.0,2016-06-24
13,Michael H. Riordan,2581482331.0,14363.0,michael h riordan,78577930.0,124.0,103.0,4961.0,2017-02-03
14,David W. Wilcox,2125505653.0,14416.0,david w wilcox,1317239608.0,89.0,54.0,3605.0,2016-06-24
15,Navin Kartik,1362851725.0,15780.0,navin kartik,78577930.0,66.0,45.0,1852.0,2016-06-24
17,James E. Anderson,2467403280.0,16692.0,j e anderson,44461941.0,51.0,42.0,300.0,2016-07-22
18,Leeat Yariv,2258401710.0,20165.0,leeat yariv,136199984.0,2.0,2.0,12.0,2016-06-24
19,Juan Ortner,2660703863.0,17591.0,juan ortner,111088046.0,32.0,19.0,83.0,2017-06-30
20,David Card,2482656161.0,20533.0,david card,,2.0,2.0,0.0,2016-08-23
23,Robert A. Moffitt,1418239632.0,13260.0,robert a moffitt,145311948.0,334.0,250.0,15081.0,2016-06-24
24,M. Scott Taylor,2107630282.0,14313.0,m scott taylor,168635309.0,114.0,70.0,8785.0,2016-06-24
25,Federico Echenique,1953621418.0,15222.0,federico echenique,122411786.0,197.0,130.0,2012.0,2016-06-24
26,Roger H. Gordon,2147688601.0,13842.0,roger h gordon,36258959.0,260.0,147.0,6442.0,2016-06-24
27,David Genesove,111321143.0,14776.0,david genesove,197251160.0,67.0,40.0,2854.0,2016-06-24
28,Esther Duflo,2713861433.0,20533.0,esther duflo,,2.0,2.0,0.0,2017-06-30
29,Sebnem Kalemli-Ozcan,2614246165.0,14204.0,sebnem kalemliozcan,66946132.0,180.0,103.0,7401.0,2017-05-26
30,Thomas N. Hubbard,2152355942.0,15062.0,thomas n hubbard,111979921.0,74.0,44.0,1840.0,2016-06-24
31,Joshua D. Angrist,259389263.0,12264.0,joshua d angrist,63966007.0,372.0,194.0,40764.0,2016-06-24
32,Ben S. Bernanke,1455473529.0,12152.0,ben s bernanke,115283149.0,719.0,422.0,46416.0,2016-06-24
33,Jens Ludwig,3173788326.0,19105.0,jens ludwig,145311948.0,3.0,3.0,33.0,2021-07-05
34,Arnaud Costinot,70347822.0,14951.0,arnaud costinot,63966007.0,100.0,46.0,3009.0,2016-06-24
35,Romain Wacziarg,2227285919.0,13952.0,romain wacziarg,161318765.0,114.0,64.0,8499.0,2016-06-24
36,John Mcmillan,2540950227.0,19145.0,john mcmillan,,3.0,3.0,131.0,2016-11-04
37,Benjamin E. Hermalin,130939742.0,13810.0,benjamin e hermalin,95457486.0,152.0,104.0,13277.0,2016-06-24
38,Jeremy Bulow,2015497210.0,13395.0,jeremy bulow,97018004.0,132.0,74.0,10261.0,2016-06-24
39,Alireza Tahbaz-Salehi,181723794.0,14982.0,alireza tahbazsalehi,111979921.0,88.0,56.0,3724.0,2016-06-24
41,John Leahy,2655553424.0,20128.0,john leahy,,3.0,3.0,0.0,2017-06-30
42,W. Kip Viscusi,1079344721.0,13105.0,w kip viscusi,200719446.0,611.0,484.0,19378.0,2016-06-24
43,Robert A. Margo,277746787.0,14254.0,robert a margo,111088046.0,315.0,187.0,4420.0,2016-06-24
44,Fiona Scott Morton,2100225338.0,14931.0,fiona scott morton,32971472.0,119.0,75.0,2760.0,2016-06-24
45,Carmen M. Reinhart,2692352779.0,20533.0,carmen m reinhart,,2.0,2.0,0.0,2017-06-30
46,Katherine Ho,2157594297.0,15786.0,katherine ho,20089843.0,70.0,40.0,1345.0,2016-06-24
47,Kevin D. Hoover,1441355833.0,14807.0,kevin d hoover,170897317.0,231.0,181.0,3632.0,2016-06-24
48,Carl E. Walsh,2099367242.0,14116.0,carl e walsh,185103710.0,220.0,163.0,7021.0,2016-06-24
49,David N. Weil,3209336607.0,17417.0,david n weil,27804330.0,13.0,4.0,89.0,2021-11-08
51,Gary Solon,705971464.0,13962.0,gary solon,138006243.0,128.0,71.0,8991.0,2016-06-24
53,Bruno Strulovici,1991270300.0,16443.0,bruno strulovici,111979921.0,64.0,52.0,702.0,2016-06-24
54,Markus Brunnermeier,3171790957.0,20519.0,markus brunnermeier,,2.0,2.0,1.0,2021-06-22
55,Arun Chandrasekhar,2432288397.0,20533.0,arun chandrasekhar,110166357.0,2.0,2.0,0.0,2016-06-24
57,Patrick Francois,2834402848.0,16030.0,patrick francois,169173203.0,58.0,42.0,2419.0,2018-07-19
58,Robert H. Haveman,3214393485.0,20115.0,robert h haveman,,2.0,2.0,15.0,2021-11-22
