Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Lance Lochner,664019491.0,14074.0,lance lochner,125749732.0,172.0,90.0,8451.0,2016-06-24
1,Johannes Stroebel,3018850254.0,19594.0,johannes stroebel,8204097.0,4.0,4.0,12.0,2020-05-01
2,Guo Xu,3062275160.0,19363.0,xu guo,,4.0,4.0,1.0,2020-08-24
6,David Yanagizawa-Drott,2039376829.0,16632.0,david yanagizawadrott,202697423.0,44.0,30.0,848.0,2016-06-24
7,Jakub Kastl,2169129460.0,16592.0,jakub kastl,20089843.0,51.0,34.0,394.0,2016-06-24
8,Jonathan Vogel,2154879811.0,16506.0,jonathan vogel,177605424.0,19.0,19.0,836.0,2016-06-24
9,Itamar Drechsler,1950831029.0,15748.0,itamar drechsler,79576946.0,39.0,22.0,2161.0,2016-06-24
10,Meera Joshi,2181784732.0,19840.0,meera joshi,,4.0,4.0,0.0,2016-06-24
11,Jesse Shapiro,2304778299.0,16453.0,jesse shapiro,5023651.0,2.0,2.0,1961.0,2016-06-24
12,Patrick Kline,2343353932.0,15058.0,patrick kline,95457486.0,97.0,45.0,3722.0,2016-06-24
14,Magne Mogstad,417745530.0,14999.0,magne mogstad,40347166.0,214.0,124.0,2583.0,2016-06-24
15,Frederico Finan,1798593011.0,15207.0,frederico finan,95457486.0,92.0,52.0,3284.0,2016-06-24
16,Amit Seru,273194589.0,14951.0,amit seru,97018004.0,121.0,66.0,5123.0,2016-06-24
21,Jonathan Levin,2593059103.0,18062.0,jonathan levin,164389053.0,16.0,16.0,109.0,2017-03-16
23,Yusufcan Masatlioglu,2028827233.0,16718.0,yusufcan masatlioglu,66946132.0,41.0,26.0,732.0,2016-06-24
24,Jan De Loecker,1859497523.0,15051.0,jan de loecker,1321305853.0,72.0,38.0,3175.0,2016-06-24
25,Lee Lockwood,2798529095.0,19539.0,lee lockwood,97018004.0,3.0,3.0,45.0,2018-05-07
26,Stefanie Stantcheva,2501900208.0,15700.0,stefanie stantcheva,136199984.0,108.0,51.0,1560.0,2016-08-23
27,Noam Yuchtman,2500378129.0,16266.0,noam yuchtman,95457486.0,72.0,39.0,953.0,2016-08-23
28,Pietro Ortoleva,2136818508.0,16469.0,pietro ortoleva,20089843.0,64.0,40.0,835.0,2016-06-24
29,Bertil Tungodden,128282678.0,14900.0,bertil tungodden,931913249.0,216.0,145.0,3260.0,2016-06-24
30,Edwin Leuven,2148055046.0,14857.0,edwin leuven,184942183.0,112.0,70.0,4317.0,2016-06-24
32,Chad Syverson,2058992540.0,14222.0,chad syverson,40347166.0,140.0,77.0,7421.0,2016-06-24
33,Francesco Trebbi,231393685.0,14265.0,francesco trebbi,1321305853.0,127.0,57.0,7899.0,2016-06-24
35,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
39,James J. Heckman,1877272218.0,11385.0,james j heckman,40347166.0,891.0,542.0,113601.0,2016-06-24
40,Mark Bils,2081889270.0,14150.0,mark bils,5388228.0,96.0,56.0,5795.0,2016-06-24
41,Kjetil Storesletten,220486011.0,14493.0,kjetil storesletten,184942183.0,133.0,73.0,5297.0,2016-06-24
42,Emir Kamenica,2511827504.0,15799.0,emir kamenica,40347166.0,50.0,34.0,2343.0,2016-09-16
43,Linfei Li,2144753149.0,16040.0,linfei li,39422238.0,36.0,33.0,2558.0,2016-06-24
44,Daniel Gottlieb,2601799627.0,17729.0,daniel gottlieb,197438607.0,3.0,3.0,202.0,2017-04-07
45,Rachel Griffith,2155660295.0,13419.0,rachel griffith,28407311.0,339.0,258.0,15278.0,2016-06-24
46,Ben Handel,3045085239.0,20128.0,ben handel,95457486.0,3.0,2.0,0.0,2020-07-29
47,Raymond Fisman,2250561313.0,13935.0,raymond fisman,111088046.0,262.0,166.0,11349.0,2016-06-24
48,Chenzi Xu,3159903761.0,20533.0,chenzi xu,40120149.0,2.0,2.0,0.0,2021-05-10
49,Ali Hortacsu,208393038.0,14207.0,ali hortacsu,40347166.0,184.0,109.0,6093.0,2016-06-24
51,Cecile Gaubert,2797130894.0,17570.0,cecile gaubert,95457486.0,26.0,11.0,142.0,2018-04-24
52,Albrecht Ritschl,685029839.0,15640.0,albrecht ritschl,909854389.0,144.0,123.0,842.0,2016-06-24
53,Leonardo Bursztyn,2061712910.0,15759.0,leonardo bursztyn,40347166.0,73.0,39.0,2033.0,2016-06-24
54,Gautam Rao,2670798603.0,18520.0,gautam rao,,2.0,2.0,95.0,2017-06-30
55,Vicky M. Longawa,2562632180.0,19429.0,vicky m longawa,,5.0,5.0,6.0,2017-01-06
56,Ricardo Perez-Truglia,286171648.0,16090.0,ricardo pereztruglia,95457486.0,91.0,47.0,480.0,2016-06-24
57,Claudio Ferraz,2517708554.0,15856.0,claudio ferraz,2699952.0,66.0,44.0,1806.0,2016-09-16
58,Joseph Shapiro,2573228828.0,18323.0,joseph shapiro,201448701.0,2.0,2.0,54.0,2017-01-26
59,Ed Martin,2942650815.0,20232.0,ed martin,,2.0,2.0,3.0,2019-05-09
61,Greg Kaplan,2166186102.0,15122.0,greg kaplan,40347166.0,172.0,104.0,2252.0,2016-06-24
63,Harald Uhlig,1972720549.0,13862.0,harald uhlig,40347166.0,299.0,183.0,10519.0,2016-06-24
65,Ezra Oberfield,576439486.0,16820.0,ezra oberfield,20089843.0,57.0,29.0,340.0,2016-06-24
66,David Green,2773979593.0,20533.0,david green,,2.0,2.0,0.0,2017-12-22
68,Christopher Walters,2797108290.0,19991.0,christopher walters,,3.0,3.0,6.0,2018-04-24
70,Anna Dreber Almenberg,2779922826.0,17616.0,anna dreber almenberg,,36.0,35.0,5.0,2018-01-05
72,Erik Hurst,2124999479.0,14059.0,erik hurst,40347166.0,183.0,108.0,7969.0,2016-06-24
73,Melissa Dell,2065650730.0,15657.0,melissa dell,136199984.0,42.0,25.0,2836.0,2016-06-24
76,Anna Dreber,2213548023.0,14219.0,anna dreber,180242103.0,185.0,130.0,10755.0,2016-06-24
77,Esteban Rossi-Hansberg,685834236.0,14450.0,esteban rossihansberg,20089843.0,161.0,83.0,5487.0,2016-06-24
78,Michael Greenstone,2559711103.0,16476.0,michael greenstone,2801269832.0,38.0,38.0,919.0,2016-12-08
