Unnamed: 0,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Michael Woodford,2147218102.0,12691.0,michael woodford,78577930.0,429.0,244.0,30322.0,2016-06-24
1,Oliver Hart,2765099644.0,18322.0,oliver hart,,15.0,12.0,92.0,2017-11-10
2,Michael H. Riordan,2581482331.0,14363.0,michael h riordan,78577930.0,124.0,103.0,4961.0,2017-02-03
3,Sylvain Chassang,2798296736.0,19870.0,sylvain chassang,97018004.0,2.0,2.0,11.0,2018-05-07
4,Isaiah Andrews,1983061563.0,16768.0,isaiah andrews,136199984.0,52.0,29.0,467.0,2016-06-24
5,Andrew Caplin,3174263959.0,20533.0,andrew caplin,,2.0,2.0,0.0,2021-07-05
6,Esteban Rossi-Hansberg,685834236.0,14450.0,esteban rossihansberg,20089843.0,161.0,83.0,5487.0,2016-06-24
7,Frederico Finan,2798753125.0,20498.0,frederico finan,97018004.0,2.0,2.0,1.0,2018-05-07
8,Bruce Sacerdote,2126682900.0,13797.0,bruce sacerdote,107672454.0,124.0,69.0,11093.0,2016-06-24
9,Ned Augenblick,2007617668.0,17584.0,ned augenblick,95457486.0,16.0,11.0,412.0,2016-06-24
10,Rudiger Dornbusch,3123415920.0,16641.0,rudiger dornbusch,1310145890.0,55.0,55.0,217.0,2021-02-01
12,Tomasz Strzalecki,64256269.0,16453.0,tomasz strzalecki,136199984.0,53.0,26.0,794.0,2016-06-24
15,Robert Jensen,2734556081.0,16462.0,robert jensen,181233156.0,2.0,2.0,468.0,2017-07-21
16,Andrew Atkeson,2075870546.0,14134.0,andrew atkeson,161318765.0,177.0,85.0,5468.0,2016-06-24
17,Jeremy C. Stein,2096392297.0,12292.0,jeremy c stein,136199984.0,265.0,153.0,47662.0,2016-06-24
18,Lawrence F. Katz,2115544438.0,12287.0,lawrence f katz,136199984.0,390.0,225.0,36215.0,2016-06-24
20,Seema Jayachandran,2041362166.0,15447.0,seema jayachandran,111979921.0,109.0,65.0,2650.0,2016-06-24
22,Trevon Logan,2188138613.0,20462.0,trevon logan,,2.0,2.0,3.0,2016-06-24
23,Edward Miguel,2144611101.0,13438.0,edward miguel,95457486.0,361.0,252.0,17498.0,2016-06-24
24,Alp Simsek,2100183006.0,15531.0,alp simsek,63966007.0,78.0,40.0,1212.0,2016-06-24
25,Francesco Caselli,2227894521.0,18759.0,francesco caselli,,8.0,6.0,24.0,2016-06-24
26,Dave Donaldson,2162818368.0,15682.0,dave donaldson,63966007.0,64.0,34.0,2115.0,2016-06-24
27,Pascaline Dupas,2011705805.0,14886.0,pascaline dupas,97018004.0,136.0,78.0,4776.0,2016-06-24
28,Robert Gibbons,2712626657.0,20488.0,robert gibbons,,2.0,2.0,1.0,2017-06-30
30,Jaume Ventura,2170717795.0,14618.0,jaume ventura,170486558.0,124.0,59.0,3840.0,2016-06-24
32,Armin Falk,2093276620.0,13585.0,armin falk,135140700.0,313.0,198.0,20234.0,2016-06-24
34,Jeremy Stein,2954630434.0,19848.0,jeremy stein,1290463931.0,2.0,2.0,43.0,2019-07-12
36,Sule Alan,2227649049.0,16109.0,sule alan,874792244.0,82.0,55.0,813.0,2016-06-24
38,Alan B. Krueger,1880039828.0,11973.0,alan b krueger,20089843.0,497.0,308.0,50195.0,2016-06-24
40,Robert Margo,2728554681.0,20128.0,robert margo,,3.0,3.0,0.0,2017-07-14
41,George Akerlof,3116826443.0,20521.0,george akerlof,,2.0,2.0,1.0,2021-01-05
43,Jesse M. Shapiro,2126628856.0,14192.0,jesse m shapiro,1321305853.0,151.0,75.0,8144.0,2016-06-24
45,Charles Jones,2316790323.0,20533.0,charles jones,,2.0,2.0,0.0,2016-06-24
46,Marianne Bertrand,2129876404.0,13092.0,marianne bertrand,40347166.0,195.0,108.0,26068.0,2016-06-24
47,Emily Oster,2084192368.0,15108.0,emily oster,27804330.0,113.0,70.0,3700.0,2016-06-24
48,Matthew Gentzkow,803871336.0,14262.0,matthew gentzkow,97018004.0,139.0,78.0,8307.0,2016-06-24
49,Pol Antras,81932200.0,14445.0,pol antras,136199984.0,131.0,69.0,5116.0,2016-06-24
51,George J. Borjas,217345985.0,12617.0,george j borjas,136199984.0,391.0,222.0,28048.0,2016-06-24
52,Edward L. Glaeser,622018538.0,12068.0,edward l glaeser,136199984.0,655.0,355.0,53166.0,2016-06-24
53,Dennis Epple,2075024142.0,13708.0,dennis epple,74973139.0,179.0,123.0,10590.0,2016-06-24
54,Silvana Tenreyro,143162272.0,14533.0,silvana tenreyro,909854389.0,117.0,69.0,6926.0,2016-06-24
55,John Van Reenen,2118787236.0,13109.0,john van reenen,63966007.0,629.0,407.0,26141.0,2016-06-24
58,Amir Sufi,1934535612.0,13977.0,amir sufi,40347166.0,144.0,77.0,10265.0,2016-06-24
60,James Hines,2103629164.0,17771.0,james hines,,3.0,3.0,70.0,2016-06-24
61,Michael Waldman,2700684392.0,18868.0,michael waldman,,2.0,2.0,10.0,2017-06-30
62,David Atkin,2032812465.0,15274.0,david atkin,140172145.0,148.0,148.0,2692.0,2016-06-24
63,Amanda Pallais,2063352339.0,16490.0,amanda pallais,136199984.0,47.0,27.0,738.0,2016-06-24
64,Daron Acemoglu,1970476475.0,11852.0,daron acemoglu,63966007.0,925.0,514.0,74686.0,2016-06-24
66,William Easterly,3181366786.0,20469.0,william easterly,,2.0,2.0,1.0,2021-07-19
67,Richard Thaler,2895015016.0,18618.0,thaler richard,,2.0,1.0,10.0,2018-10-12
71,David Baron,2186478840.0,20533.0,david baron,121980950.0,2.0,2.0,0.0,2016-06-24
72,Xavier Gabaix,2908203083.0,18781.0,xavier gabaix,,2.0,2.0,46.0,2019-01-11
