,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Vasiliki Skreta,2508829033.0,21226.0,vasiliki skreta,,1.0,1.0,0.0,2016-09-16
0,Vasiliki Skreta,2582194174.0,15936.0,vasiliki skreta,86519309.0,88.0,48.0,893.0,2017-02-03
0,Vasiliki Skreta,2804816818.0,21226.0,vasiliki skreta,,1.0,1.0,0.0,2018-06-01
0,Vasiliki Skreta,2893027522.0,21117.0,vasiliki skreta,,1.0,1.0,2.0,2018-10-05
0,Vasiliki Skreta,2900308785.0,21226.0,vasiliki skreta,,1.0,1.0,0.0,2018-11-16
1,Robert C. Feenstra,1508039708.0,12918.0,robert c feenstra,84218800.0,359.0,229.0,22729.0,2016-06-24
1,Robert C. Feenstra,2183964778.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2016-06-24
1,Robert C. Feenstra,2283836515.0,20347.0,robert c feenstra,,1.0,1.0,16.0,2016-06-24
1,Robert C. Feenstra,2646881775.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2017-06-30
1,Robert C. Feenstra,2678547135.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2017-06-30
1,Robert C. Feenstra,2892737495.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2018-10-05
1,Robert C. Feenstra,2893327802.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2018-10-05
1,Robert C. Feenstra,2894441893.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2018-10-05
1,Robert C. Feenstra,3116970408.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2021-01-05
1,Robert C. Feenstra,3132577698.0,15226.0,robert c feenstra,84218800.0,76.0,32.0,1116.0,2021-03-01
1,Robert C. Feenstra,3151115547.0,19029.0,robert c feenstra,,9.0,9.0,0.0,2021-04-13
1,Robert C. Feenstra,3213302253.0,16805.0,robert c feenstra,,1.0,1.0,780.0,2021-11-22
1,Robert C. Feenstra,3214030221.0,21226.0,robert c feenstra,,1.0,1.0,0.0,2021-11-22
2,Stephen Morris,1977335897.0,21226.0,stephen morris,,1.0,1.0,0.0,2016-06-24
