,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Matthew O. Jackson,2199275230.0,13265.0,matthew o jackson,97018004.0,400.0,267.0,21318.0,2016-06-24
0,Matthew O. Jackson,2627921063.0,21226.0,matthew o jackson,,1.0,1.0,0.0,2017-06-30
0,Matthew O. Jackson,2693408110.0,21226.0,matthew o jackson,,1.0,1.0,0.0,2017-06-30
0,Matthew O. Jackson,3199925735.0,21226.0,matthew o jackson,,1.0,1.0,0.0,2021-09-27
1,Per Krusell,2341156170.0,20792.0,per krusell,,1.0,1.0,2.0,2016-06-24
1,Per Krusell,2464203183.0,21226.0,per krusell,,1.0,1.0,0.0,2016-07-22
1,Per Krusell,2597496377.0,21226.0,per krusell,,1.0,1.0,0.0,2017-04-07
1,Per Krusell,2599189933.0,13797.0,per krusell,1279858714.0,230.0,149.0,9380.0,2017-04-07
1,Per Krusell,2907670265.0,21103.0,per krusell,,1.0,1.0,1.0,2019-01-11
1,Per Krusell,3167422766.0,20533.0,per krusell,,2.0,2.0,0.0,2021-06-22
1,Per Krusell,3169267829.0,21226.0,per krusell,,1.0,1.0,0.0,2021-06-22
1,Per Krusell,3171331191.0,21226.0,per krusell,,1.0,1.0,0.0,2021-06-22
1,Per Krusell,3171436238.0,21226.0,per krusell,,1.0,1.0,0.0,2021-06-22
1,Per Krusell,3172435933.0,21226.0,per krusell,,1.0,1.0,0.0,2021-06-22
2,Jaap Abbring,2551548178.0,21226.0,jaap abbring,,1.0,1.0,0.0,2016-11-30
3,Marciano Siniscalchi,2231521228.0,21226.0,marciano siniscalchi,,1.0,1.0,0.0,2016-06-24
3,Marciano Siniscalchi,2302599857.0,15685.0,marciano siniscalchi,111979921.0,53.0,33.0,1649.0,2016-06-24
3,Marciano Siniscalchi,2798307359.0,19013.0,marciano siniscalchi,,1.0,1.0,35.0,2018-05-07
4,Uzi Segal,2080913171.0,14921.0,uzi segal,103531236.0,128.0,92.0,2481.0,2016-06-24
4,Uzi Segal,2508104312.0,21226.0,uzi segal,,1.0,1.0,0.0,2016-09-16
