,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Lance Lochner,664019491.0,14074.0,lance lochner,125749732.0,172.0,90.0,8451.0,2016-06-24
0,Lance Lochner,2636221843.0,19521.0,lance lochner,,1.0,1.0,30.0,2017-06-30
0,Lance Lochner,2658615280.0,21226.0,lance lochner,,1.0,1.0,0.0,2017-06-30
0,Lance Lochner,3085642331.0,21226.0,lance lochner,,1.0,1.0,0.0,2020-09-21
0,Lance Lochner,3123791053.0,20436.0,lance lochner,,2.0,2.0,2.0,2021-02-01
1,Johannes Stroebel,1907787367.0,15354.0,johannes stroebel,57206974.0,109.0,56.0,1492.0,2016-06-24
1,Johannes Stroebel,2909681602.0,21226.0,johannes stroebel,,1.0,1.0,0.0,2019-01-25
1,Johannes Stroebel,2983159746.0,20893.0,johannes stroebel,97018004.0,1.0,1.0,6.0,2019-11-22
1,Johannes Stroebel,3018850254.0,19594.0,johannes stroebel,8204097.0,4.0,4.0,12.0,2020-05-01
1,Johannes Stroebel,3182557971.0,21146.0,johannes stroebel,,1.0,1.0,1.0,2021-07-19
2,Guo Xu,2100017046.0,20096.0,guo xu,,2.0,2.0,13.0,2016-06-24
2,Guo Xu,2101859820.0,20284.0,xu guo,19268510.0,2.0,1.0,5.0,2016-06-24
2,Guo Xu,2123516595.0,16634.0,guo xu,139660479.0,63.0,63.0,358.0,2016-06-24
2,Guo Xu,2149600535.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2161668006.0,19970.0,guo xu,27837315.0,3.0,3.0,5.0,2016-06-24
2,Guo Xu,2188829146.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2223588535.0,19659.0,xu guo,154047519.0,2.0,1.0,5.0,2016-06-24
2,Guo Xu,2225615665.0,20617.0,guo xu,27357992.0,1.0,1.0,7.0,2016-06-24
2,Guo Xu,2241158382.0,17328.0,guo xu,95457486.0,36.0,22.0,118.0,2016-06-24
2,Guo Xu,2272208299.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2297114686.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2307355360.0,18846.0,xu guo,,2.0,2.0,22.0,2016-06-24
2,Guo Xu,2341602264.0,21226.0,guo xu,157773358.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2346611196.0,20435.0,xu guo,2250653659.0,2.0,1.0,2.0,2016-06-24
2,Guo Xu,2353932667.0,21226.0,guo xu,2802939634.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2360978059.0,21226.0,guo xu,9842412.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2363391127.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2363693137.0,21189.0,guo xu,111599522.0,1.0,1.0,1.0,2016-06-24
2,Guo Xu,2364935259.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2368933393.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2369304977.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2369613886.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2372378822.0,21226.0,guo xu,1289490764.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2373740895.0,20770.0,guo xu,,1.0,1.0,3.0,2016-06-24
2,Guo Xu,2374967739.0,20830.0,guo xu,211433327.0,1.0,1.0,6.0,2016-06-24
2,Guo Xu,2377915897.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2378806503.0,21217.0,guo xu,111599522.0,1.0,1.0,1.0,2016-06-24
2,Guo Xu,2379705671.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2380211459.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2381048632.0,21226.0,guo xu,1099802.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2382048451.0,21226.0,guo xu,154893126.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2384004396.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2385455386.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2385701410.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2386671390.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2390482087.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2391893660.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2393552624.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2394346156.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2404042011.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2423326507.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2424678617.0,21226.0,guo xu,149240348.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2432564962.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2432573980.0,21226.0,guo xu,194450716.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2433211649.0,20989.0,guo xu,,1.0,1.0,4.0,2016-06-24
2,Guo Xu,2433840292.0,21226.0,guo xu,204553293.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2434208857.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2435180634.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2436087850.0,20852.0,guo xu,47720641.0,1.0,1.0,1.0,2016-06-24
2,Guo Xu,2436877053.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2440735136.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2442065731.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2443469387.0,21084.0,guo xu,,1.0,1.0,3.0,2016-06-24
2,Guo Xu,2443723667.0,21226.0,guo xu,20231570.0,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2444081992.0,21226.0,guo xu,,1.0,1.0,0.0,2016-06-24
2,Guo Xu,2473484424.0,20499.0,guo xu,27357992.0,1.0,1.0,14.0,2016-07-22
2,Guo Xu,2475883482.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2476330114.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2477384065.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2478217492.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2480803781.0,19117.0,guo xu,157773358.0,6.0,6.0,52.0,2016-08-23
2,Guo Xu,2480828399.0,21226.0,guo xu,204983213.0,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2481876089.0,20960.0,guo xu,,1.0,1.0,5.0,2016-08-23
2,Guo Xu,2482342684.0,20038.0,guo xu,41198531.0,3.0,3.0,6.0,2016-08-23
2,Guo Xu,2482357885.0,18905.0,xu guo,,6.0,6.0,12.0,2016-08-23
2,Guo Xu,2482812411.0,21126.0,guo xu,156292868.0,1.0,1.0,1.0,2016-08-23
2,Guo Xu,2485673340.0,21211.0,guo xu,,1.0,1.0,1.0,2016-08-23
2,Guo Xu,2490018890.0,21161.0,guo xu,87780372.0,1.0,1.0,1.0,2016-08-23
2,Guo Xu,2490709539.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2490882418.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2491894323.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2492123061.0,21226.0,guo xu,119045251.0,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2492210847.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2495879742.0,21226.0,guo xu,21945476.0,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2497018363.0,21226.0,guo xu,181877577.0,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2499155156.0,21226.0,guo xu,126520041.0,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2500708680.0,19739.0,guo xu,5343935.0,4.0,4.0,9.0,2016-08-23
2,Guo Xu,2501429125.0,20708.0,guo xu,,1.0,1.0,3.0,2016-08-23
2,Guo Xu,2501669835.0,20533.0,guo xu,1282776028.0,2.0,2.0,0.0,2016-08-23
2,Guo Xu,2502034184.0,21194.0,guo xu,,1.0,1.0,1.0,2016-08-23
2,Guo Xu,2505911235.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2506891995.0,21226.0,guo xu,,1.0,1.0,0.0,2016-08-23
2,Guo Xu,2526547407.0,20029.0,xu guo,88372448.0,3.0,3.0,6.0,2016-10-07
2,Guo Xu,2575748334.0,21226.0,guo xu,,1.0,1.0,0.0,2017-01-26
2,Guo Xu,2577230408.0,19451.0,guo xu,118574674.0,5.0,5.0,11.0,2017-01-26
2,Guo Xu,2578306844.0,21226.0,guo xu,,1.0,1.0,0.0,2017-01-26
2,Guo Xu,2604512576.0,21226.0,guo xu,,1.0,1.0,0.0,2017-04-14
2,Guo Xu,2605921089.0,20533.0,guo xu,,2.0,2.0,0.0,2017-04-28
2,Guo Xu,2608115096.0,20262.0,xu guo,,2.0,2.0,13.0,2017-05-05
2,Guo Xu,2618796212.0,17285.0,xu guo,,41.0,41.0,94.0,2017-06-05
2,Guo Xu,2619059204.0,19965.0,guo xu,139660479.0,3.0,3.0,14.0,2017-06-05
2,Guo Xu,2619476721.0,19558.0,guo xu,83519826.0,3.0,3.0,64.0,2017-06-05
2,Guo Xu,2631626926.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2635284171.0,20422.0,guo xu,,1.0,1.0,11.0,2017-06-30
2,Guo Xu,2640575501.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2641384022.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2643783689.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2650048027.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2650834820.0,19840.0,guo xu,,4.0,2.0,0.0,2017-06-30
2,Guo Xu,2656346912.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2663631086.0,20504.0,guo xu,62318514.0,2.0,2.0,1.0,2017-06-30
2,Guo Xu,2666873298.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2670685961.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2671152433.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2673530379.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2674749886.0,21226.0,guo xu,145876445.0,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2679163696.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2680683230.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2685917636.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2687913722.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2687941461.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2690440088.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2690970868.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2692614437.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2693060691.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2693818743.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2694931862.0,21226.0,guo xu,27357992.0,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2695456503.0,21190.0,guo xu,27357992.0,1.0,1.0,1.0,2017-06-30
2,Guo Xu,2702409820.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2703978175.0,21033.0,guo xu,88372448.0,1.0,1.0,3.0,2017-06-30
2,Guo Xu,2704671628.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2705580781.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2705596225.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2706225387.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2709680717.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2713495363.0,20900.0,guo xu,,1.0,1.0,7.0,2017-06-30
2,Guo Xu,2714811762.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2717689958.0,19988.0,guo xu,,1.0,1.0,11.0,2017-06-30
2,Guo Xu,2719507949.0,21226.0,guo xu,,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2719616019.0,19817.0,xu guo,2802939634.0,2.0,2.0,12.0,2017-06-30
2,Guo Xu,2721572252.0,21226.0,guo xu,27357992.0,1.0,1.0,0.0,2017-06-30
2,Guo Xu,2729660894.0,21226.0,guo xu,,1.0,1.0,0.0,2017-07-14
2,Guo Xu,2734158759.0,21226.0,guo xu,,1.0,1.0,0.0,2017-07-14
2,Guo Xu,2742914767.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2743401333.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2743454665.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2743586011.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2744712816.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2744827059.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2745135215.0,19610.0,guo xu,,5.0,5.0,1.0,2017-08-17
2,Guo Xu,2745207183.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-17
2,Guo Xu,2745564795.0,20533.0,guo xu,,2.0,2.0,0.0,2017-08-31
2,Guo Xu,2745762558.0,20128.0,guo xu,,3.0,3.0,0.0,2017-08-31
2,Guo Xu,2745994648.0,20533.0,guo xu,,2.0,2.0,0.0,2017-08-31
2,Guo Xu,2746212542.0,20533.0,guo xu,,2.0,2.0,0.0,2017-08-31
2,Guo Xu,2747741331.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2747809705.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2747819339.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2749611109.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2749660703.0,20533.0,guo xu,,2.0,2.0,0.0,2017-08-31
2,Guo Xu,2749664766.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2749867650.0,20533.0,guo xu,,2.0,2.0,0.0,2017-08-31
2,Guo Xu,2750358401.0,21226.0,guo xu,,1.0,1.0,0.0,2017-08-31
2,Guo Xu,2751893155.0,21226.0,guo xu,,1.0,1.0,0.0,2017-09-15
2,Guo Xu,2753409617.0,21226.0,guo xu,,1.0,1.0,0.0,2017-09-15
2,Guo Xu,2756399014.0,21226.0,guo xu,,1.0,1.0,0.0,2017-09-25
2,Guo Xu,2763993559.0,19333.0,guo xu,47720641.0,5.0,5.0,19.0,2017-10-20
2,Guo Xu,2765858497.0,21094.0,guo xu,27357992.0,1.0,1.0,3.0,2017-11-10
2,Guo Xu,2781213793.0,21226.0,guo xu,,1.0,1.0,0.0,2018-01-05
2,Guo Xu,2811621915.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2812873141.0,20112.0,guo xu,,3.0,3.0,1.0,2018-07-19
2,Guo Xu,2813310958.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2813775857.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2813899244.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2815521009.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2815766616.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2817581956.0,20713.0,guo xu,,1.0,1.0,3.0,2018-07-19
2,Guo Xu,2818323886.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2818967492.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2820041458.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2821217533.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2821644091.0,20263.0,guo xu,,1.0,1.0,4.0,2018-07-19
2,Guo Xu,2821963435.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2822003159.0,20086.0,xu guo,,3.0,3.0,1.0,2018-07-19
2,Guo Xu,2822999385.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2824185043.0,19062.0,guo xu,,2.0,2.0,4.0,2018-07-19
2,Guo Xu,2825512125.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2827375362.0,21019.0,guo xu,,1.0,1.0,1.0,2018-07-19
2,Guo Xu,2829137136.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2830952306.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2831192526.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2834017532.0,20201.0,guo xu,,1.0,1.0,4.0,2018-07-19
2,Guo Xu,2836054227.0,20649.0,guo xu,,1.0,1.0,6.0,2018-07-19
2,Guo Xu,2837127155.0,21139.0,guo xu,,1.0,1.0,1.0,2018-07-19
2,Guo Xu,2837206146.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2837223515.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2839236307.0,21141.0,guo xu,,1.0,1.0,1.0,2018-07-19
2,Guo Xu,2840545711.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2842327044.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2847321151.0,19572.0,xu guo,,2.0,2.0,10.0,2018-07-19
2,Guo Xu,2847768352.0,19873.0,guo xu,,1.0,1.0,6.0,2018-07-19
2,Guo Xu,2848233572.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2850031330.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2850340929.0,21226.0,guo xu,,1.0,1.0,0.0,2018-07-19
2,Guo Xu,2852716256.0,21037.0,guo xu,,1.0,1.0,1.0,2018-07-19
2,Guo Xu,2852963733.0,20220.0,guo xu,,2.0,2.0,3.0,2018-07-19
2,Guo Xu,2853775190.0,20533.0,guo xu,,2.0,2.0,0.0,2018-07-19
2,Guo Xu,2857044034.0,20264.0,xu guo,,2.0,2.0,2.0,2018-07-19
2,Guo Xu,2858850198.0,18558.0,xu guo,,9.0,9.0,21.0,2018-07-19
2,Guo Xu,2859311266.0,21166.0,guo xu,,1.0,1.0,2.0,2018-07-19
