,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Michael Woodford,1895282814.0,21226.0,michael woodford,,1.0,1.0,0.0,2016-06-24
0,Michael Woodford,1934824437.0,21226.0,michael woodford,95457486.0,1.0,1.0,0.0,2016-06-24
0,Michael Woodford,2061210858.0,21226.0,michael woodford,,1.0,1.0,0.0,2016-06-24
0,Michael Woodford,2147218102.0,12691.0,michael woodford,78577930.0,429.0,244.0,30322.0,2016-06-24
0,Michael Woodford,2345375372.0,21226.0,michael woodford,,1.0,1.0,0.0,2016-06-24
0,Michael Woodford,2501481910.0,21226.0,michael woodford,,1.0,1.0,0.0,2016-08-23
0,Michael Woodford,2522866285.0,21226.0,michael woodford,,1.0,1.0,0.0,2016-09-30
0,Michael Woodford,2560018963.0,18419.0,michael woodford,,3.0,3.0,175.0,2016-12-16
0,Michael Woodford,2576327891.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-01-26
0,Michael Woodford,2604604752.0,19964.0,michael woodford,,1.0,1.0,15.0,2017-04-14
0,Michael Woodford,2604645853.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-04-14
0,Michael Woodford,2605054144.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-04-14
0,Michael Woodford,2605357445.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-04-14
0,Michael Woodford,2605493857.0,21226.0,michael woodford,141649380.0,1.0,1.0,0.0,2017-04-28
0,Michael Woodford,2610833438.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-05-12
0,Michael Woodford,2685268443.0,19789.0,michael woodford,,1.0,1.0,40.0,2017-06-30
0,Michael Woodford,2702884148.0,19770.0,michael woodford,,1.0,1.0,34.0,2017-06-30
0,Michael Woodford,2732388613.0,21226.0,michael woodford,,1.0,1.0,0.0,2017-07-14
0,Michael Woodford,2764654093.0,20384.0,michael woodford,,1.0,1.0,12.0,2017-10-27
0,Michael Woodford,2764816108.0,21073.0,michael woodford,,1.0,1.0,2.0,2017-10-27
0,Michael Woodford,2798571424.0,21226.0,michael woodford,,1.0,1.0,0.0,2018-05-07
0,Michael Woodford,2890019095.0,21226.0,michael woodford,,1.0,1.0,0.0,2018-09-27
0,Michael Woodford,2896337863.0,17010.0,michael woodford,,1.0,1.0,381.0,2018-10-26
0,Michael Woodford,2916970668.0,21226.0,michael woodford,,1.0,1.0,0.0,2019-03-02
0,Michael Woodford,2979594888.0,20645.0,michael woodford,,1.0,1.0,7.0,2019-10-18
0,Michael Woodford,2985301338.0,20521.0,michael woodford,,1.0,1.0,9.0,2019-11-22
0,Michael Woodford,2989665763.0,19545.0,michael woodford,,1.0,1.0,15.0,2019-12-05
0,Michael Woodford,3016588350.0,21226.0,michael woodford,,1.0,1.0,0.0,2020-04-24
0,Michael Woodford,3048994203.0,21226.0,michael woodford,,1.0,1.0,0.0,2020-08-21
0,Michael Woodford,3122531600.0,20825.0,michael woodford,,1.0,1.0,4.0,2021-02-01
0,Michael Woodford,3160563445.0,19047.0,michael woodford,,1.0,1.0,81.0,2021-05-24
0,Michael Woodford,3164972896.0,20943.0,michael woodford,,1.0,1.0,3.0,2021-06-07
