,Name,AuthorId,Rank,NormalizedName,LastKnownAffiliationId,PaperCount,CitationCount,Unknown,CreateDate
0,Neil Shephard,1972505999.0,13209.0,neil shephard,136199984.0,251.0,175.0,23983.0,2016-06-24
0,Neil Shephard,2480116361.0,20624.0,neil shephard,1330342723.0,1.0,1.0,18.0,2016-08-23
0,Neil Shephard,2907231114.0,21037.0,neil shephard,,1.0,1.0,2.0,2019-01-11
0,Neil Shephard,3158580572.0,21226.0,neil shephard,201448701.0,1.0,1.0,0.0,2021-05-10
0,Neil Shephard,3174225639.0,21226.0,neil shephard,,1.0,1.0,0.0,2021-07-05
0,Neil Shephard,3174488705.0,20909.0,neil shephard,,1.0,1.0,5.0,2021-07-05
0,Neil Shephard,3175735272.0,15364.0,neil shephard,91136226.0,90.0,85.0,1805.0,2021-07-05
0,Neil Shephard,3175807932.0,21226.0,neil shephard,,1.0,1.0,0.0,2021-07-05
0,Neil Shephard,3175839215.0,17957.0,neil shephard,40120149.0,8.0,5.0,201.0,2021-07-05
0,Neil Shephard,3176912887.0,21226.0,neil shephard,,1.0,1.0,0.0,2021-07-05
1,Marco Ottaviani,2122906092.0,15164.0,marco ottaviani,71209653.0,110.0,76.0,2851.0,2016-06-24
1,Marco Ottaviani,2263519752.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-06-24
1,Marco Ottaviani,2272390960.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-06-24
1,Marco Ottaviani,2329074402.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-06-24
1,Marco Ottaviani,2334492959.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-06-24
1,Marco Ottaviani,2335163546.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-06-24
1,Marco Ottaviani,2548502371.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2016-11-11
1,Marco Ottaviani,2557159906.0,20957.0,marco ottaviani,,1.0,1.0,6.0,2016-11-30
1,Marco Ottaviani,2586528171.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2017-02-17
1,Marco Ottaviani,2604410846.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2017-04-14
1,Marco Ottaviani,2605477542.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2017-04-28
1,Marco Ottaviani,2605577332.0,21226.0,marco ottaviani,,1.0,1.0,0.0,2017-04-28
