Unnamed: 0,PaperId,PaperTitle,Year,Date,OnlineDate,JournalId,OriginalVenue,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,CreateDate,Gender,GenderProbability
0,3119550853,reorganization or liquidation bankruptcy choice and firm dynamics,2021,2021-09-11,2021-06-20,88935262,The Review of Economic Studies,2021-01-18,2279466245,57502794.0,2,Pablo D'Erasmo,Federal Reserve Bank of Philadelphia.,16458,pablo derasmo,Pablo D'Erasmo,57502794.0,69,40,2016-06-24,male,1.0
0,3119550853,reorganization or liquidation bankruptcy choice and firm dynamics,2021,2021-09-11,2021-06-20,88935262,The Review of Economic Studies,2021-01-18,2325952761,135310074.0,1,Dean Corbae,University of Wisconsin-Madison and NBER,15234,dean corbae,Dean Corbae,135310074.0,112,75,2016-06-24,male,1.0
1,3121173810,optimal lending contracts and firm dynamics,2004,2004-04-01,,88935262,The Review of Economic Studies,2021-02-01,214303381,5388228.0,2,Hugo A. Hopenhayn,University of Rochester and Universitat Torcuato Di Tella,14199,hugo a hopenhayn,Hugo A. Hopenhayn,161318765.0,129,83,2016-06-24,male,1.0
1,3121173810,optimal lending contracts and firm dynamics,2004,2004-04-01,,88935262,The Review of Economic Studies,2021-02-01,2099749913,5388228.0,1,Rui Albuquerque,University of Rochester ,15135,rui albuquerque,Rui Albuquerque,103531236.0,120,65,2016-06-24,male,0.98
2,3121806511,student portfolios and the college admissions problem,2014,2014-07-01,2014-02-17,88935262,The Review of Economic Studies,2021-02-01,1992449604,55732556.0,1,Hector Chade,Arizona State University**,16543,hector chade,Hector Chade,55732556.0,60,41,2016-06-24,male,1.0
2,3121806511,student portfolios and the college admissions problem,2014,2014-07-01,2014-02-17,88935262,The Review of Economic Studies,2021-02-01,2192261499,135310074.0,3,Lones Smith,University of Wisconsin,15244,lones smith,Lones Smith,135310074.0,112,73,2016-06-24,male,0.98
2,3121806511,student portfolios and the college admissions problem,2014,2014-07-01,2014-02-17,88935262,The Review of Economic Studies,2021-02-01,2432512002,136199984.0,2,Gregory Lewis,"Harvard University , ",16595,gregory lewis,Gregory Lewis,1290206253.0,40,17,2016-06-24,male,1.0
3,2090518198,a note on soviet pricing profits and technological choice,1980,1980-04-01,,88935262,The Review of Economic Studies,2016-06-24,2273005641,881427289.0,1,Morgan Åberg, University of Gothenburg ,20099,morgan aberg,Morgan Åberg,881427289.0,2,2,2016-06-24,male,0.79
3,2090518198,a note on soviet pricing profits and technological choice,1980,1980-04-01,,88935262,The Review of Economic Studies,2016-06-24,2572003327,881427289.0,2,Håkan Persson, University of Gothenburg ,18136,hakan persson,Håkan Persson,881427289.0,12,12,2017-01-26,male,1.0
4,1983524419,real time decentralized information processing as a model of organizations with boundedly rational agents,1999,1999-07-01,,88935262,The Review of Economic Studies,2016-06-24,1929420175,20089843.0,1,Timothy van Zandt,Princeton University,15901,timothy van zandt,Timothy Van Zandt,102272798.0,58,39,2016-06-24,male,1.0
