Unnamed: 0,PaperId,PaperTitle,Year,Date,OnlineDate,JournalId,OriginalVenue,CreatedDate,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation,Rank,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,AuthorCitationCount,CreateDate,Gender,GenderProbability
0,1978309954,a positive theory of social security based on reputation,1999,1999-02-01,,95323914.0,Journal of Political Economy,2016-06-24,2399572050.0,,2.0,Jorge Soares,,16602.0,jorge soares,Jorge Soares,86501945.0,35.0,26.0,2016-06-24,male,1.0
0,1978309954,a positive theory of social security based on reputation,1999,1999-02-01,,95323914.0,Journal of Political Economy,2016-06-24,2474937050.0,,1.0,Thomas F. Cooley,,13925.0,thomas f cooley,Thomas F. Cooley,57206974.0,175.0,120.0,2016-07-22,male,1.0
2,2063773487,aggregate demand management in search equilibrium,1982,1982-10-01,,95323914.0,Journal of Political Economy,2016-06-24,2114523211.0,,1.0,Peter A. Diamond,,12692.0,peter a diamond,Peter A. Diamond,63966007.0,289.0,208.0,2016-06-24,male,1.0
5,2157125979,peer pressure and partnerships,1992,1992-08-01,,95323914.0,Journal of Political Economy,2016-06-24,616670817.0,,2.0,Edward P. Lazear,,12859.0,edward p lazear,Edward P. Lazear,97018004.0,261.0,141.0,2016-06-24,male,1.0
5,2157125979,peer pressure and partnerships,1992,1992-08-01,,95323914.0,Journal of Political Economy,2016-06-24,1976568276.0,,1.0,Eugene Kandel,,14598.0,eugene kandel,Eugene Kandel,197251160.0,77.0,50.0,2016-06-24,male,0.99
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2160592704.0,,3.0,Finis Welch,,13464.0,finis welch,Finis Welch,91045830.0,113.0,97.0,2016-06-24,male,0.98
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2579805337.0,,1.0,Lee Lillard,,14002.0,lee a lillard,Lee A. Lillard,1309849503.0,120.0,91.0,2017-01-26,male,0.83
6,1995953073,what do we really know about wages the importance of nonreporting and census imputation,1986,1986-06-01,,95323914.0,Journal of Political Economy,2016-06-24,2598019244.0,,2.0,James P. Smith,,13023.0,j c smith,James C. Smith,2801081054.0,485.0,464.0,2017-04-07,male,1.0
7,2565225599,the political economy of weak treaties,2020,2020-01-16,2016-12-01,95323914.0,Journal of Political Economy,2017-01-06,2119038958.0,,1.0,Marco Battaglini,,14970.0,marco battaglini,Marco Battaglini,205783295.0,143.0,70.0,2016-06-24,male,1.0
7,2565225599,the political economy of weak treaties,2020,2020-01-16,2016-12-01,95323914.0,Journal of Political Economy,2017-01-06,2166406133.0,,2.0,Bård Harstad,,16234.0,bard harstad,Bård Harstad,184942183.0,75.0,43.0,2016-06-24,male,1.0
8,3124142480,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,2002,2002-12-01,,95323914.0,Journal of Political Economy,2021-02-01,159280313.0,,1.0,Bruno Crépon,,14612.0,bruno crepon,Bruno Crépon,84009706.0,182.0,129.0,2016-06-24,male,1.0
8,3124142480,employed 40 hours or not employed 39 lessons from the 1982 mandatory reduction of the workweek,2002,2002-12-01,,95323914.0,Journal of Political Economy,2021-02-01,290542363.0,197518295.0,2.0,Francis Kramarz,IZA-Institute of Labor Economics,13896.0,francis kramarz,Francis Kramarz,84009706.0,249.0,173.0,2016-06-24,male,0.94
11,3125717435,the role of leasing under adverse selection,2002,2002-02-01,2016-03-19,95323914.0,Journal of Political Economy,2021-02-01,40539028.0,1321305853.0,2.0,Alessandro Lizzeri,National Bureau of Economic Research,15176.0,alessandro lizzeri,Alessandro Lizzeri,57206974.0,72.0,44.0,2016-06-24,male,1.0
11,3125717435,the role of leasing under adverse selection,2002,2002-02-01,2016-03-19,95323914.0,Journal of Political Economy,2021-02-01,2089095713.0,1321305853.0,1.0,Igal Hendel,National Bureau of Economic Research,15153.0,igal hendel,Igal Hendel,111979921.0,73.0,45.0,2016-06-24,male,0.97
12,3211395315,cause and effect in political polarization a dynamic analysis,2021,2021-11-15,2021-11-15,95323914.0,Journal of Political Economy,2021-11-22,2125915602.0,,2.0,Juan Carlos Carbajal,,17989.0,juan carlos carbajal,Juan Carlos Carbajal,31746571.0,17.0,11.0,2016-06-24,male,1.0
